"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","0.180","0.178","0.180","0.178","469.23K","1.69%"
"07/15/2026","0.177","0.174","0.179","0.174","822.77K","2.31%"
"07/14/2026","0.173","0.172","0.173","0.172","74.80K","0.58%"
"07/13/2026","0.172","0.170","0.173","0.170","286.40K","1.18%"
"07/12/2026","0.170","0.170","0.170","0.170","9.98K","-1.16%"
"07/09/2026","0.172","0.165","0.172","0.165","84.85K","0.00%"
"07/08/2026","0.172","0.172","0.172","0.172","110.82K","0.00%"
"07/07/2026","0.172","0.172","0.172","0.172","57.27K","0.00%"
"07/06/2026","0.172","0.170","0.172","0.170","429.75K","1.18%"
"07/05/2026","0.170","0.170","0.170","0.170","76.60K","0.59%"
"07/02/2026","0.169","0.170","0.170","0.169","248.00K","-0.59%"
"07/01/2026","0.170","0.161","0.170","0.161","517.29K","1.80%"
"06/30/2026","0.167","0.165","0.167","0.165","199.54K","1.18%"
"06/29/2026","0.165","0.163","0.166","0.161","595.20K","3.66%"
"06/28/2026","0.159","0.163","0.163","0.159","97.03K","2.50%"
"06/25/2026","0.155","0.163","0.163","0.155","38.83K","-3.03%"
"06/24/2026","0.160","0.157","0.160","0.155","199.85K","0.00%"
"06/23/2026","0.160","0.160","0.162","0.158","236.87K","0.00%"
"06/22/2026","0.160","0.162","0.162","0.160","22.10K","0.00%"
"06/21/2026","0.160","0.160","0.162","0.160","256.08K","0.63%"
"06/17/2026","0.159","0.160","0.160","0.158","68.55K","0.00%"
"06/16/2026","0.159","0.160","0.160","0.159","92.40K","-0.63%"
"06/15/2026","0.160","0.163","0.163","0.160","100.49K","-5.88%"
"06/14/2026","0.170","0.168","0.170","0.168","2.17K","0.59%"
"06/11/2026","0.169","0.162","0.169","0.162","114.90K","0.00%"
"06/10/2026","0.169","0.169","0.169","0.169","102.10K","0.00%"
"06/09/2026","0.169","0.168","0.177","0.168","187.88K","-0.59%"
"06/08/2026","0.170","0.170","0.170","0.170","85.20K","0.00%"
"06/07/2026","0.170","0.170","0.170","0.170","41.50K","-5.03%"
"06/04/2026","0.179","0.179","0.179","0.179","0.11K","6.55%"
"06/03/2026","0.168","0.168","0.168","0.168","20.00K","-6.15%"
"06/02/2026","0.179","0.185","0.185","0.179","70.95K","-3.24%"
"06/01/2026","0.185","0.184","0.185","0.181","85.24K","2.21%"
"05/31/2026","0.181","0.175","0.181","0.175","41.07K","4.62%"
"05/25/2026","0.173","0.173","0.173","0.172","35.00K","1.76%"
"05/24/2026","0.170","0.170","0.170","0.168","50.34K","5.59%"
"05/21/2026","0.161","0.160","0.170","0.160","151.94K","1.26%"
"05/20/2026","0.159","0.166","0.166","0.158","238.96K","-9.14%"
"05/19/2026","0.175","0.175","0.175","0.170","47.00K","-1.13%"
"05/18/2026","0.177","0.178","0.178","0.169","164.94K","-1.12%"
"05/17/2026","0.179","0.175","0.180","0.175","72.30K","2.29%"
"05/14/2026","0.175","0.181","0.181","0.175","155.33K","-3.31%"
"05/13/2026","0.181","0.182","0.182","0.181","45.67K","-0.55%"
"05/12/2026","0.182","0.187","0.187","0.181","81.51K","-1.62%"
"05/11/2026","0.185","0.185","0.185","0.185","5.00K","-0.54%"
"05/10/2026","0.186","0.185","0.187","0.185","194.00K","1.64%"
"05/07/2026","0.183","0.183","0.188","0.183","1.04K","-3.17%"
"05/06/2026","0.189","0.191","0.191","0.189","53.50K","-0.53%"
"05/05/2026","0.190","0.180","0.190","0.180","266.14K","3.26%"
"05/04/2026","0.184","0.188","0.188","0.176","5.56K","-2.13%"
"05/03/2026","0.188","0.172","0.188","0.172","426.36K","4.44%"
"04/30/2026","0.180","0.181","0.181","0.180","12.30K","0.00%"
"04/29/2026","0.180","0.178","0.180","0.178","21.62K","1.69%"
"04/28/2026","0.177","0.176","0.178","0.176","119.33K","0.57%"
"04/27/2026","0.176","0.175","0.176","0.171","220.48K","-1.68%"
"04/26/2026","0.179","0.180","0.180","0.179","6.47K","-1.10%"
"04/23/2026","0.181","0.176","0.181","0.176","6.40K","0.00%"
"04/22/2026","0.181","0.181","0.181","0.181","","0.00%"
"04/21/2026","0.181","0.182","0.182","0.177","189.12K","0.00%"
"04/20/2026","0.181","0.181","0.181","0.180","9.50K","1.12%"
"04/19/2026","0.179","0.185","0.185","0.179","84.90K","-0.56%"
"04/16/2026","0.180","0.189","0.190","0.180","223.73K","-4.26%"
