Date,Open,High,Low,Close,Volume
2026-01-20,0.1252,0.1311,0.1252,0.1282,291738
2026-01-21,0.1272,0.1272,0.1262,0.1262,65232
2026-01-22,0.1262,0.1291,0.1262,0.1282,9825725
2026-01-25,0.1262,0.1262,0.1243,0.1243,2450629
2026-01-26,0.1243,0.1272,0.1243,0.1262,1085006
2026-01-27,0.1262,0.1291,0.1262,0.1262,2058778
2026-01-28,0.1262,0.1282,0.1262,0.1282,1837109
2026-01-29,0.1291,0.1301,0.1272,0.1291,646288
2026-02-01,0.1301,0.1301,0.1262,0.1272,108863
2026-02-02,0.1262,0.1272,0.1252,0.1272,2039102
2026-02-03,0.1291,0.1291,0.1272,0.1291,269724
2026-02-04,0.1291,0.132,0.1291,0.1291,920435
2026-02-05,0.1282,0.134,0.1282,0.134,203769
2026-02-08,0.134,0.1379,0.134,0.1379,413075
2026-02-09,0.1379,0.1408,0.1379,0.1408,281396
2026-02-10,0.1408,0.1408,0.1379,0.1379,250551
2026-02-11,0.1388,0.1408,0.1359,0.1359,250701
2026-02-12,0.1408,0.1408,0.1369,0.1369,704390
2026-02-15,0.1369,0.1369,0.1359,0.1359,402787
2026-02-16,0.1359,0.1359,0.132,0.134,237290
2026-02-17,0.1359,0.1359,0.1301,0.1301,326036
2026-02-18,0.1301,0.134,0.1301,0.134,111265
2026-02-19,0.134,0.134,0.1311,0.1311,366381
2026-02-22,0.1311,0.1408,0.1311,0.133,14930
2026-02-23,0.1359,0.1359,0.132,0.133,113043
2026-02-24,0.134,0.135,0.134,0.135,87344
2026-02-25,0.134,0.134,0.133,0.133,203668
2026-02-26,0.133,0.1359,0.1311,0.132,190910
2026-03-01,0.1301,0.1359,0.1262,0.1282,258587
2026-03-02,0.1311,0.132,0.1282,0.132,84424
2026-03-03,0.1311,0.1311,0.1291,0.1291,18540
2026-03-04,0.1282,0.1282,0.1194,0.1262,5295135
2026-03-05,0.1272,0.1291,0.1272,0.1282,6886056
2026-03-08,0.134,0.134,0.1282,0.1311,56217
2026-03-09,0.1282,0.135,0.1282,0.134,221180
2026-03-10,0.134,0.1359,0.134,0.134,451319
2026-03-11,0.1359,0.1359,0.134,0.134,77507
2026-03-12,0.134,0.1359,0.134,0.135,146260
2026-03-15,0.1359,0.1359,0.134,0.134,99691
2026-03-16,0.135,0.135,0.134,0.134,54161
2026-03-17,0.1359,0.1359,0.1282,0.134,1335395
2026-03-18,0.134,0.1369,0.1282,0.1359,431993
2026-03-24,0.1388,0.1398,0.1369,0.1379,121570
2026-03-25,0.1379,0.1379,0.132,0.1359,248232
2026-03-26,0.1369,0.1379,0.1359,0.1359,208749
2026-03-29,0.1359,0.1388,0.1359,0.1359,76271
2026-03-30,0.1359,0.1369,0.1359,0.1369,99189
2026-03-31,0.1398,0.1476,0.1388,0.1476,885672
2026-04-01,0.1476,0.1602,0.1476,0.1534,1470260
2026-04-02,0.1544,0.1544,0.1524,0.1524,401512
2026-04-05,0.1544,0.1602,0.1524,0.1602,3117388
2026-04-06,0.1621,0.1757,0.1612,0.1738,1537785
2026-04-07,0.1786,0.1786,0.1709,0.1718,386094
2026-04-08,0.1728,0.1796,0.1728,0.1777,706469
2026-04-09,0.1738,0.1786,0.1728,0.1767,159724
2026-04-12,0.1709,0.1932,0.1709,0.1913,1015659
2026-04-13,0.1757,0.1913,0.1757,0.1854,379791
2026-04-14,0.1806,0.1893,0.1806,0.1854,81586
2026-04-15,0.1913,0.1913,0.168,0.1825,502654
2026-04-16,0.1835,0.1845,0.1748,0.1748,230443
2026-04-19,0.1796,0.1796,0.1738,0.1738,87447
2026-04-20,0.1757,0.1757,0.1748,0.1757,9785
2026-04-21,0.1767,0.1767,0.1718,0.1757,194793
2026-04-22,0.1757,0.1757,0.1757,0.1757,0
2026-04-23,0.1709,0.1757,0.1709,0.1757,6592
2026-04-26,0.1748,0.1748,0.1738,0.1738,6663
2026-04-27,0.1699,0.1709,0.166,0.1709,227090
2026-04-28,0.1709,0.1728,0.1709,0.1718,122914
2026-04-29,0.1728,0.1748,0.1728,0.1748,22263
2026-04-30,0.1757,0.1757,0.1748,0.1748,12669
2026-05-03,0.167,0.1825,0.167,0.1825,439145
2026-05-04,0.1825,0.1825,0.1709,0.1786,5727
2026-05-05,0.1748,0.1845,0.1748,0.1845,274124
2026-05-06,0.1854,0.1854,0.1835,0.1835,55105
2026-05-07,0.1777,0.1825,0.1777,0.1777,1068
2026-05-10,0.1796,0.1816,0.1796,0.1806,199818
2026-05-11,0.1796,0.1796,0.1796,0.1796,5150
2026-05-12,0.1816,0.1816,0.1757,0.1767,83957
2026-05-13,0.1767,0.1767,0.1757,0.1757,47044
2026-05-14,0.1757,0.1757,0.1699,0.1699,159994
2026-05-17,0.1699,0.1748,0.1699,0.1738,74466
2026-05-18,0.1728,0.1728,0.1641,0.1718,169889
2026-05-19,0.1699,0.1699,0.165,0.1699,48407
2026-05-20,0.1612,0.1612,0.1534,0.1544,246127
2026-05-21,0.1553,0.165,0.1553,0.1563,156496
2026-05-24,0.165,0.165,0.1631,0.165,51853
2026-05-25,0.168,0.168,0.167,0.168,36050
2026-05-31,0.1699,0.1757,0.1699,0.1757,42305
2026-06-01,0.1786,0.1796,0.1757,0.1796,87795
2026-06-02,0.1796,0.1796,0.1738,0.1738,73076
2026-06-03,0.1631,0.1631,0.1631,0.1631,20600
2026-06-04,0.1738,0.1738,0.1738,0.1738,113
2026-06-07,0.165,0.165,0.165,0.165,42745
2026-06-08,0.165,0.165,0.165,0.165,87756
2026-06-09,0.1631,0.1718,0.1631,0.1641,193512
2026-06-10,0.1641,0.1641,0.1641,0.1641,105164
2026-06-11,0.1573,0.1641,0.1573,0.1641,118351
2026-06-14,0.1631,0.165,0.1631,0.165,2235
2026-06-15,0.1583,0.1583,0.1553,0.1553,103500
2026-06-16,0.1553,0.1553,0.1544,0.1544,95174
2026-06-17,0.1553,0.1553,0.1534,0.1544,70606
2026-06-21,0.1553,0.1573,0.1553,0.1553,263761
2026-06-22,0.1573,0.1573,0.1553,0.1553,22765
2026-06-23,0.1553,0.1573,0.1534,0.1553,243977
2026-06-24,0.1573,0.1602,0.1553,0.1602,199852
2026-06-25,0.1631,0.1631,0.1553,0.1553,38833
2026-06-28,0.1631,0.1631,0.1592,0.1592,97026
2026-06-29,0.1631,0.166,0.1612,0.165,595195
2026-06-30,0.165,0.167,0.165,0.167,199539
2026-07-01,0.161,0.17,0.161,0.17,517289
2026-07-02,0.17,0.17,0.169,0.169,248000
2026-07-05,0.17,0.17,0.17,0.17,76600
2026-07-06,0.17,0.172,0.17,0.172,429749
2026-07-07,0.172,0.172,0.172,0.172,57265
2026-07-08,0.172,0.172,0.172,0.172,110819
2026-07-09,0.165,0.172,0.165,0.172,84849
2026-07-12,0.17,0.17,0.17,0.17,9984
2026-07-13,0.17,0.173,0.17,0.172,286395
2026-07-14,0.172,0.173,0.172,0.173,74804
2026-07-15,0.174,0.179,0.174,0.177,822772
2026-07-16,0.178,0.18,0.178,0.18,469227
2026-07-19,0.18,0.18,0.171,0.175,762939
