"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","0.210","0.210","0.210","0.210","","0.00%"
"07/15/2026","0.210","0.210","0.210","0.210","","0.00%"
"07/14/2026","0.210","0.210","0.210","0.210","","0.00%"
"07/13/2026","0.210","0.210","0.210","0.210","","0.00%"
"07/09/2026","0.210","0.210","0.210","0.210","","0.00%"
"07/08/2026","0.210","0.210","0.210","0.210","","0.00%"
"07/07/2026","0.210","0.210","0.220","0.201","77.62K","0.00%"
"07/06/2026","0.210","0.210","0.210","0.210","","0.00%"
"07/05/2026","0.210","0.210","0.210","0.210","","0.00%"
"07/02/2026","0.210","0.210","0.210","0.210","35.00K","0.00%"
"07/01/2026","0.210","0.210","0.210","0.210","","0.00%"
"06/30/2026","0.210","0.210","0.210","0.210","300.00K","5.00%"
"06/29/2026","0.200","0.200","0.200","0.200","","0.00%"
"06/28/2026","0.200","0.200","0.200","0.200","15.00K","2.56%"
"06/25/2026","0.195","0.195","0.195","0.195","0.11K","0.00%"
"06/24/2026","0.195","0.195","0.195","0.195","208.06K","0.00%"
"06/23/2026","0.195","0.195","0.195","0.195","","0.00%"
"06/22/2026","0.195","0.200","0.200","0.195","141.30K","-4.88%"
"06/21/2026","0.205","0.205","0.205","0.205","","0.00%"
"06/17/2026","0.205","0.205","0.205","0.205","300.00K","1.49%"
"06/16/2026","0.202","0.204","0.210","0.202","401.58K","1.00%"
"06/15/2026","0.200","0.200","0.200","0.200","16.13K","0.00%"
"06/14/2026","0.200","0.200","0.200","0.200","300.00K","0.00%"
"06/11/2026","0.200","0.200","0.200","0.200","","0.00%"
"06/10/2026","0.200","0.200","0.200","0.200","302.00K","0.00%"
"06/09/2026","0.200","0.195","0.200","0.195","152.00K","2.56%"
"06/08/2026","0.195","0.195","0.195","0.195","15.00K","-1.52%"
"06/07/2026","0.198","0.194","0.198","0.194","535.00K","2.06%"
"06/04/2026","0.194","0.194","0.194","0.194","49.00K","2.11%"
"06/03/2026","0.190","0.190","0.190","0.190","20.45K","0.00%"
"06/02/2026","0.190","0.193","0.193","0.190","114.35K","-2.06%"
"06/01/2026","0.194","0.194","0.194","0.194","1.00K","3.19%"
"05/31/2026","0.188","0.188","0.188","0.188","","0.00%"
"05/25/2026","0.188","0.193","0.193","0.193","3.00K","0.00%"
"05/24/2026","0.188","0.188","0.190","0.182","355.30K","0.00%"
"05/21/2026","0.188","0.188","0.190","0.188","5.59M","0.00%"
"05/20/2026","0.188","0.188","0.188","0.188","","0.00%"
"05/19/2026","0.188","0.190","0.190","0.188","95.60K","-1.05%"
"05/18/2026","0.190","0.190","0.190","0.190","0.31K","0.00%"
"05/17/2026","0.190","0.190","0.190","0.190","0.18K","0.00%"
"05/14/2026","0.190","0.194","0.194","0.190","262.63K","-2.56%"
"05/13/2026","0.195","0.196","0.196","0.195","374.53K","-1.52%"
"05/12/2026","0.198","0.195","0.198","0.195","9.00K","1.54%"
"05/11/2026","0.195","0.195","0.195","0.195","2.00K","0.00%"
"05/10/2026","0.195","0.198","0.198","0.195","53.99K","-1.52%"
"05/07/2026","0.198","0.198","0.198","0.198","","0.00%"
"05/06/2026","0.198","0.197","0.199","0.197","105.91K","2.06%"
"05/05/2026","0.194","0.194","0.194","0.193","39.77K","0.52%"
"05/04/2026","0.193","0.190","0.193","0.190","752.41K","3.21%"
"05/03/2026","0.187","0.187","0.187","0.187","59.79K","0.00%"
"04/30/2026","0.187","0.189","0.190","0.180","233.15K","-1.58%"
"04/29/2026","0.190","0.190","0.190","0.190","11.50K","1.60%"
"04/28/2026","0.187","0.187","0.187","0.187","","0.00%"
"04/27/2026","0.187","0.187","0.187","0.187","","0.00%"
"04/26/2026","0.187","0.193","0.193","0.193","2.00K","0.00%"
"04/23/2026","0.187","0.187","0.187","0.187","1.00K","0.00%"
"04/22/2026","0.187","0.188","0.188","0.187","4.80K","-1.58%"
"04/21/2026","0.190","0.190","0.190","0.190","","0.00%"
"04/20/2026","0.190","0.190","0.190","0.190","","0.00%"
"04/19/2026","0.190","0.190","0.190","0.190","1.33K","-4.52%"
"04/16/2026","0.199","0.199","0.199","0.199","","0.00%"
"04/15/2026","0.199","0.199","0.199","0.199","12.10K","3.11%"
"04/14/2026","0.193","0.193","0.193","0.193","","0.00%"
"04/13/2026","0.193","0.193","0.193","0.193","13.73M","0.52%"
"04/12/2026","0.192","0.192","0.192","0.192","0.06K","0.00%"
"04/09/2026","0.192","0.192","0.192","0.192","","0.00%"
"04/08/2026","0.192","0.192","0.192","0.192","","0.00%"
"04/07/2026","0.192","0.192","0.192","0.192","19.47K","-0.52%"
"04/06/2026","0.193","0.193","0.193","0.193","45.00K","0.52%"
"04/05/2026","0.192","0.192","0.192","0.192","1.63K","-1.03%"
"04/02/2026","0.194","0.193","0.194","0.193","4.00K","0.00%"
"04/01/2026","0.194","0.194","0.194","0.194","100.00K","1.57%"
"03/31/2026","0.191","0.191","0.191","0.191","0.32K","0.00%"
"03/30/2026","0.191","0.191","0.191","0.191","16.01K","-4.50%"
"03/29/2026","0.200","0.200","0.200","0.195","100.02K","2.56%"
"03/26/2026","0.195","0.195","0.195","0.195","1.23K","0.00%"
"03/25/2026","0.195","0.194","0.198","0.194","136.17K","-1.52%"
"03/24/2026","0.198","0.190","0.198","0.190","0.20K","2.59%"
"03/18/2026","0.193","0.193","0.193","0.193","","0.00%"
"03/17/2026","0.193","0.191","0.191","0.191","0.34K","0.00%"
"03/16/2026","0.193","0.193","0.193","0.193","","0.00%"
"03/15/2026","0.193","0.194","0.194","0.193","11.73K","-0.52%"
"03/12/2026","0.194","0.194","0.194","0.194","0.03K","0.00%"
"03/11/2026","0.194","0.195","0.195","0.194","55.31K","0.52%"
"03/10/2026","0.193","0.191","0.193","0.190","191.53K","1.58%"
"03/09/2026","0.190","0.192","0.192","0.190","22.13K","-4.04%"
"03/08/2026","0.198","0.199","0.199","0.198","12.58K","-0.50%"
"03/05/2026","0.199","0.204","0.204","0.199","0.32K","-2.45%"
"03/04/2026","0.204","0.204","0.204","0.204","","0.00%"
"03/03/2026","0.204","0.204","0.204","0.204","10.14K","6.25%"
"03/02/2026","0.192","0.192","0.192","0.192","","0.00%"
"03/01/2026","0.192","0.194","0.194","0.190","71.29K","-5.42%"
"02/26/2026","0.203","0.205","0.205","0.203","36.50K","0.00%"
"02/25/2026","0.203","0.203","0.203","0.203","","0.00%"
"02/24/2026","0.203","0.201","0.203","0.198","12.47K","-0.98%"
"02/23/2026","0.205","0.205","0.205","0.205","2.40K","1.99%"
"02/22/2026","0.201","0.201","0.201","0.201","2.30K","-0.99%"
"02/19/2026","0.203","0.203","0.203","0.203","327.80K","-1.46%"
"02/18/2026","0.206","0.203","0.206","0.203","38.08K","1.48%"
"02/17/2026","0.203","0.202","0.204","0.201","384.84K","1.00%"
"02/16/2026","0.201","0.205","0.205","0.200","207.31K","0.50%"
"02/15/2026","0.200","0.205","0.205","0.200","144.30K","-0.50%"
"02/12/2026","0.201","0.195","0.205","0.195","1.00M","3.08%"
"02/11/2026","0.195","0.192","0.195","0.192","1.18M","1.56%"
"02/10/2026","0.192","0.190","0.192","0.190","550.26K","1.05%"
"02/09/2026","0.190","0.189","0.190","0.189","53.22K","0.53%"
"02/08/2026","0.189","0.189","0.189","0.189","","0.00%"
"02/05/2026","0.189","0.189","0.189","0.189","0.19K","3.85%"
"02/04/2026","0.182","0.188","0.188","0.180","1.45M","-3.70%"
"02/03/2026","0.189","0.189","0.189","0.189","2.53K","0.00%"
"02/02/2026","0.189","0.189","0.189","0.189","","0.00%"
"02/01/2026","0.189","0.181","0.189","0.180","54.14M","0.53%"
"01/29/2026","0.188","0.189","0.189","0.188","21.45K","-0.53%"
"01/28/2026","0.189","0.189","0.189","0.189","2.92K","0.00%"
"01/27/2026","0.189","0.188","0.189","0.188","2.26K","0.53%"
"01/26/2026","0.188","0.188","0.188","0.188","0.40K","0.00%"
"01/25/2026","0.188","0.188","0.188","0.188","0.28K","-0.53%"
"01/22/2026","0.189","0.189","0.189","0.189","1.16K","0.00%"
"01/21/2026","0.189","0.189","0.189","0.189","0.46K","0.53%"
"01/20/2026","0.188","0.188","0.188","0.183","2.25K","2.73%"
"01/19/2026","0.183","0.188","0.188","0.183","98.27K","-4.69%"
"01/14/2026","0.192","0.192","0.192","0.192","1.71K","0.00%"
"01/13/2026","0.192","0.192","0.192","0.192","1.20K","0.52%"
"01/12/2026","0.191","0.191","0.191","0.191","3.50K","-0.52%"
"01/11/2026","0.192","0.192","0.192","0.192","0.49K","1.05%"
"01/08/2026","0.190","0.190","0.190","0.190","","0.00%"
"01/07/2026","0.190","0.195","0.195","0.190","57.58K","-2.56%"
"01/06/2026","0.195","0.195","0.195","0.195","4.10K","1.56%"
"01/05/2026","0.192","0.192","0.192","0.192","","0.00%"
"01/04/2026","0.192","0.192","0.192","0.192","","0.00%"
"01/01/2026","0.192","0.192","0.192","0.192","","0.00%"
"12/31/2025","0.192","0.190","0.192","0.190","89.41K","1.05%"
"12/30/2025","0.190","0.190","0.190","0.190","671.43K","2.15%"
"12/29/2025","0.186","0.186","0.186","0.186","45.00K","0.00%"
"12/28/2025","0.186","0.186","0.186","0.186","3.00K","0.00%"
"12/25/2025","0.186","0.186","0.186","0.183","2.73M","3.33%"
"12/24/2025","0.180","0.175","0.181","0.175","193.30K","3.45%"
"12/23/2025","0.174","0.172","0.174","0.172","613.05K","4.19%"
"12/22/2025","0.167","0.167","0.167","0.167","0.29K","-2.91%"
"12/21/2025","0.172","0.170","0.172","0.170","161.37K","1.18%"
"12/18/2025","0.170","0.170","0.170","0.170","108.70K","-1.16%"
"12/17/2025","0.172","0.170","0.172","0.170","14.96K","1.18%"
"12/16/2025","0.170","0.171","0.171","0.170","71.60K","-0.58%"
"12/15/2025","0.171","0.170","0.172","0.170","153.52K","0.59%"
"12/14/2025","0.170","0.170","0.170","0.170","","0.00%"
"12/11/2025","0.170","0.168","0.170","0.162","201.20K","4.94%"
"12/10/2025","0.162","0.168","0.168","0.162","7.10K","-3.57%"
"12/09/2025","0.168","0.168","0.168","0.168","","0.00%"
"12/08/2025","0.168","0.148","0.168","0.148","3.08M","5.00%"
"12/07/2025","0.160","0.154","0.160","0.154","729.40K","4.58%"
"12/04/2025","0.153","0.151","0.153","0.151","110.31K","0.66%"
"12/03/2025","0.152","0.147","0.152","0.147","37.23K","3.40%"
"12/02/2025","0.147","0.147","0.147","0.147","805.13K","0.68%"
"12/01/2025","0.146","0.147","0.147","0.146","108.64K","-0.68%"
"11/30/2025","0.147","0.147","0.147","0.147","28.23K","0.68%"
"11/25/2025","0.146","0.147","0.147","0.146","38.12K","0.00%"
"11/24/2025","0.146","0.146","0.146","0.146","150.00K","0.00%"
"11/23/2025","0.146","0.147","0.147","0.146","288.04K","0.00%"
"11/20/2025","0.146","0.147","0.147","0.146","226.60K","-0.68%"
"11/19/2025","0.147","0.148","0.148","0.147","43.39K","-0.68%"
"11/18/2025","0.148","0.148","0.148","0.148","","0.00%"
"11/17/2025","0.148","0.148","0.148","0.148","1.61K","-0.67%"
"11/16/2025","0.149","0.149","0.149","0.149","","0.00%"
"11/13/2025","0.149","0.149","0.149","0.149","30.00K","0.00%"
"11/12/2025","0.149","0.149","0.149","0.147","70.27K","1.36%"
"11/11/2025","0.147","0.147","0.147","0.147","104.36K","-0.68%"
"11/10/2025","0.148","0.148","0.148","0.148","52.00K","0.68%"
"11/09/2025","0.147","0.147","0.147","0.147","19.70K","-0.68%"
"11/06/2025","0.148","0.148","0.148","0.148","64.00K","-0.67%"
"11/05/2025","0.149","0.149","0.149","0.149","27.00K","-0.67%"
"11/04/2025","0.150","0.150","0.150","0.150","30.16K","-1.32%"
"11/03/2025","0.152","0.152","0.152","0.152","50.00K","1.33%"
"11/02/2025","0.150","0.150","0.150","0.150","","0.00%"
"10/30/2025","0.150","0.152","0.152","0.150","5.29K","0.67%"
"10/29/2025","0.149","0.150","0.150","0.149","669.04K","-1.97%"
"10/28/2025","0.152","0.154","0.154","0.152","51.31K","-1.30%"
"10/27/2025","0.154","0.154","0.154","0.154","50.50K","-1.28%"
"10/26/2025","0.156","0.156","0.156","0.148","13.81K","0.00%"
"10/23/2025","0.156","0.156","0.156","0.156","","0.00%"
"10/22/2025","0.156","0.156","0.156","0.156","0.14K","0.00%"
"10/21/2025","0.156","0.152","0.156","0.152","106.90K","4.00%"
"10/20/2025","0.150","0.150","0.150","0.150","30.24K","1.35%"
"10/19/2025","0.148","0.148","0.148","0.148","","0.00%"
"10/16/2025","0.148","0.148","0.148","0.148","","0.00%"
"10/15/2025","0.148","0.148","0.148","0.148","50.44K","0.00%"
"10/14/2025","0.148","0.148","0.148","0.148","","0.00%"
"10/13/2025","0.148","0.148","0.148","0.148","","0.00%"
"10/12/2025","0.148","0.150","0.150","0.148","13.50K","-3.90%"
"10/09/2025","0.154","0.147","0.154","0.147","90.97K","4.76%"
"10/08/2025","0.147","0.147","0.147","0.147","","0.00%"
"10/07/2025","0.147","0.148","0.148","0.147","47.56K","-2.00%"
"10/06/2025","0.150","0.150","0.150","0.150","","0.00%"
"10/05/2025","0.150","0.150","0.150","0.150","1.45K","0.00%"
"10/02/2025","0.150","0.149","0.150","0.149","30.50K","1.35%"
"10/01/2025","0.148","0.148","0.148","0.148","0.89K","0.68%"
"09/30/2025","0.147","0.147","0.147","0.147","","0.00%"
