Date,Open,High,Low,Close,Volume
2026-01-20,0.356,0.363,0.355,0.363,5030883
2026-01-21,0.361,0.361,0.356,0.356,726883
2026-01-22,0.355,0.365,0.355,0.36,1741736
2026-01-25,0.359,0.362,0.356,0.356,2202711
2026-01-26,0.357,0.361,0.356,0.361,1369229
2026-01-27,0.361,0.365,0.358,0.365,5568280
2026-01-28,0.365,0.372,0.365,0.372,5857556
2026-01-29,0.372,0.377,0.37,0.37,4174436
2026-02-01,0.37,0.371,0.365,0.365,1792537
2026-02-02,0.364,0.366,0.361,0.365,967513
2026-02-03,0.367,0.375,0.367,0.375,908175
2026-02-04,0.375,0.382,0.375,0.382,887806
2026-02-05,0.381,0.383,0.375,0.378,2475527
2026-02-08,0.38,0.395,0.379,0.388,2295052
2026-02-09,0.389,0.4,0.389,0.398,2771985
2026-02-10,0.4,0.403,0.399,0.403,2789283
2026-02-11,0.405,0.412,0.403,0.412,1549224
2026-02-12,0.412,0.417,0.41,0.414,2475839
2026-02-15,0.413,0.413,0.41,0.411,1659973
2026-02-16,0.411,0.418,0.411,0.416,2286135
2026-02-17,0.416,0.422,0.415,0.42,3483914
2026-02-18,0.419,0.424,0.419,0.42,2471884
2026-02-19,0.419,0.428,0.419,0.425,5863761
2026-02-22,0.422,0.44,0.422,0.435,1945334
2026-02-23,0.436,0.444,0.426,0.427,9184393
2026-02-24,0.427,0.439,0.427,0.438,2137124
2026-02-25,0.438,0.45,0.438,0.449,2063699
2026-02-26,0.454,0.454,0.45,0.45,1345325
2026-03-01,0.445,0.451,0.442,0.451,3807945
2026-03-02,0.45,0.453,0.448,0.448,4125579
2026-03-03,0.45,0.45,0.427,0.433,3730343
2026-03-04,0.435,0.437,0.428,0.437,1931623
2026-03-05,0.439,0.441,0.434,0.44,2953085
2026-03-08,0.442,0.45,0.441,0.45,1293876
2026-03-09,0.45,0.461,0.45,0.455,2429399
2026-03-10,0.455,0.461,0.454,0.461,2510248
2026-03-11,0.461,0.464,0.455,0.455,2209311
2026-03-12,0.455,0.456,0.449,0.449,1388124
2026-03-15,0.45,0.452,0.444,0.446,1201274
2026-03-16,0.447,0.449,0.442,0.446,1441273
2026-03-17,0.446,0.458,0.446,0.453,1283735
2026-03-18,0.453,0.46,0.451,0.46,1400677
2026-03-24,0.461,0.47,0.461,0.47,1399824
2026-03-25,0.469,0.469,0.463,0.463,2516913
2026-03-26,0.462,0.464,0.45,0.454,2111413
2026-03-29,0.454,0.455,0.45,0.45,2018990
2026-03-30,0.451,0.454,0.447,0.454,795304
2026-03-31,0.452,0.455,0.45,0.455,460370
2026-04-01,0.455,0.459,0.451,0.455,1192394
2026-04-02,0.457,0.458,0.454,0.455,1447418
2026-04-05,0.452,0.462,0.452,0.462,1220812
2026-04-06,0.46,0.461,0.459,0.46,171730
2026-04-07,0.459,0.461,0.457,0.46,562499
2026-04-08,0.46,0.469,0.459,0.469,1140365
2026-04-09,0.466,0.47,0.462,0.465,1533681
2026-04-12,0.466,0.47,0.464,0.47,625922
2026-04-13,0.467,0.471,0.465,0.467,2138264
2026-04-14,0.468,0.47,0.465,0.466,828253
2026-04-15,0.463,0.467,0.46,0.46,1884972
2026-04-16,0.463,0.467,0.459,0.46,672357
2026-04-19,0.462,0.462,0.458,0.46,275969
2026-04-20,0.46,0.462,0.451,0.451,1128246
2026-04-21,0.453,0.453,0.447,0.447,873438
2026-04-22,0.447,0.447,0.439,0.44,971700
2026-04-23,0.439,0.44,0.437,0.438,627398
2026-04-26,0.438,0.439,0.433,0.433,2776883
2026-04-27,0.433,0.445,0.433,0.435,2741058
2026-04-28,0.435,0.436,0.429,0.429,2319706
2026-04-29,0.432,0.432,0.425,0.425,920875
2026-04-30,0.425,0.449,0.425,0.448,5397442
2026-05-03,0.45,0.49,0.45,0.482,8478961
2026-05-04,0.486,0.498,0.486,0.497,6414397
2026-05-05,0.497,0.499,0.491,0.496,2430897
2026-05-06,0.495,0.497,0.488,0.496,2863142
2026-05-07,0.493,0.496,0.49,0.495,1352612
2026-05-10,0.495,0.496,0.49,0.493,825087
2026-05-11,0.494,0.494,0.488,0.492,867291
2026-05-12,0.492,0.492,0.486,0.491,949599
2026-05-13,0.491,0.491,0.489,0.489,599638
2026-05-14,0.49,0.491,0.467,0.483,1194080
2026-05-17,0.483,0.485,0.476,0.476,2730789
2026-05-18,0.475,0.475,0.437,0.437,2335615
2026-05-19,0.44,0.44,0.412,0.412,1126834
2026-05-20,0.41,0.41,0.396,0.4,2012025
2026-05-21,0.402,0.43,0.402,0.429,7032280
2026-05-24,0.431,0.435,0.431,0.433,1557754
2026-05-25,0.434,0.434,0.429,0.433,460980
2026-05-31,0.434,0.435,0.429,0.435,1040887
2026-06-01,0.436,0.436,0.428,0.43,726771
2026-06-02,0.428,0.432,0.424,0.43,1452485
2026-06-03,0.429,0.43,0.421,0.424,1288486
2026-06-04,0.427,0.428,0.423,0.425,1021268
2026-06-07,0.424,0.425,0.414,0.415,1282831
2026-06-08,0.412,0.415,0.405,0.415,1476786
2026-06-09,0.413,0.415,0.409,0.412,1506885
2026-06-10,0.412,0.423,0.41,0.413,2045853
2026-06-11,0.413,0.414,0.408,0.411,922261
2026-06-14,0.411,0.412,0.407,0.408,969896
2026-06-15,0.407,0.409,0.399,0.407,2743656
2026-06-16,0.405,0.407,0.4,0.402,652847
2026-06-17,0.402,0.402,0.393,0.402,1271543
2026-06-21,0.401,0.401,0.389,0.389,1582137
2026-06-22,0.389,0.389,0.376,0.385,1715276
2026-06-23,0.384,0.384,0.377,0.377,578768
2026-06-24,0.377,0.378,0.376,0.377,847530
2026-06-25,0.377,0.377,0.374,0.377,1672985
2026-06-28,0.377,0.383,0.377,0.38,1053884
2026-06-29,0.381,0.394,0.379,0.389,9375379
2026-06-30,0.389,0.394,0.389,0.393,10148625
2026-07-01,0.392,0.393,0.39,0.392,6596305
2026-07-02,0.392,0.393,0.387,0.393,5198527
2026-07-05,0.393,0.393,0.391,0.392,4525129
2026-07-06,0.391,0.392,0.388,0.392,8619928
2026-07-07,0.392,0.392,0.388,0.388,3116993
2026-07-08,0.387,0.389,0.387,0.389,223870
2026-07-09,0.39,0.39,0.388,0.389,579259
2026-07-12,0.39,0.39,0.386,0.39,248950
2026-07-13,0.39,0.391,0.386,0.387,737261
2026-07-14,0.388,0.388,0.385,0.385,155151
2026-07-15,0.387,0.388,0.38,0.383,4898727
2026-07-16,0.383,0.383,0.376,0.376,6850121
2026-07-19,0.377,0.377,0.367,0.372,3422077
