Date,Open,High,Low,Close,Volume
2026-01-20,0.15,0.15,0.15,0.15,10000
2026-01-21,0.15,0.15,0.149,0.15,50250
2026-01-22,0.148,0.152,0.148,0.151,113022
2026-01-25,0.151,0.151,0.151,0.151,4270
2026-01-26,0.153,0.153,0.151,0.153,27000
2026-01-27,0.165,0.165,0.159,0.159,2607251
2026-01-28,0.159,0.16,0.159,0.159,39500
2026-01-29,0.159,0.159,0.159,0.159,70500
2026-02-01,0.159,0.159,0.155,0.155,65199
2026-02-02,0.155,0.155,0.154,0.154,579426
2026-02-03,0.165,0.165,0.164,0.164,1100
2026-02-04,0.162,0.162,0.162,0.162,10000
2026-02-05,0.162,0.162,0.162,0.162,20615
2026-02-08,0.163,0.164,0.163,0.163,64435
2026-02-09,0.164,0.164,0.163,0.163,99105
2026-02-10,0.165,0.179,0.165,0.179,481708
2026-02-11,0.189,0.19,0.179,0.19,223088
2026-02-12,0.19,0.195,0.189,0.195,171252
2026-02-15,0.195,0.195,0.195,0.195,0
2026-02-16,0.195,0.195,0.19,0.194,605645
2026-02-17,0.194,0.194,0.194,0.194,2888
2026-02-18,0.194,0.194,0.19,0.19,74000
2026-02-19,0.188,0.188,0.188,0.188,44180
2026-02-22,0.188,0.188,0.188,0.188,0
2026-02-23,0.188,0.189,0.188,0.189,327742
2026-02-24,0.19,0.19,0.19,0.19,10000
2026-02-25,0.19,0.19,0.19,0.19,0
2026-02-26,0.19,0.19,0.19,0.19,54000
2026-03-01,0.18,0.18,0.175,0.175,28200
2026-03-02,0.185,0.185,0.185,0.185,10000
2026-03-03,0.185,0.187,0.185,0.185,282000
2026-03-04,0.179,0.179,0.179,0.179,15000
2026-03-05,0.18,0.184,0.18,0.184,52063
2026-03-08,0.188,0.188,0.188,0.188,989
2026-03-09,0.188,0.188,0.188,0.188,19011
2026-03-10,0.188,0.188,0.188,0.188,0
2026-03-11,0.186,0.186,0.186,0.186,6500
2026-03-12,0.193,0.193,0.193,0.193,28800
2026-03-15,0.193,0.193,0.193,0.193,0
2026-03-16,0.188,0.188,0.184,0.186,329220
2026-03-17,0.186,0.186,0.184,0.184,75700
2026-03-18,0.184,0.184,0.18,0.18,264300
2026-03-24,0.18,0.18,0.179,0.18,42557
2026-03-25,0.18,0.18,0.18,0.18,450163
2026-03-26,0.18,0.18,0.18,0.18,0
2026-03-29,0.18,0.18,0.18,0.18,0
2026-03-30,0.186,0.186,0.185,0.185,187257
2026-03-31,0.185,0.19,0.185,0.19,189580
2026-04-01,0.178,0.178,0.178,0.178,40000
2026-04-02,0.178,0.178,0.178,0.178,0
2026-04-05,0.172,0.172,0.172,0.172,3114
2026-04-06,0.171,0.171,0.171,0.171,13000
2026-04-07,0.171,0.171,0.171,0.171,0
2026-04-08,0.171,0.171,0.171,0.171,0
2026-04-09,0.172,0.172,0.171,0.172,183947
2026-04-12,0.172,0.172,0.172,0.172,0
2026-04-13,0.172,0.172,0.172,0.172,0
2026-04-14,0.172,0.172,0.172,0.172,0
