Date,Open,High,Low,Close,Volume
2026-01-20,0.196,0.197,0.195,0.195,10718080
2026-01-21,0.193,0.193,0.19,0.19,10967700
2026-01-22,0.192,0.194,0.191,0.191,7557237
2026-01-25,0.193,0.193,0.19,0.191,7515360
2026-01-26,0.19,0.191,0.19,0.191,7277613
2026-01-27,0.192,0.195,0.189,0.195,23615690
2026-01-28,0.195,0.196,0.194,0.196,15175220
2026-01-29,0.196,0.196,0.191,0.191,14013890
2026-02-01,0.193,0.193,0.189,0.189,8631562
2026-02-02,0.189,0.189,0.185,0.188,13043670
2026-02-03,0.19,0.193,0.19,0.192,9284906
2026-02-04,0.191,0.195,0.191,0.194,10353180
2026-02-05,0.193,0.194,0.191,0.191,11177650
2026-02-08,0.194,0.199,0.193,0.198,32142020
2026-02-09,0.198,0.202,0.198,0.202,26821530
2026-02-10,0.203,0.209,0.202,0.209,15928530
2026-02-11,0.21,0.216,0.21,0.215,18437080
2026-02-12,0.215,0.226,0.214,0.222,18337710
2026-02-15,0.223,0.226,0.218,0.218,12572290
2026-02-16,0.22,0.23,0.22,0.228,12911220
2026-02-17,0.229,0.235,0.226,0.228,15700610
2026-02-18,0.23,0.232,0.227,0.228,3519004
2026-02-19,0.227,0.23,0.224,0.227,6698056
2026-02-22,0.229,0.229,0.224,0.227,6315169
2026-02-23,0.228,0.232,0.227,0.23,6555596
2026-02-24,0.232,0.236,0.23,0.23,8756926
2026-02-25,0.235,0.238,0.234,0.238,11221970
2026-02-26,0.239,0.243,0.238,0.239,6741235
2026-03-01,0.234,0.24,0.234,0.24,9220815
2026-03-02,0.242,0.247,0.238,0.239,6834148
2026-03-03,0.24,0.243,0.234,0.237,11090110
2026-03-04,0.237,0.242,0.234,0.242,4824239
2026-03-05,0.244,0.246,0.239,0.246,11394390
2026-03-08,0.245,0.25,0.245,0.25,6951509
2026-03-09,0.25,0.27,0.25,0.268,9924708
2026-03-10,0.265,0.272,0.265,0.272,9761449
2026-03-11,0.274,0.276,0.269,0.274,4234951
2026-03-12,0.274,0.283,0.269,0.281,7107950
2026-03-15,0.281,0.281,0.274,0.275,5187810
2026-03-16,0.275,0.285,0.274,0.285,5696499
2026-03-17,0.286,0.287,0.284,0.287,2462775
2026-03-18,0.288,0.296,0.285,0.292,1356875
2026-03-24,0.292,0.303,0.292,0.303,4263648
2026-03-25,0.303,0.33,0.302,0.306,9390345
2026-03-26,0.307,0.307,0.292,0.292,6970126
2026-03-29,0.29,0.296,0.289,0.295,12193910
2026-03-30,0.297,0.319,0.296,0.309,11079680
2026-03-31,0.31,0.314,0.299,0.301,9439955
2026-04-01,0.302,0.305,0.297,0.298,7090486
2026-04-02,0.298,0.306,0.298,0.3,5623816
2026-04-05,0.303,0.311,0.303,0.31,11897530
2026-04-06,0.31,0.317,0.31,0.311,7401433
2026-04-07,0.31,0.317,0.308,0.312,7566467
2026-04-08,0.315,0.316,0.312,0.313,3644580
2026-04-09,0.311,0.316,0.308,0.309,3728425
2026-04-12,0.308,0.315,0.308,0.309,9646725
2026-04-13,0.313,0.313,0.307,0.309,1760102
2026-04-14,0.311,0.311,0.307,0.307,2895932
2026-04-15,0.314,0.321,0.309,0.317,11225750
2026-04-16,0.318,0.32,0.314,0.315,1920542
2026-04-19,0.317,0.317,0.311,0.312,2690493
2026-04-20,0.314,0.315,0.304,0.306,3709286
2026-04-21,0.308,0.308,0.296,0.298,7485703
2026-04-22,0.298,0.299,0.292,0.292,6213857
2026-04-23,0.292,0.294,0.282,0.283,11323300
2026-04-26,0.284,0.284,0.278,0.279,10297760
2026-04-27,0.28,0.283,0.278,0.281,9365991
2026-04-28,0.285,0.293,0.284,0.284,10744090
2026-04-29,0.284,0.291,0.28,0.289,9992910
2026-04-30,0.291,0.298,0.29,0.297,12935300
2026-05-03,0.299,0.306,0.293,0.294,21449480
2026-05-04,0.295,0.3,0.294,0.298,5996703
2026-05-05,0.299,0.303,0.297,0.302,4870007
2026-05-06,0.301,0.308,0.299,0.302,7014934
2026-05-07,0.302,0.309,0.302,0.309,8111784
2026-05-10,0.309,0.31,0.304,0.306,3830493
2026-05-11,0.306,0.307,0.3,0.305,4115046
2026-05-12,0.305,0.306,0.302,0.306,6078486
2026-05-13,0.306,0.308,0.303,0.304,2860642
2026-05-14,0.306,0.306,0.28,0.3,4369284
2026-05-17,0.299,0.304,0.298,0.3,1631176
2026-05-18,0.3,0.3,0.284,0.298,3880622
2026-05-19,0.298,0.298,0.279,0.283,1736817
2026-05-20,0.283,0.283,0.255,0.263,3990639
2026-05-21,0.27,0.282,0.27,0.279,5263985
2026-05-24,0.28,0.286,0.279,0.279,8132479
2026-05-25,0.28,0.284,0.279,0.281,2191374
2026-05-31,0.281,0.285,0.278,0.282,2813741
2026-06-01,0.282,0.282,0.278,0.279,4006586
2026-06-02,0.281,0.283,0.277,0.281,4472402
2026-06-03,0.278,0.281,0.274,0.275,4368486
2026-06-04,0.274,0.28,0.274,0.278,1597321
2026-06-07,0.275,0.278,0.26,0.261,4591396
2026-06-08,0.265,0.268,0.259,0.261,11141180
2026-06-09,0.263,0.265,0.262,0.265,4011180
2026-06-10,0.265,0.269,0.26,0.261,13010110
2026-06-11,0.261,0.263,0.256,0.261,5478342
2026-06-14,0.261,0.263,0.26,0.262,5241757
2026-06-15,0.263,0.265,0.262,0.265,1353075
2026-06-16,0.264,0.282,0.262,0.281,6371769
2026-06-17,0.282,0.283,0.272,0.283,15377120
2026-06-21,0.283,0.286,0.281,0.284,3028944
2026-06-22,0.285,0.288,0.278,0.288,6004870
2026-06-23,0.29,0.29,0.283,0.283,1482338
2026-06-24,0.287,0.287,0.284,0.287,2347929
2026-06-25,0.284,0.288,0.28,0.28,7121335
2026-06-28,0.288,0.288,0.275,0.28,3409368
2026-06-29,0.284,0.284,0.279,0.282,930200
2026-06-30,0.284,0.285,0.277,0.282,2573469
2026-07-01,0.282,0.282,0.276,0.278,4788481
2026-07-02,0.282,0.282,0.275,0.278,2465560
2026-07-05,0.281,0.281,0.277,0.28,1206973
2026-07-06,0.28,0.28,0.277,0.28,751450
2026-07-07,0.281,0.281,0.275,0.277,1398330
2026-07-08,0.278,0.279,0.275,0.278,780777
2026-07-09,0.278,0.279,0.275,0.278,718681
2026-07-12,0.279,0.279,0.276,0.278,313170
2026-07-13,0.279,0.279,0.272,0.278,811262
2026-07-14,0.279,0.282,0.278,0.281,707147
2026-07-15,0.282,0.282,0.278,0.278,349117
2026-07-16,0.28,0.28,0.27,0.273,873650
2026-07-19,0.274,0.276,0.264,0.267,1749371
2026-07-20,0.268,0.27,0.257,0.257,952886
2026-07-21,0.258,0.259,0.249,0.25,875243
2026-07-22,0.25,0.253,0.24,0.24,4097006
2026-07-23,0.24,0.244,0.231,0.243,26593663
