"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","0.850","0.854","0.854","0.850","53.50K","-0.70%"
"07/15/2026","0.856","0.856","0.856","0.854","4.75K","0.00%"
"07/14/2026","0.856","0.850","0.856","0.850","24.34K","1.66%"
"07/13/2026","0.842","0.840","0.842","0.840","12.15K","0.00%"
"07/12/2026","0.842","0.840","0.842","0.840","3.13K","0.00%"
"07/09/2026","0.842","0.840","0.842","0.840","8.26K","0.60%"
"07/08/2026","0.837","0.837","0.840","0.837","25.00K","-0.36%"
"07/07/2026","0.840","0.836","0.840","0.836","41.13K","0.72%"
"07/06/2026","0.834","0.832","0.834","0.832","220.85K","0.48%"
"07/05/2026","0.830","0.830","0.830","0.830","152.00K","0.24%"
"07/02/2026","0.828","0.830","0.830","0.818","576.30K","-0.24%"
"07/01/2026","0.830","0.835","0.835","0.830","14.00K","-0.60%"
"06/30/2026","0.835","0.835","0.835","0.835","60.00K","0.00%"
"06/29/2026","0.835","0.828","0.835","0.828","269.84K","1.46%"
"06/28/2026","0.823","0.815","0.823","0.805","186.86K","0.98%"
"06/25/2026","0.815","0.810","0.815","0.810","25.86K","0.00%"
"06/24/2026","0.815","0.815","0.815","0.800","122.14K","0.00%"
"06/23/2026","0.815","0.815","0.815","0.810","42.45K","0.62%"
"06/22/2026","0.810","0.800","0.810","0.800","213.97K","1.25%"
"06/21/2026","0.800","0.775","0.800","0.775","126.18K","3.76%"
"06/17/2026","0.771","0.740","0.771","0.740","77.44K","3.91%"
"06/16/2026","0.742","0.742","0.742","0.742","","0.00%"
"06/15/2026","0.742","0.742","0.742","0.742","36.00K","-0.80%"
"06/14/2026","0.748","0.748","0.748","0.748","","0.00%"
"06/11/2026","0.748","0.748","0.748","0.748","","0.00%"
"06/10/2026","0.748","0.748","0.748","0.748","","0.00%"
"06/09/2026","0.748","0.750","0.750","0.720","32.33K","-1.32%"
"06/08/2026","0.758","0.758","0.758","0.758","0.40K","-1.56%"
"06/07/2026","0.770","0.770","0.770","0.770","","0.00%"
"06/04/2026","0.770","0.770","0.770","0.770","","0.00%"
"06/03/2026","0.770","0.770","0.770","0.770","","0.00%"
"06/02/2026","0.770","0.770","0.770","0.770","0.65K","0.00%"
"06/01/2026","0.770","0.770","0.770","0.770","","0.00%"
"05/31/2026","0.770","0.770","0.770","0.770","","0.00%"
"05/25/2026","0.770","0.750","0.770","0.725","8.98K","0.00%"
"05/24/2026","0.770","0.770","0.770","0.770","","0.00%"
"05/21/2026","0.770","0.750","0.770","0.750","22.80K","4.05%"
"05/20/2026","0.740","0.740","0.740","0.740","","0.00%"
"05/19/2026","0.740","0.740","0.740","0.740","0.50K","0.00%"
"05/18/2026","0.740","0.741","0.741","0.730","2.96K","-0.67%"
"05/17/2026","0.745","0.745","0.750","0.745","4.53K","0.00%"
"05/14/2026","0.745","0.755","0.755","0.745","14.38K","-0.67%"
"05/13/2026","0.750","0.760","0.760","0.750","1.00K","-3.23%"
"05/12/2026","0.775","0.775","0.775","0.775","","0.00%"
"05/11/2026","0.775","0.775","0.775","0.775","","0.00%"
"05/10/2026","0.775","0.776","0.776","0.775","55.12K","-3.13%"
"05/07/2026","0.800","0.800","0.800","0.800","0.10K","3.23%"
"05/06/2026","0.775","0.775","0.775","0.775","","0.00%"
"05/05/2026","0.775","0.775","0.775","0.775","9.68K","0.13%"
"05/04/2026","0.774","0.775","0.775","0.774","5.32K","-0.13%"
"05/03/2026","0.775","0.774","0.775","0.774","2.50K","0.00%"
"04/30/2026","0.775","0.775","0.775","0.730","3.33K","-0.13%"
"04/29/2026","0.776","0.780","0.780","0.731","15.45K","7.03%"
"04/28/2026","0.725","0.730","0.730","0.725","2.40K","-6.45%"
"04/27/2026","0.775","0.775","0.775","0.775","","0.00%"
"04/26/2026","0.775","0.775","0.775","0.775","1.03K","-1.52%"
"04/23/2026","0.787","0.787","0.787","0.786","2.64K","-0.13%"
"04/22/2026","0.788","0.760","0.790","0.721","166.70K","3.68%"
"04/21/2026","0.760","0.762","0.762","0.745","119.50K","-5.00%"
"04/20/2026","0.800","0.800","0.800","0.800","1.10K","0.00%"
"04/19/2026","0.800","0.765","0.800","0.765","0.10K","5.26%"
"04/16/2026","0.760","0.800","0.800","0.760","216.70K","-5.00%"
"04/15/2026","0.800","0.800","0.806","0.780","116.43K","-2.44%"
"04/14/2026","0.820","0.820","0.820","0.820","0.18K","0.24%"
"04/13/2026","0.818","0.800","0.819","0.800","43.43K","-0.24%"
"04/12/2026","0.820","0.825","0.825","0.820","1.44K","3.80%"
