Date,Open,High,Low,Close,Volume
2026-05-04,0.78,0.78,0.77,0.77,5320
2026-05-05,0.78,0.78,0.78,0.78,9675
2026-05-06,0.78,0.78,0.78,0.78,0
2026-05-07,0.8,0.8,0.8,0.8,100
2026-05-10,0.78,0.78,0.78,0.78,55124
2026-05-11,0.78,0.78,0.78,0.78,0
2026-05-12,0.78,0.78,0.78,0.78,0
2026-05-13,0.76,0.76,0.75,0.75,1000
2026-05-14,0.76,0.76,0.75,0.75,14380
2026-05-17,0.75,0.75,0.75,0.75,4527
2026-05-18,0.74,0.74,0.73,0.74,2955
2026-05-19,0.74,0.74,0.74,0.74,500
2026-05-20,0.74,0.74,0.74,0.74,0
2026-05-21,0.75,0.77,0.75,0.77,22800
2026-05-24,0.77,0.77,0.77,0.77,0
2026-05-25,0.75,0.77,0.73,0.77,8976
2026-05-31,0.77,0.77,0.77,0.77,0
2026-06-01,0.77,0.77,0.77,0.77,0
2026-06-02,0.77,0.77,0.77,0.77,650
2026-06-03,0.77,0.77,0.77,0.77,0
2026-06-04,0.77,0.77,0.77,0.77,0
2026-06-07,0.77,0.77,0.77,0.77,0
2026-06-08,0.76,0.76,0.76,0.76,400
2026-06-09,0.75,0.75,0.72,0.75,32327
2026-06-10,0.75,0.75,0.75,0.75,0
2026-06-11,0.75,0.75,0.75,0.75,0
2026-06-14,0.75,0.75,0.75,0.75,0
2026-06-15,0.74,0.74,0.74,0.74,36000
2026-06-16,0.74,0.74,0.74,0.74,0
2026-06-17,0.74,0.77,0.74,0.77,77441
2026-06-21,0.78,0.8,0.78,0.8,126180
2026-06-22,0.8,0.81,0.8,0.81,213969
2026-06-23,0.82,0.82,0.81,0.82,42450
2026-06-24,0.82,0.82,0.8,0.82,122141
2026-06-25,0.81,0.82,0.81,0.82,25859
2026-06-28,0.82,0.82,0.81,0.82,186860
2026-06-29,0.83,0.84,0.83,0.84,269844
2026-06-30,0.84,0.84,0.84,0.84,60000
2026-07-01,0.84,0.84,0.83,0.83,5400
2026-07-02,0.83,0.83,0.82,0.83,576300
2026-07-05,0.83,0.83,0.83,0.83,152000
2026-07-06,0.83,0.83,0.83,0.83,220850
2026-07-07,0.84,0.84,0.84,0.84,41129
2026-07-08,0.84,0.84,0.84,0.84,25000
2026-07-09,0.84,0.84,0.84,0.84,8260
2026-07-12,0.84,0.84,0.84,0.84,3130
2026-07-13,0.84,0.84,0.84,0.84,12150
2026-07-14,0.85,0.86,0.85,0.86,24340
2026-07-15,0.86,0.86,0.85,0.86,4750
2026-07-16,0.85,0.85,0.85,0.85,53500
