"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","0.180","0.181","0.181","0.180","125.92K","-1.64%"
"07/15/2026","0.183","0.183","0.184","0.183","33.00K","-0.54%"
"07/14/2026","0.184","0.184","0.184","0.184","16.00K","0.55%"
"07/13/2026","0.183","0.188","0.188","0.183","782.14K","-4.69%"
"07/12/2026","0.192","0.190","0.192","0.190","21.08K","1.05%"
"07/09/2026","0.190","0.190","0.193","0.189","1.35M","0.00%"
"07/08/2026","0.190","0.190","0.190","0.188","372.70K","0.00%"
"07/07/2026","0.190","0.193","0.193","0.190","548.80K","-1.55%"
"07/06/2026","0.193","0.191","0.194","0.191","46.70K","0.52%"
"07/05/2026","0.192","0.193","0.193","0.192","186.53K","-0.52%"
"07/02/2026","0.193","0.193","0.194","0.192","140.18K","-1.03%"
"07/01/2026","0.195","0.198","0.205","0.195","1.34M","1.56%"
"06/30/2026","0.192","0.192","0.192","0.192","20.50K","0.00%"
"06/29/2026","0.192","0.192","0.192","0.192","13.00K","-1.03%"
"06/28/2026","0.194","0.193","0.194","0.193","16.11K","0.00%"
"06/25/2026","0.194","0.190","0.194","0.188","42.15K","2.11%"
"06/24/2026","0.190","0.192","0.192","0.190","27.08K","-1.04%"
"06/23/2026","0.192","0.193","0.193","0.190","15.06K","0.00%"
"06/22/2026","0.192","0.193","0.193","0.190","394.82K","0.00%"
"06/21/2026","0.192","0.192","0.192","0.192","17.05K","-1.54%"
"06/17/2026","0.195","0.193","0.195","0.192","17.65K","0.00%"
"06/16/2026","0.195","0.192","0.195","0.192","81.76K","0.00%"
"06/15/2026","0.195","0.193","0.195","0.192","99.13K","0.52%"
"06/14/2026","0.194","0.195","0.195","0.194","11.13K","0.52%"
"06/11/2026","0.193","0.193","0.193","0.192","69.86K","-1.03%"
"06/10/2026","0.195","0.191","0.195","0.191","29.50K","1.04%"
"06/09/2026","0.193","0.190","0.193","0.190","41.90K","0.52%"
"06/08/2026","0.192","0.194","0.194","0.190","86.25K","-1.03%"
"06/07/2026","0.194","0.191","0.194","0.191","193.09K","0.52%"
"06/04/2026","0.193","0.194","0.198","0.193","75.65K","-1.03%"
"06/03/2026","0.195","0.197","0.198","0.195","206.81K","-2.01%"
"06/02/2026","0.199","0.201","0.201","0.198","298.61K","-1.49%"
"06/01/2026","0.202","0.203","0.203","0.200","459.52K","-0.49%"
"05/31/2026","0.203","0.202","0.205","0.200","135.64K","1.00%"
"05/25/2026","0.201","0.202","0.204","0.200","891.65K","0.00%"
"05/24/2026","0.201","0.200","0.201","0.198","280.04K","0.50%"
"05/21/2026","0.200","0.190","0.200","0.190","476.03K","9.29%"
"05/20/2026","0.183","0.190","0.190","0.180","160.75K","-4.69%"
"05/19/2026","0.192","0.194","0.194","0.192","30.06K","-0.52%"
"05/18/2026","0.193","0.200","0.200","0.190","88.10K","-3.50%"
"05/17/2026","0.200","0.199","0.200","0.199","36.55K","0.50%"
"05/14/2026","0.199","0.200","0.202","0.197","506.96K","-1.00%"
"05/13/2026","0.201","0.201","0.203","0.200","355.04K","0.00%"
"05/12/2026","0.201","0.199","0.201","0.198","142.96K","1.01%"
"05/11/2026","0.199","0.205","0.205","0.198","642.35K","-1.97%"
"05/10/2026","0.203","0.209","0.212","0.203","1.34M","2.01%"
"05/07/2026","0.199","0.201","0.201","0.199","92.55K","-1.49%"
"05/06/2026","0.202","0.199","0.209","0.199","1.58M","2.02%"
"05/05/2026","0.198","0.200","0.201","0.197","1.23M","-0.50%"
"05/04/2026","0.199","0.201","0.201","0.199","228.03K","-0.50%"
"05/03/2026","0.200","0.200","0.201","0.198","687.41K","1.52%"
"04/30/2026","0.197","0.198","0.200","0.197","517.24K","-0.51%"
"04/29/2026","0.198","0.197","0.200","0.197","369.62K","1.02%"
"04/28/2026","0.196","0.196","0.197","0.196","542.11K","1.55%"
"04/27/2026","0.193","0.195","0.196","0.193","45.42K","-1.03%"
"04/26/2026","0.195","0.199","0.199","0.195","79.74K","-2.01%"
"04/23/2026","0.199","0.201","0.202","0.195","605.44K","-1.97%"
"04/22/2026","0.203","0.203","0.203","0.203","15.50K","0.00%"
"04/21/2026","0.203","0.203","0.204","0.203","242.78K","-0.98%"
"04/20/2026","0.205","0.203","0.206","0.203","304.40K","0.00%"
"04/19/2026","0.205","0.205","0.205","0.205","","0.00%"
"04/16/2026","0.205","0.202","0.210","0.202","263.92K","2.50%"
"04/15/2026","0.200","0.201","0.202","0.200","111.88K","-0.99%"
"04/14/2026","0.202","0.204","0.204","0.198","735.85K","-1.94%"
"04/13/2026","0.206","0.211","0.213","0.206","83.79K","-2.37%"
"04/12/2026","0.211","0.216","0.217","0.210","137.92K","-3.21%"
"04/09/2026","0.218","0.220","0.221","0.217","3.21M","-0.91%"
"04/08/2026","0.220","0.217","0.223","0.217","724.16K","2.33%"
"04/07/2026","0.215","0.224","0.224","0.213","358.05K","-1.38%"
"04/06/2026","0.218","0.220","0.223","0.217","460.74K","-0.91%"
"04/05/2026","0.220","0.218","0.221","0.215","439.35K","0.46%"
"04/02/2026","0.219","0.215","0.229","0.215","1.99M","4.78%"
"04/01/2026","0.209","0.195","0.209","0.195","1.26M","10.00%"
"03/31/2026","0.190","0.184","0.190","0.184","622.80K","4.97%"
"03/30/2026","0.181","0.180","0.181","0.178","273.47K","0.56%"
"03/29/2026","0.180","0.177","0.180","0.176","1.50M","2.27%"
"03/26/2026","0.176","0.178","0.180","0.176","1.54M","-0.56%"
"03/25/2026","0.177","0.178","0.178","0.177","535.30K","-0.56%"
"03/24/2026","0.178","0.177","0.178","0.175","895.60K","1.14%"
"03/18/2026","0.176","0.187","0.187","0.176","1.65M","3.53%"
"03/17/2026","0.170","0.170","0.170","0.170","284.16K","9.68%"
"03/16/2026","0.155","0.157","0.157","0.154","27.30K","0.00%"
"03/15/2026","0.155","0.157","0.157","0.155","8.89K","-1.27%"
"03/12/2026","0.157","0.156","0.157","0.156","21.45K","0.64%"
"03/11/2026","0.156","0.158","0.158","0.156","382.61K","-0.64%"
"03/10/2026","0.157","0.158","0.158","0.156","85.27K","-0.63%"
"03/09/2026","0.158","0.158","0.160","0.156","274.55K","-0.63%"
"03/08/2026","0.159","0.162","0.162","0.158","68.69K","-1.24%"
"03/05/2026","0.161","0.162","0.162","0.158","7.40K","1.90%"
"03/04/2026","0.158","0.160","0.164","0.158","24.92K","-3.07%"
"03/03/2026","0.163","0.164","0.164","0.163","2.30K","0.00%"
"03/02/2026","0.163","0.157","0.165","0.157","42.75K","6.54%"
"03/01/2026","0.153","0.150","0.159","0.150","544.01K","-6.71%"
"02/26/2026","0.164","0.163","0.164","0.163","16.00K","-0.61%"
"02/25/2026","0.165","0.165","0.166","0.165","126.23K","0.00%"
"02/24/2026","0.165","0.164","0.165","0.164","25.41K","0.00%"
"02/23/2026","0.165","0.165","0.165","0.163","266.95K","-0.60%"
"02/22/2026","0.166","0.170","0.170","0.164","294.05K","-1.19%"
"02/19/2026","0.168","0.167","0.168","0.167","52.75K","0.60%"
"02/18/2026","0.167","0.174","0.174","0.167","465.12K","-4.57%"
"02/17/2026","0.175","0.172","0.179","0.172","683.88K","1.74%"
"02/16/2026","0.172","0.169","0.175","0.169","785.38K","2.38%"
"02/15/2026","0.168","0.167","0.169","0.166","140.28K","0.60%"
"02/12/2026","0.167","0.169","0.169","0.167","613.47K","-0.60%"
"02/11/2026","0.168","0.168","0.168","0.167","206.98K","0.00%"
"02/10/2026","0.168","0.169","0.169","0.168","109.61K","-0.59%"
"02/09/2026","0.169","0.165","0.169","0.165","112.76K","2.42%"
"02/08/2026","0.165","0.164","0.165","0.163","207.55K","0.61%"
"02/05/2026","0.164","0.165","0.165","0.164","132.77K","0.00%"
"02/04/2026","0.164","0.166","0.166","0.164","18.20K","0.00%"
"02/03/2026","0.164","0.164","0.164","0.164","33.33K","0.00%"
"02/02/2026","0.164","0.164","0.165","0.164","196.35K","0.00%"
"02/01/2026","0.164","0.165","0.165","0.164","96.16K","-0.61%"
"01/29/2026","0.165","0.165","0.166","0.165","53.73K","-0.60%"
"01/28/2026","0.166","0.166","0.166","0.166","95.62K","0.00%"
"01/27/2026","0.166","0.166","0.166","0.165","153.19K","0.61%"
"01/26/2026","0.165","0.167","0.167","0.165","228.85K","-1.20%"
"01/25/2026","0.167","0.165","0.168","0.165","132.40K","0.60%"
"01/22/2026","0.166","0.167","0.167","0.165","125.27K","0.00%"
"01/21/2026","0.166","0.167","0.167","0.166","34.07K","-1.19%"
"01/20/2026","0.168","0.165","0.168","0.165","3.00K","0.60%"
"01/19/2026","0.167","0.167","0.168","0.167","47.37K","0.00%"
"01/14/2026","0.167","0.166","0.171","0.164","123.46K","-0.60%"
"01/13/2026","0.168","0.169","0.169","0.166","59.60K","-1.18%"
"01/12/2026","0.170","0.170","0.171","0.170","205.82K","0.59%"
"01/11/2026","0.169","0.161","0.172","0.161","653.51K","5.63%"
"01/08/2026","0.160","0.157","0.162","0.157","234.24K","1.91%"
"01/07/2026","0.157","0.156","0.157","0.156","79.37K","0.00%"
"01/06/2026","0.157","0.160","0.160","0.157","83.48K","-1.87%"
"01/05/2026","0.160","0.160","0.160","0.160","82.84K","0.00%"
"01/04/2026","0.160","0.160","0.160","0.158","108.92K","-1.23%"
"01/01/2026","0.162","0.162","0.162","0.161","28.23K","0.00%"
"12/31/2025","0.162","0.162","0.162","0.162","30.37K","-0.61%"
"12/30/2025","0.163","0.164","0.164","0.163","83.89K","0.00%"
"12/29/2025","0.163","0.162","0.163","0.162","85.75K","0.00%"
"12/28/2025","0.163","0.162","0.163","0.162","68.48K","0.62%"
"12/25/2025","0.162","0.162","0.162","0.162","4.60K","0.00%"
"12/24/2025","0.162","0.163","0.163","0.162","2.91K","0.00%"
"12/23/2025","0.162","0.164","0.164","0.162","7.60K","-0.61%"
"12/22/2025","0.163","0.162","0.163","0.162","64.81K","-0.61%"
"12/21/2025","0.164","0.163","0.165","0.162","10.05K","0.61%"
"12/18/2025","0.163","0.161","0.164","0.161","112.22K","0.62%"
"12/17/2025","0.162","0.163","0.164","0.162","209.85K","-1.22%"
"12/16/2025","0.164","0.163","0.164","0.162","126.66K","0.61%"
"12/15/2025","0.163","0.165","0.165","0.163","97.04K","-1.21%"
"12/14/2025","0.165","0.165","0.165","0.165","111.65K","0.00%"
"12/11/2025","0.165","0.165","0.166","0.165","216.39K","0.00%"
"12/10/2025","0.165","0.165","0.166","0.165","189.00K","0.00%"
"12/09/2025","0.165","0.162","0.165","0.162","119.72K","1.85%"
"12/08/2025","0.162","0.163","0.163","0.161","126.65K","-0.61%"
"12/07/2025","0.163","0.163","0.165","0.163","10.35K","-0.61%"
"12/04/2025","0.164","0.165","0.165","0.164","45.92K","-0.61%"
"12/03/2025","0.165","0.167","0.167","0.165","44.71K","-1.20%"
"12/02/2025","0.167","0.165","0.167","0.165","63.40K","0.00%"
"12/01/2025","0.167","0.169","0.170","0.167","223.56K","-1.18%"
"11/30/2025","0.169","0.171","0.173","0.169","331.03K","-0.59%"
"11/25/2025","0.170","0.169","0.170","0.167","323.45K","0.59%"
"11/24/2025","0.169","0.170","0.170","0.167","101.58K","3.05%"
"11/23/2025","0.164","0.167","0.167","0.164","331.32K","-2.38%"
"11/20/2025","0.168","0.168","0.168","0.168","72.50K","0.00%"
"11/19/2025","0.168","0.169","0.169","0.168","195.11K","0.00%"
"11/18/2025","0.168","0.170","0.170","0.168","85.59K","-1.75%"
"11/17/2025","0.171","0.170","0.171","0.170","101.09K","0.59%"
"11/16/2025","0.170","0.172","0.172","0.170","72.06K","-1.73%"
