Date,Open,High,Low,Close,Volume
2026-01-20,0.165,0.168,0.165,0.168,3000
2026-01-21,0.167,0.167,0.166,0.166,34074
2026-01-22,0.167,0.167,0.165,0.166,125270
2026-01-25,0.165,0.168,0.165,0.167,132400
2026-01-26,0.167,0.167,0.165,0.165,228846
2026-01-27,0.166,0.166,0.165,0.166,153185
2026-01-28,0.166,0.166,0.166,0.166,95617
2026-01-29,0.165,0.166,0.165,0.165,53728
2026-02-01,0.165,0.165,0.164,0.164,96158
2026-02-02,0.164,0.165,0.164,0.164,196351
2026-02-03,0.164,0.164,0.164,0.164,33334
2026-02-04,0.166,0.166,0.164,0.164,18200
2026-02-05,0.165,0.165,0.164,0.164,132773
2026-02-08,0.164,0.165,0.163,0.165,207551
2026-02-09,0.165,0.169,0.165,0.169,112755
2026-02-10,0.169,0.169,0.168,0.168,109606
2026-02-11,0.168,0.168,0.167,0.168,206980
2026-02-12,0.169,0.169,0.167,0.167,613466
2026-02-15,0.167,0.169,0.166,0.168,140275
2026-02-16,0.169,0.175,0.169,0.172,785383
2026-02-17,0.172,0.179,0.172,0.175,683884
2026-02-18,0.174,0.174,0.167,0.167,465124
2026-02-19,0.167,0.168,0.167,0.168,52749
2026-02-22,0.17,0.17,0.164,0.166,294048
2026-02-23,0.165,0.165,0.163,0.165,266952
2026-02-24,0.164,0.165,0.164,0.165,25410
2026-02-25,0.165,0.166,0.165,0.165,126234
2026-02-26,0.163,0.164,0.163,0.164,16000
2026-03-01,0.15,0.159,0.15,0.153,544006
2026-03-02,0.157,0.165,0.157,0.163,42745
2026-03-03,0.164,0.164,0.163,0.163,2300
2026-03-04,0.16,0.164,0.158,0.158,24916
2026-03-05,0.162,0.162,0.158,0.161,7400
2026-03-08,0.162,0.162,0.158,0.159,68690
2026-03-09,0.158,0.16,0.156,0.158,274549
2026-03-10,0.158,0.158,0.156,0.157,85265
2026-03-11,0.158,0.158,0.156,0.156,382605
2026-03-12,0.156,0.157,0.156,0.157,21450
2026-03-15,0.157,0.157,0.155,0.155,8885
2026-03-16,0.157,0.157,0.154,0.155,27298
2026-03-17,0.17,0.17,0.17,0.17,284156
2026-03-18,0.187,0.187,0.176,0.176,1653410
2026-03-24,0.177,0.178,0.175,0.178,895600
2026-03-25,0.178,0.178,0.177,0.177,535296
2026-03-26,0.178,0.18,0.176,0.176,1541410
2026-03-29,0.177,0.18,0.176,0.18,1499948
2026-03-30,0.18,0.181,0.178,0.181,273474
2026-03-31,0.184,0.19,0.184,0.19,622803
2026-04-01,0.195,0.209,0.195,0.209,1261119
2026-04-02,0.215,0.229,0.215,0.219,1989784
2026-04-05,0.218,0.221,0.215,0.22,439353
