"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","0.225","0.228","0.229","0.220","467.70K","-1.75%"
"07/15/2026","0.229","0.227","0.229","0.224","480.01K","1.33%"
"07/14/2026","0.226","0.227","0.229","0.224","125.00K","-1.31%"
"07/13/2026","0.229","0.229","0.229","0.225","422.72K","0.44%"
"07/12/2026","0.228","0.227","0.228","0.227","119.00K","0.44%"
"07/09/2026","0.227","0.230","0.230","0.225","230.25K","0.89%"
"07/08/2026","0.225","0.228","0.229","0.224","814.50K","-1.32%"
"07/07/2026","0.228","0.227","0.230","0.227","773.59K","0.44%"
"07/06/2026","0.227","0.230","0.230","0.224","3.30M","-1.30%"
"07/05/2026","0.230","0.225","0.235","0.221","5.97M","4.55%"
"07/02/2026","0.220","0.213","0.224","0.212","6.42M","2.33%"
"07/01/2026","0.215","0.210","0.215","0.210","791.78K","2.38%"
"06/30/2026","0.210","0.205","0.210","0.203","783.00K","2.44%"
"06/29/2026","0.205","0.205","0.205","0.201","157.34K","0.99%"
"06/28/2026","0.203","0.199","0.203","0.199","56.50K","4.10%"
"06/25/2026","0.195","0.197","0.197","0.195","133.10K","-1.02%"
"06/24/2026","0.197","0.194","0.200","0.194","388.67K","3.14%"
"06/23/2026","0.191","0.195","0.195","0.191","22.33K","-1.55%"
"06/22/2026","0.194","0.199","0.199","0.194","90.85K","-1.52%"
"06/21/2026","0.197","0.200","0.200","0.197","303.15K","0.51%"
"06/17/2026","0.196","0.200","0.200","0.196","152.10K","-2.00%"
"06/16/2026","0.200","0.200","0.200","0.200","109.80K","0.00%"
"06/15/2026","0.200","0.200","0.200","0.200","209.90K","-1.48%"
"06/14/2026","0.203","0.200","0.203","0.200","292.00K","-0.49%"
"06/11/2026","0.204","0.204","0.204","0.204","10.10K","0.00%"
"06/10/2026","0.204","0.206","0.206","0.204","49.40K","1.49%"
"06/09/2026","0.201","0.198","0.201","0.198","4.17M","3.08%"
"06/08/2026","0.195","0.202","0.202","0.190","10.48M","-3.47%"
"06/07/2026","0.202","0.207","0.207","0.198","4.88M","-2.42%"
"06/04/2026","0.207","0.207","0.207","0.204","134.20K","1.47%"
"06/03/2026","0.204","0.209","0.210","0.204","356.12K","-1.92%"
"06/02/2026","0.208","0.215","0.215","0.207","1.07M","-3.26%"
"06/01/2026","0.215","0.214","0.217","0.210","992.10K","0.94%"
"05/31/2026","0.213","0.210","0.213","0.210","131.00K","1.91%"
"05/25/2026","0.209","0.215","0.219","0.209","1.19M","-1.42%"
"05/24/2026","0.212","0.215","0.215","0.212","1.59M","-1.40%"
"05/21/2026","0.215","0.210","0.216","0.210","1.58M","2.87%"
"05/20/2026","0.209","0.205","0.210","0.197","719.74K","-2.79%"
"05/19/2026","0.215","0.217","0.219","0.215","1.18M","0.00%"
"05/18/2026","0.215","0.216","0.217","0.203","1.81M","2.38%"
"05/17/2026","0.210","0.218","0.218","0.210","1.01M","-0.94%"
"05/14/2026","0.212","0.220","0.220","0.204","1.18M","-2.75%"
"05/13/2026","0.218","0.220","0.220","0.218","2.50M","-0.46%"
"05/12/2026","0.219","0.218","0.219","0.217","3.48M","0.46%"
"05/11/2026","0.218","0.213","0.218","0.210","20.61M","3.81%"
"05/10/2026","0.210","0.216","0.217","0.210","2.79M","-2.33%"
"05/07/2026","0.215","0.215","0.215","0.214","267.20K","0.00%"
"05/06/2026","0.215","0.215","0.216","0.212","370.05K","0.00%"
"05/05/2026","0.215","0.215","0.215","0.212","671.07K","0.00%"
"05/04/2026","0.215","0.212","0.216","0.212","282.45K","0.47%"
"05/03/2026","0.214","0.220","0.220","0.214","1.20M","-2.28%"
"04/30/2026","0.219","0.216","0.219","0.213","2.31M","1.86%"
"04/29/2026","0.215","0.213","0.217","0.211","1.17M","0.47%"
"04/28/2026","0.214","0.217","0.217","0.214","107.00K","-1.38%"
"04/27/2026","0.217","0.213","0.217","0.213","266.93K","0.93%"
"04/26/2026","0.215","0.214","0.215","0.213","414.93K","-0.92%"
"04/23/2026","0.217","0.219","0.219","0.217","663.00K","-0.91%"
