"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","0.392","0.394","0.394","0.391","7.17M","-0.25%"
"07/15/2026","0.393","0.395","0.396","0.391","12.56M","0.26%"
"07/14/2026","0.392","0.398","0.399","0.391","13.49M","-1.26%"
"07/13/2026","0.397","0.400","0.400","0.395","8.43M","-0.50%"
"07/12/2026","0.399","0.398","0.400","0.397","4.52M","0.50%"
"07/09/2026","0.397","0.400","0.400","0.396","13.13M","-0.75%"
"07/08/2026","0.400","0.399","0.400","0.395","7.01M","0.25%"
"07/07/2026","0.399","0.405","0.405","0.397","9.06M","-1.48%"
"07/06/2026","0.405","0.402","0.405","0.400","19.74M","1.00%"
"07/05/2026","0.401","0.406","0.406","0.400","14.54M","-1.23%"
"07/02/2026","0.406","0.405","0.406","0.403","16.80M","0.25%"
"07/01/2026","0.405","0.405","0.406","0.402","28.22M","0.00%"
"06/30/2026","0.405","0.409","0.409","0.403","27.82M","-0.98%"
"06/29/2026","0.409","0.408","0.410","0.404","38.05M","0.49%"
"06/28/2026","0.407","0.399","0.408","0.398","23.26M","2.52%"
"06/25/2026","0.397","0.398","0.399","0.395","11.88M","-0.25%"
"06/24/2026","0.398","0.398","0.400","0.395","19.55M","-0.25%"
"06/23/2026","0.399","0.400","0.400","0.395","3.63M","-0.25%"
"06/22/2026","0.400","0.404","0.406","0.398","11.78M","-1.23%"
"06/21/2026","0.405","0.410","0.411","0.404","28.00M","-1.22%"
"06/17/2026","0.410","0.413","0.413","0.405","18.67M","-0.49%"
"06/16/2026","0.412","0.419","0.421","0.408","25.73M","-1.44%"
"06/15/2026","0.418","0.420","0.421","0.416","24.16M","-0.48%"
"06/14/2026","0.420","0.402","0.420","0.402","269.32M","4.74%"
"06/11/2026","0.401","0.403","0.403","0.400","23.27M","-0.25%"
"06/10/2026","0.402","0.402","0.406","0.397","27.80M","0.00%"
"06/09/2026","0.402","0.402","0.402","0.399","22.42M","0.00%"
"06/08/2026","0.402","0.400","0.405","0.391","11.19M","0.50%"
"06/07/2026","0.400","0.409","0.409","0.399","30.16M","-2.20%"
"06/04/2026","0.409","0.415","0.415","0.409","4.11M","-0.73%"
"06/03/2026","0.412","0.418","0.418","0.408","12.66M","-1.44%"
"06/02/2026","0.418","0.425","0.425","0.417","10.48M","-1.18%"
"06/01/2026","0.423","0.424","0.424","0.420","12.39M","0.00%"
"05/31/2026","0.423","0.427","0.428","0.422","18.50M","-0.94%"
"05/25/2026","0.427","0.411","0.427","0.410","12.00M","3.89%"
"05/24/2026","0.411","0.404","0.414","0.403","22.23M","1.73%"
"05/21/2026","0.404","0.393","0.407","0.393","18.51M","4.39%"
"05/20/2026","0.387","0.386","0.391","0.373","74.05M","0.52%"
"05/19/2026","0.385","0.403","0.408","0.385","16.34M","-3.75%"
"05/18/2026","0.400","0.410","0.410","0.390","22.03M","-2.44%"
"05/17/2026","0.410","0.416","0.419","0.410","21.43M","-0.97%"
"05/14/2026","0.414","0.443","0.443","0.400","23.90M","-5.91%"
"05/13/2026","0.440","0.449","0.451","0.440","13.48M","-2.00%"
"05/12/2026","0.449","0.454","0.454","0.447","31.51M","-0.88%"
"05/11/2026","0.453","0.461","0.462","0.453","11.45M","-1.52%"
"05/10/2026","0.460","0.460","0.461","0.457","33.24M","0.44%"
"05/07/2026","0.458","0.460","0.460","0.450","55.83M","-0.43%"
"05/06/2026","0.460","0.469","0.470","0.457","33.83M","-1.71%"
"05/05/2026","0.468","0.472","0.473","0.466","16.42M","-0.85%"
"05/04/2026","0.472","0.474","0.475","0.471","28.17M","0.00%"
"05/03/2026","0.472","0.476","0.477","0.472","8.18M","-0.84%"
"04/30/2026","0.476","0.474","0.477","0.473","24.69M","0.63%"
"04/29/2026","0.473","0.472","0.474","0.471","17.54M","0.64%"
"04/28/2026","0.470","0.474","0.475","0.470","13.69M","-0.63%"
"04/27/2026","0.473","0.474","0.475","0.473","26.57M","0.21%"
"04/26/2026","0.472","0.475","0.475","0.471","31.34M","-0.21%"
"04/23/2026","0.473","0.479","0.479","0.473","9.78M","-1.05%"
"04/22/2026","0.478","0.484","0.484","0.476","16.63M","-1.04%"
"04/21/2026","0.483","0.483","0.486","0.480","34.37M","0.21%"
"04/20/2026","0.482","0.489","0.489","0.482","33.15M","-1.43%"
"04/19/2026","0.489","0.487","0.489","0.485","42.25M","0.41%"
"04/16/2026","0.487","0.481","0.496","0.480","26.92M","0.83%"
"04/15/2026","0.483","0.480","0.484","0.479","28.40M","0.84%"
"04/14/2026","0.479","0.475","0.480","0.471","44.76M","1.05%"
"04/13/2026","0.474","0.473","0.474","0.470","9.63M","0.21%"
"04/12/2026","0.473","0.479","0.481","0.473","9.17M","-1.05%"
"04/09/2026","0.478","0.479","0.482","0.477","30.81M","-0.21%"
"04/08/2026","0.479","0.479","0.480","0.477","17.99M","0.00%"
"04/07/2026","0.479","0.480","0.480","0.474","13.51M","0.00%"
"04/06/2026","0.479","0.483","0.483","0.478","13.62M","-0.83%"
"04/05/2026","0.483","0.483","0.484","0.480","23.41M","0.21%"
"04/02/2026","0.482","0.482","0.485","0.480","17.59M","0.00%"
"04/01/2026","0.482","0.485","0.485","0.480","14.66M","-0.82%"
"03/31/2026","0.486","0.474","0.487","0.474","23.36M","2.53%"
"03/30/2026","0.474","0.473","0.475","0.466","23.02M","0.21%"
"03/29/2026","0.473","0.472","0.474","0.470","12.53M","-0.21%"
"03/26/2026","0.474","0.472","0.474","0.468","40.03M","0.21%"
"03/25/2026","0.473","0.477","0.477","0.473","15.46M","-0.63%"
"03/24/2026","0.476","0.475","0.476","0.474","19.12M","-0.21%"
"03/18/2026","0.477","0.469","0.477","0.459","44.16M","0.21%"
"03/17/2026","0.476","0.471","0.476","0.470","21.60M","1.06%"
"03/16/2026","0.471","0.477","0.477","0.470","25.38M","-1.26%"
"03/15/2026","0.477","0.480","0.480","0.469","16.65M","-0.62%"
"03/12/2026","0.480","0.460","0.484","0.460","25.47M","4.35%"
"03/11/2026","0.460","0.465","0.469","0.460","19.09M","-0.86%"
"03/10/2026","0.464","0.464","0.467","0.458","34.12M","0.00%"
"03/09/2026","0.464","0.430","0.464","0.429","55.29M","7.91%"
"03/08/2026","0.430","0.424","0.430","0.424","21.37M","0.94%"
"03/05/2026","0.426","0.426","0.426","0.420","20.37M","0.24%"
"03/04/2026","0.425","0.419","0.427","0.416","43.67M","1.43%"
"03/03/2026","0.419","0.427","0.428","0.419","19.00M","-1.87%"
"03/02/2026","0.427","0.426","0.428","0.423","34.78M","0.47%"
"03/01/2026","0.425","0.421","0.428","0.418","19.29M","-0.23%"
"02/26/2026","0.426","0.432","0.432","0.426","24.65M","-1.16%"
"02/25/2026","0.431","0.424","0.431","0.424","54.78M","1.65%"
"02/24/2026","0.424","0.420","0.426","0.420","26.27M","0.95%"
"02/23/2026","0.420","0.418","0.420","0.416","33.95M","0.72%"
"02/22/2026","0.417","0.418","0.420","0.415","16.34M","-0.24%"
"02/19/2026","0.418","0.422","0.422","0.418","20.71M","-1.18%"
"02/18/2026","0.423","0.420","0.425","0.420","21.04M","0.71%"
"02/17/2026","0.420","0.413","0.422","0.413","23.81M","1.45%"
"02/16/2026","0.414","0.410","0.415","0.408","9.44M","1.22%"
"02/15/2026","0.409","0.414","0.415","0.406","16.46M","-1.45%"
"02/12/2026","0.415","0.410","0.416","0.409","20.21M","1.22%"
"02/11/2026","0.410","0.403","0.410","0.403","23.61M","1.74%"
"02/10/2026","0.403","0.397","0.403","0.394","25.87M","1.77%"
"02/09/2026","0.396","0.384","0.396","0.382","15.13M","3.12%"
"02/08/2026","0.384","0.375","0.384","0.375","14.67M","2.40%"
"02/05/2026","0.375","0.376","0.377","0.374","14.98M","-0.53%"
"02/04/2026","0.377","0.365","0.377","0.364","40.83M","2.72%"
"02/03/2026","0.367","0.360","0.370","0.358","34.76M","2.23%"
"02/02/2026","0.359","0.354","0.359","0.353","16.37M","0.84%"
"02/01/2026","0.356","0.361","0.362","0.356","9.62M","-1.39%"
"01/29/2026","0.361","0.366","0.368","0.361","14.84M","-1.37%"
"01/28/2026","0.366","0.355","0.367","0.353","33.85M","3.39%"
"01/27/2026","0.354","0.353","0.354","0.351","21.14M","0.57%"
"01/26/2026","0.352","0.352","0.354","0.351","33.30M","0.00%"
"01/25/2026","0.352","0.353","0.356","0.352","32.54M","0.00%"
"01/22/2026","0.352","0.353","0.355","0.352","28.20M","0.00%"
"01/21/2026","0.352","0.355","0.355","0.352","32.07M","-0.85%"
"01/20/2026","0.355","0.356","0.358","0.354","8.16M","-0.28%"
"01/19/2026","0.356","0.351","0.356","0.350","18.73M","1.71%"
"01/14/2026","0.350","0.347","0.351","0.347","17.53M","1.16%"
"01/13/2026","0.346","0.346","0.348","0.344","13.16M","0.29%"
"01/12/2026","0.345","0.344","0.345","0.343","22.18M","0.29%"
"01/11/2026","0.344","0.342","0.344","0.341","20.09M","0.88%"
"01/08/2026","0.341","0.342","0.347","0.341","18.59M","-0.58%"
"01/07/2026","0.343","0.338","0.345","0.337","20.38M","1.48%"
"01/06/2026","0.338","0.339","0.341","0.337","20.11M","0.00%"
"01/05/2026","0.338","0.337","0.338","0.335","12.41M","0.60%"
"01/04/2026","0.336","0.335","0.336","0.333","32.29M","0.60%"
"01/01/2026","0.334","0.335","0.335","0.332","24.82M","0.30%"
"12/31/2025","0.333","0.334","0.335","0.331","26.52M","0.00%"
"12/30/2025","0.333","0.335","0.336","0.332","16.65M","-0.60%"
"12/29/2025","0.335","0.340","0.340","0.334","16.44M","-1.47%"
"12/28/2025","0.340","0.341","0.345","0.340","42.31M","-0.29%"
"12/25/2025","0.341","0.338","0.341","0.338","21.10M","0.89%"
"12/24/2025","0.338","0.338","0.339","0.337","42.21M","0.00%"
"12/23/2025","0.338","0.338","0.340","0.337","18.16M","0.30%"
"12/22/2025","0.337","0.339","0.341","0.337","12.25M","-0.88%"
"12/21/2025","0.340","0.338","0.341","0.338","44.14M","0.59%"
"12/18/2025","0.338","0.339","0.339","0.337","34.29M","-0.29%"
"12/17/2025","0.339","0.337","0.339","0.336","43.42M","0.59%"
"12/16/2025","0.337","0.341","0.341","0.337","36.76M","-1.46%"
"12/15/2025","0.342","0.341","0.344","0.341","29.75M","0.59%"
"12/14/2025","0.340","0.341","0.343","0.340","16.96M","-0.29%"
"12/11/2025","0.341","0.341","0.343","0.340","33.91M","0.00%"
"12/10/2025","0.341","0.343","0.344","0.341","13.26M","-0.58%"
"12/09/2025","0.343","0.341","0.345","0.340","13.54M","0.00%"
"12/08/2025","0.343","0.344","0.346","0.341","27.68M","-0.29%"
"12/07/2025","0.344","0.342","0.345","0.340","24.70M","1.18%"
"12/04/2025","0.340","0.340","0.343","0.339","16.37M","0.00%"
"12/03/2025","0.340","0.341","0.342","0.340","19.08M","0.00%"
"12/02/2025","0.340","0.335","0.342","0.335","27.61M","0.89%"
"12/01/2025","0.337","0.335","0.338","0.334","27.48M","0.60%"
"11/30/2025","0.335","0.334","0.337","0.334","29.18M","0.60%"
"11/25/2025","0.333","0.332","0.335","0.332","20.10M","-0.30%"
"11/24/2025","0.334","0.334","0.334","0.332","31.35M","0.00%"
"11/23/2025","0.334","0.334","0.335","0.332","32.08M","0.00%"
"11/20/2025","0.334","0.333","0.336","0.333","23.29M","0.60%"
"11/19/2025","0.332","0.331","0.333","0.330","11.67M","0.00%"
"11/18/2025","0.332","0.332","0.332","0.329","13.17M","0.00%"
