Date,Open,High,Low,Close,Volume
2026-01-20,0.356,0.358,0.354,0.355,8161189
2026-01-21,0.355,0.355,0.352,0.352,32067140
2026-01-22,0.353,0.355,0.352,0.352,28203780
2026-01-25,0.353,0.356,0.352,0.352,32535300
2026-01-26,0.352,0.354,0.351,0.352,33298209
2026-01-27,0.353,0.354,0.351,0.354,21141650
2026-01-28,0.355,0.367,0.353,0.366,33850560
2026-01-29,0.366,0.368,0.361,0.361,14837540
2026-02-01,0.361,0.362,0.356,0.356,9621987
2026-02-02,0.354,0.359,0.353,0.359,16367989
2026-02-03,0.36,0.37,0.358,0.367,34764250
2026-02-04,0.365,0.377,0.364,0.377,40825470
2026-02-05,0.376,0.377,0.374,0.375,14981080
2026-02-08,0.375,0.384,0.375,0.384,14669850
2026-02-09,0.384,0.396,0.382,0.396,15132360
2026-02-10,0.397,0.403,0.394,0.403,25872090
2026-02-11,0.403,0.41,0.403,0.41,23608220
2026-02-12,0.41,0.416,0.409,0.415,20211340
2026-02-15,0.414,0.415,0.406,0.409,16464099
2026-02-16,0.41,0.415,0.408,0.414,9435196
2026-02-17,0.413,0.422,0.413,0.42,23812600
2026-02-18,0.42,0.425,0.42,0.423,21042830
2026-02-19,0.422,0.422,0.418,0.418,20714550
2026-02-22,0.418,0.42,0.415,0.417,16340959
2026-02-23,0.418,0.42,0.416,0.42,33954740
2026-02-24,0.42,0.426,0.42,0.424,26272550
2026-02-25,0.424,0.431,0.424,0.431,54777910
2026-02-26,0.432,0.432,0.426,0.426,24645940
2026-03-01,0.421,0.428,0.418,0.425,19291830
2026-03-02,0.426,0.428,0.423,0.427,34775380
2026-03-03,0.427,0.428,0.419,0.419,19000760
2026-03-04,0.419,0.427,0.416,0.425,43674990
2026-03-05,0.426,0.426,0.42,0.426,20365850
2026-03-08,0.424,0.43,0.424,0.43,21372190
2026-03-09,0.43,0.464,0.429,0.464,55289830
2026-03-10,0.464,0.467,0.458,0.464,34121150
2026-03-11,0.465,0.469,0.46,0.46,19090720
2026-03-12,0.46,0.484,0.46,0.48,25470890
2026-03-15,0.48,0.48,0.469,0.477,16654620
2026-03-16,0.477,0.477,0.47,0.471,25376070
2026-03-17,0.471,0.476,0.47,0.476,21598880
2026-03-18,0.469,0.477,0.459,0.477,44155580
2026-03-24,0.475,0.476,0.474,0.476,19118080
2026-03-25,0.477,0.477,0.473,0.473,15459410
2026-03-26,0.472,0.474,0.468,0.474,40031220
2026-03-29,0.472,0.474,0.47,0.473,12531370
2026-03-30,0.473,0.475,0.466,0.474,23017960
2026-03-31,0.474,0.487,0.474,0.486,23358800
2026-04-01,0.485,0.485,0.48,0.482,14664470
2026-04-02,0.482,0.485,0.48,0.482,17591130
2026-04-05,0.483,0.484,0.48,0.483,23407040
2026-04-06,0.483,0.483,0.478,0.479,13619280
2026-04-07,0.48,0.48,0.474,0.479,13512110
2026-04-08,0.479,0.48,0.477,0.479,17988850
2026-04-09,0.479,0.482,0.477,0.478,30810380
2026-04-12,0.479,0.481,0.473,0.473,9166371
2026-04-13,0.473,0.474,0.47,0.474,9631526
2026-04-14,0.475,0.48,0.471,0.479,44760150
2026-04-15,0.48,0.484,0.479,0.483,28404420
2026-04-16,0.481,0.496,0.48,0.487,26915110
2026-04-19,0.487,0.489,0.485,0.489,42245300
2026-04-20,0.489,0.489,0.482,0.482,33153500
2026-04-21,0.483,0.486,0.48,0.483,34365340
2026-04-22,0.484,0.484,0.476,0.478,16629169
2026-04-23,0.479,0.479,0.473,0.473,9777088
2026-04-26,0.475,0.475,0.471,0.472,31341980
2026-04-27,0.474,0.475,0.473,0.473,26574310
2026-04-28,0.474,0.475,0.47,0.47,13693250
2026-04-29,0.472,0.474,0.471,0.473,17540440
2026-04-30,0.474,0.477,0.473,0.476,24689810
2026-05-03,0.476,0.477,0.472,0.472,8175665
2026-05-04,0.474,0.475,0.471,0.472,28174720
2026-05-05,0.472,0.473,0.466,0.468,16420120
2026-05-06,0.469,0.47,0.457,0.46,33833270
2026-05-07,0.46,0.46,0.45,0.458,55832480
2026-05-10,0.46,0.461,0.457,0.46,33237080
2026-05-11,0.461,0.462,0.453,0.453,11451330
2026-05-12,0.454,0.454,0.447,0.449,31512750
2026-05-13,0.449,0.451,0.44,0.44,13483500
2026-05-14,0.443,0.443,0.4,0.414,23898610
2026-05-17,0.416,0.419,0.41,0.41,21433740
2026-05-18,0.41,0.41,0.39,0.4,22033110
2026-05-19,0.403,0.408,0.385,0.385,16342240
2026-05-20,0.386,0.391,0.373,0.387,74045070
2026-05-21,0.393,0.407,0.393,0.404,18508060
2026-05-24,0.404,0.414,0.403,0.411,22233870
2026-05-25,0.411,0.427,0.41,0.427,11998120
2026-05-31,0.427,0.428,0.422,0.423,18500990
2026-06-01,0.424,0.424,0.42,0.423,12387920
2026-06-02,0.425,0.425,0.417,0.418,10475820
2026-06-03,0.418,0.418,0.408,0.412,12663720
2026-06-04,0.415,0.415,0.409,0.409,4109539
2026-06-07,0.409,0.409,0.399,0.4,30163002
2026-06-08,0.4,0.405,0.391,0.402,11193295
2026-06-09,0.402,0.402,0.399,0.402,22418570
2026-06-10,0.402,0.406,0.397,0.402,27802960
2026-06-11,0.403,0.403,0.4,0.401,23270190
2026-06-14,0.402,0.42,0.402,0.42,269318830
2026-06-15,0.42,0.421,0.416,0.418,24164390
2026-06-16,0.419,0.421,0.408,0.412,25725280
2026-06-17,0.413,0.413,0.405,0.41,18670070
2026-06-21,0.41,0.411,0.404,0.405,28000997
2026-06-22,0.404,0.406,0.398,0.4,11783020
2026-06-23,0.4,0.4,0.395,0.399,3630559
2026-06-24,0.398,0.4,0.395,0.398,19551768
2026-06-25,0.398,0.399,0.395,0.397,11883987
2026-06-28,0.399,0.408,0.398,0.407,23264746
2026-06-29,0.408,0.41,0.404,0.409,38050720
2026-06-30,0.409,0.409,0.403,0.405,27822540
2026-07-01,0.405,0.406,0.402,0.405,28220547
2026-07-02,0.405,0.406,0.403,0.406,16804978
2026-07-05,0.406,0.406,0.4,0.401,14538932
2026-07-06,0.402,0.405,0.4,0.405,19677828
2026-07-07,0.405,0.405,0.397,0.399,9060582
2026-07-08,0.399,0.4,0.395,0.4,6936907
2026-07-09,0.4,0.4,0.396,0.397,13125570
2026-07-12,0.398,0.4,0.397,0.399,4521139
2026-07-13,0.4,0.4,0.395,0.397,8431620
2026-07-14,0.398,0.399,0.391,0.392,13488558
2026-07-15,0.395,0.396,0.391,0.393,12555830
2026-07-16,0.394,0.394,0.391,0.392,7169540
2026-07-19,0.392,0.394,0.391,0.394,9842668
2026-07-20,0.394,0.396,0.378,0.383,5504788
2026-07-21,0.383,0.383,0.369,0.374,24604430
2026-07-22,0.373,0.379,0.372,0.379,29861764
