"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","0.139","0.141","0.141","0.139","596.48K","-2.11%"
"07/15/2026","0.142","0.142","0.143","0.142","301.48K","-0.70%"
"07/14/2026","0.143","0.142","0.143","0.142","378.48K","1.42%"
"07/13/2026","0.141","0.142","0.142","0.141","405.49K","-0.70%"
"07/12/2026","0.142","0.143","0.143","0.141","124.73K","0.71%"
"07/09/2026","0.141","0.140","0.142","0.140","407.91K","0.00%"
"07/08/2026","0.141","0.142","0.142","0.141","314.27K","-0.70%"
"07/07/2026","0.142","0.141","0.143","0.141","837.23K","0.71%"
"07/06/2026","0.141","0.140","0.141","0.140","364.20K","0.00%"
"07/05/2026","0.141","0.139","0.141","0.138","1.24M","1.44%"
"07/02/2026","0.139","0.139","0.140","0.138","1.69M","0.00%"
"07/01/2026","0.139","0.135","0.139","0.134","6.48M","2.96%"
"06/30/2026","0.135","0.135","0.135","0.134","761.62K","0.00%"
"06/29/2026","0.135","0.137","0.137","0.135","2.86M","-0.74%"
"06/28/2026","0.136","0.135","0.136","0.134","623.63K","1.49%"
"06/25/2026","0.134","0.134","0.135","0.134","636.21K","-1.47%"
"06/24/2026","0.136","0.135","0.136","0.134","378.61K","0.74%"
"06/23/2026","0.135","0.137","0.137","0.135","372.82K","-1.46%"
"06/22/2026","0.137","0.140","0.140","0.137","330.98K","-2.14%"
"06/21/2026","0.140","0.141","0.142","0.140","147.97K","-1.41%"
"06/17/2026","0.142","0.140","0.142","0.140","272.95K","0.00%"
"06/16/2026","0.142","0.141","0.142","0.141","93.77K","1.43%"
"06/15/2026","0.140","0.142","0.143","0.140","412.02K","-1.41%"
"06/14/2026","0.142","0.140","0.143","0.140","760.03K","1.43%"
"06/11/2026","0.140","0.142","0.144","0.140","1.86M","-1.41%"
"06/10/2026","0.142","0.137","0.147","0.137","9.42M","3.65%"
"06/09/2026","0.137","0.138","0.138","0.137","302.69K","-0.72%"
"06/08/2026","0.138","0.137","0.138","0.134","434.72K","0.00%"
"06/07/2026","0.138","0.137","0.138","0.136","107.95K","0.00%"
"06/04/2026","0.138","0.139","0.142","0.138","346.20K","-1.43%"
"06/03/2026","0.140","0.141","0.142","0.140","484.26K","-0.71%"
"06/02/2026","0.141","0.144","0.144","0.141","1.34M","0.00%"
"06/01/2026","0.141","0.144","0.144","0.141","268.05K","-1.40%"
"05/31/2026","0.143","0.144","0.144","0.143","165.96K","-0.69%"
"05/25/2026","0.144","0.147","0.147","0.143","375.50K","-2.04%"
"05/24/2026","0.147","0.140","0.147","0.140","770.78K","5.00%"
"05/21/2026","0.140","0.130","0.140","0.130","1.78M","9.37%"
"05/20/2026","0.128","0.133","0.133","0.124","2.06M","-3.76%"
"05/19/2026","0.133","0.133","0.138","0.133","2.80M","0.76%"
"05/18/2026","0.132","0.139","0.140","0.130","944.62K","-5.71%"
"05/17/2026","0.140","0.138","0.143","0.138","1.26M","2.19%"
"05/14/2026","0.137","0.147","0.148","0.136","2.85M","-8.05%"
"05/13/2026","0.149","0.148","0.149","0.148","370.29K","0.68%"
"05/12/2026","0.148","0.149","0.150","0.148","140.28K","-1.33%"
"05/11/2026","0.150","0.149","0.150","0.149","309.88K","0.67%"
"05/10/2026","0.149","0.150","0.150","0.149","192.87K","-0.67%"
"05/07/2026","0.150","0.149","0.150","0.148","540.62K","0.67%"
"05/06/2026","0.149","0.150","0.151","0.149","737.93K","-1.32%"
"05/05/2026","0.151","0.150","0.151","0.150","152.18K","0.67%"
"05/04/2026","0.150","0.151","0.154","0.150","1.07M","-1.32%"
"05/03/2026","0.152","0.154","0.154","0.151","395.02K","-1.30%"
"04/30/2026","0.154","0.150","0.156","0.150","2.61M","1.99%"
"04/29/2026","0.151","0.150","0.151","0.150","148.44K","0.00%"
"04/28/2026","0.151","0.149","0.152","0.149","628.49K","1.34%"
