Date,Open,High,Low,Close,Volume
2026-05-04,0.15,0.15,0.15,0.15,1067405
2026-05-05,0.15,0.15,0.15,0.15,152175
2026-05-06,0.15,0.15,0.15,0.15,737927
2026-05-07,0.15,0.15,0.15,0.15,540623
2026-05-10,0.15,0.15,0.15,0.15,192874
2026-05-11,0.15,0.15,0.15,0.15,309877
2026-05-12,0.15,0.15,0.15,0.15,140278
2026-05-13,0.15,0.15,0.15,0.15,370288
2026-05-14,0.15,0.15,0.14,0.14,2846233
2026-05-17,0.14,0.14,0.14,0.14,1255693
2026-05-18,0.14,0.14,0.13,0.13,944618
2026-05-19,0.13,0.14,0.13,0.13,2799766
2026-05-20,0.13,0.13,0.12,0.13,2062652
2026-05-21,0.13,0.14,0.13,0.14,1777725
2026-05-24,0.14,0.15,0.14,0.15,770779
2026-05-25,0.15,0.15,0.14,0.14,375504
2026-05-31,0.14,0.14,0.14,0.14,165958
2026-06-01,0.14,0.14,0.14,0.14,268045
2026-06-02,0.14,0.14,0.14,0.14,1344757
2026-06-03,0.14,0.14,0.14,0.14,484261
2026-06-04,0.14,0.14,0.14,0.14,346199
2026-06-07,0.14,0.14,0.14,0.14,107951
2026-06-08,0.14,0.14,0.13,0.14,434720
2026-06-09,0.14,0.14,0.14,0.14,302685
2026-06-10,0.14,0.15,0.14,0.14,9421166
2026-06-11,0.14,0.14,0.14,0.14,1857400
2026-06-14,0.14,0.14,0.14,0.14,760030
2026-06-15,0.14,0.14,0.14,0.14,412020
2026-06-16,0.14,0.14,0.14,0.14,93772
2026-06-17,0.14,0.14,0.14,0.14,272950
2026-06-21,0.14,0.14,0.14,0.14,147974
2026-06-22,0.14,0.14,0.14,0.14,330984
2026-06-23,0.14,0.14,0.14,0.14,372819
2026-06-24,0.14,0.14,0.13,0.14,378611
2026-06-25,0.13,0.14,0.13,0.13,636206
2026-06-28,0.14,0.14,0.13,0.14,623625
2026-06-29,0.14,0.14,0.14,0.14,2855659
2026-06-30,0.14,0.14,0.13,0.14,761617
2026-07-01,0.14,0.14,0.13,0.14,6483935
2026-07-02,0.14,0.14,0.14,0.14,1691362
2026-07-05,0.14,0.14,0.14,0.14,1240350
2026-07-06,0.14,0.14,0.14,0.14,364200
2026-07-07,0.14,0.14,0.14,0.14,837225
2026-07-08,0.14,0.14,0.14,0.14,314273
2026-07-09,0.14,0.14,0.14,0.14,407908
2026-07-12,0.14,0.14,0.14,0.14,124728
2026-07-13,0.14,0.14,0.14,0.14,405489
2026-07-14,0.14,0.14,0.14,0.14,378476
2026-07-15,0.14,0.14,0.14,0.14,301480
2026-07-16,0.14,0.14,0.14,0.14,596480
