"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","0.182","0.183","0.183","0.181","10.15M","-0.55%"
"07/15/2026","0.183","0.184","0.185","0.182","19.28M","0.00%"
"07/14/2026","0.183","0.183","0.185","0.182","23.03M","0.00%"
"07/13/2026","0.183","0.186","0.186","0.182","28.59M","-3.68%"
"07/12/2026","0.190","0.191","0.192","0.190","10.32M","-0.52%"
"07/09/2026","0.191","0.192","0.192","0.190","18.95M","-0.52%"
"07/08/2026","0.192","0.190","0.192","0.189","7.62M","1.05%"
"07/07/2026","0.190","0.191","0.192","0.190","22.81M","-1.04%"
"07/06/2026","0.192","0.192","0.192","0.190","33.45M","0.00%"
"07/05/2026","0.192","0.196","0.196","0.190","46.24M","-2.04%"
"07/02/2026","0.196","0.195","0.196","0.194","35.22M","0.51%"
"07/01/2026","0.195","0.195","0.197","0.194","30.84M","0.00%"
"06/30/2026","0.195","0.194","0.197","0.193","46.66M","1.04%"
"06/29/2026","0.193","0.193","0.194","0.191","42.85M","0.00%"
"06/28/2026","0.193","0.194","0.195","0.190","28.16M","0.52%"
"06/25/2026","0.192","0.194","0.196","0.191","40.00M","-1.03%"
"06/24/2026","0.194","0.191","0.195","0.190","47.33M","1.57%"
"06/23/2026","0.191","0.196","0.196","0.190","15.16M","-2.55%"
"06/22/2026","0.196","0.199","0.200","0.195","19.32M","-1.51%"
"06/21/2026","0.199","0.201","0.201","0.197","34.03M","-1.00%"
"06/17/2026","0.201","0.205","0.205","0.200","21.52M","-1.95%"
"06/16/2026","0.205","0.201","0.205","0.199","43.19M","2.50%"
"06/15/2026","0.200","0.203","0.203","0.199","26.03M","-0.99%"
"06/14/2026","0.202","0.201","0.203","0.200","317.91M","0.50%"
"06/11/2026","0.201","0.203","0.204","0.199","37.01M","-0.99%"
"06/10/2026","0.203","0.202","0.203","0.201","14.14M","0.50%"
"06/09/2026","0.202","0.197","0.202","0.195","33.61M","2.54%"
"06/08/2026","0.197","0.194","0.199","0.189","46.73M","1.03%"
"06/07/2026","0.195","0.199","0.199","0.190","40.12M","-2.01%"
"06/04/2026","0.199","0.200","0.201","0.198","8.91M","0.00%"
"06/03/2026","0.199","0.207","0.207","0.199","22.83M","-3.86%"
"06/02/2026","0.207","0.210","0.212","0.207","23.96M","-0.96%"
"06/01/2026","0.209","0.207","0.209","0.205","36.62M","0.97%"
"05/31/2026","0.207","0.209","0.209","0.204","15.64M","-0.48%"
"05/25/2026","0.208","0.204","0.209","0.204","27.98M","1.96%"
"05/24/2026","0.204","0.201","0.206","0.200","43.92M","1.49%"
"05/21/2026","0.201","0.196","0.203","0.195","39.38M","5.79%"
"05/20/2026","0.190","0.190","0.195","0.178","14.19M","0.53%"
"05/19/2026","0.189","0.205","0.208","0.189","34.41M","-7.35%"
"05/18/2026","0.204","0.209","0.209","0.191","30.19M","-2.39%"
"05/17/2026","0.209","0.215","0.216","0.209","37.38M","-0.48%"
"05/14/2026","0.210","0.222","0.222","0.199","30.97M","-3.67%"
"05/13/2026","0.218","0.228","0.228","0.218","38.89M","-4.39%"
"05/12/2026","0.228","0.231","0.231","0.226","42.84M","-1.30%"
"05/11/2026","0.231","0.232","0.233","0.229","51.71M","-0.43%"
"05/10/2026","0.232","0.232","0.232","0.230","46.01M","0.00%"
"05/07/2026","0.232","0.231","0.232","0.228","47.31M","0.43%"
"05/06/2026","0.231","0.231","0.234","0.229","107.34M","0.43%"
"05/05/2026","0.230","0.234","0.234","0.230","17.28M","-1.71%"
"05/04/2026","0.234","0.235","0.236","0.233","44.57M","0.43%"
"05/03/2026","0.233","0.235","0.237","0.233","26.60M","-2.10%"
"04/30/2026","0.238","0.236","0.239","0.235","82.09M","1.71%"
"04/29/2026","0.234","0.235","0.237","0.233","50.11M","-0.43%"
"04/28/2026","0.235","0.233","0.236","0.232","105.93M","1.29%"
"04/27/2026","0.232","0.228","0.233","0.228","46.56M","1.75%"
"04/26/2026","0.228","0.230","0.231","0.228","54.56M","-0.44%"
"04/23/2026","0.229","0.230","0.232","0.228","58.46M","0.00%"
"04/22/2026","0.229","0.231","0.231","0.229","53.57M","-0.87%"
"04/21/2026","0.231","0.230","0.231","0.230","40.89M","0.43%"
"04/20/2026","0.230","0.235","0.235","0.229","21.69M","-1.29%"
"04/19/2026","0.233","0.236","0.236","0.232","32.49M","-1.27%"
"04/16/2026","0.236","0.234","0.237","0.234","68.17M","0.00%"
"04/15/2026","0.236","0.229","0.238","0.229","200.92M","3.51%"
"04/14/2026","0.228","0.223","0.228","0.223","143.64M","2.24%"
"04/13/2026","0.223","0.222","0.223","0.221","69.58M","0.45%"
"04/12/2026","0.222","0.223","0.226","0.220","59.84M","0.00%"
"04/09/2026","0.222","0.222","0.223","0.219","48.68M","-0.89%"
"04/08/2026","0.224","0.224","0.226","0.222","108.04M","1.36%"
"04/07/2026","0.221","0.224","0.224","0.217","59.76M","-1.34%"
"04/06/2026","0.224","0.227","0.228","0.223","66.69M","-1.75%"
"04/05/2026","0.228","0.228","0.229","0.226","59.11M","0.00%"
"04/02/2026","0.228","0.227","0.230","0.226","107.36M","0.88%"
"04/01/2026","0.226","0.225","0.227","0.225","31.59M","-1.31%"
"03/31/2026","0.229","0.230","0.231","0.228","99.76M","-0.43%"
"03/30/2026","0.230","0.226","0.233","0.225","141.50M","1.77%"
"03/29/2026","0.226","0.224","0.227","0.222","101.70M","0.89%"
"03/26/2026","0.224","0.224","0.225","0.221","35.94M","-0.44%"
"03/25/2026","0.225","0.223","0.225","0.223","41.87M","1.35%"
"03/24/2026","0.222","0.221","0.222","0.220","50.50M","1.37%"
"03/18/2026","0.219","0.216","0.220","0.215","53.83M","1.86%"
"03/17/2026","0.215","0.215","0.215","0.212","36.37M","0.47%"
"03/16/2026","0.214","0.217","0.218","0.212","18.27M","-1.83%"
"03/15/2026","0.218","0.222","0.222","0.217","36.10M","-1.36%"
"03/12/2026","0.221","0.224","0.224","0.221","54.19M","-1.78%"
"03/11/2026","0.225","0.225","0.227","0.224","47.37M","0.45%"
"03/10/2026","0.224","0.228","0.229","0.222","54.68M","-1.32%"
"03/09/2026","0.227","0.222","0.230","0.222","117.03M","2.25%"
"03/08/2026","0.222","0.218","0.223","0.218","83.41M","1.83%"
"03/05/2026","0.218","0.216","0.218","0.212","59.32M","1.40%"
"03/04/2026","0.215","0.215","0.216","0.211","55.65M","0.00%"
"03/03/2026","0.215","0.219","0.219","0.214","42.46M","-1.38%"
"03/02/2026","0.218","0.217","0.221","0.216","51.67M","0.93%"
"03/01/2026","0.216","0.219","0.220","0.213","40.53M","-3.57%"
"02/26/2026","0.224","0.226","0.227","0.223","57.41M","-0.44%"
"02/25/2026","0.225","0.223","0.227","0.223","71.82M","0.90%"
"02/24/2026","0.223","0.220","0.224","0.218","103.64M","1.83%"
"02/23/2026","0.219","0.222","0.224","0.218","42.15M","-0.45%"
"02/22/2026","0.220","0.222","0.224","0.220","25.60M","-0.45%"
"02/19/2026","0.221","0.226","0.227","0.220","65.80M","-2.64%"
"02/18/2026","0.227","0.227","0.230","0.226","43.56M","-0.44%"
"02/17/2026","0.228","0.221","0.229","0.221","58.25M","2.24%"
"02/16/2026","0.223","0.215","0.223","0.215","36.75M","3.72%"
"02/15/2026","0.215","0.221","0.222","0.214","52.11M","-2.71%"
"02/12/2026","0.221","0.218","0.224","0.216","68.55M","1.38%"
"02/11/2026","0.218","0.210","0.218","0.209","95.06M","3.81%"
"02/10/2026","0.210","0.198","0.210","0.198","55.11M","6.60%"
"02/09/2026","0.197","0.187","0.197","0.186","93.75M","5.91%"
"02/08/2026","0.186","0.175","0.187","0.175","69.59M","6.29%"
"02/05/2026","0.175","0.164","0.175","0.163","117.33M","6.06%"
"02/04/2026","0.165","0.162","0.165","0.162","27.25M","2.48%"
"02/03/2026","0.161","0.162","0.164","0.161","18.02M","0.00%"
"02/02/2026","0.161","0.158","0.162","0.157","29.59M","1.26%"
"02/01/2026","0.159","0.163","0.163","0.159","52.07M","-3.05%"
"01/29/2026","0.164","0.166","0.168","0.164","24.54M","-1.20%"
"01/28/2026","0.166","0.161","0.167","0.161","59.23M","3.11%"
"01/27/2026","0.161","0.161","0.162","0.159","33.25M","1.26%"
"01/26/2026","0.159","0.160","0.161","0.158","47.47M","-0.63%"
"01/25/2026","0.160","0.161","0.163","0.160","26.13M","-0.62%"
"01/22/2026","0.161","0.163","0.163","0.161","10.04M","0.00%"
"01/21/2026","0.161","0.163","0.163","0.161","15.10M","-1.83%"
"01/20/2026","0.164","0.164","0.166","0.163","27.97M","0.00%"
"01/19/2026","0.164","0.162","0.165","0.162","27.94M","1.23%"
"01/14/2026","0.162","0.162","0.164","0.161","36.42M","0.00%"
"01/13/2026","0.162","0.160","0.163","0.160","36.87M","1.89%"
"01/12/2026","0.159","0.161","0.161","0.157","35.53M","-0.63%"
"01/11/2026","0.160","0.164","0.164","0.160","50.55M","-1.84%"
"01/08/2026","0.163","0.164","0.166","0.163","93.33M","-1.21%"
"01/07/2026","0.165","0.162","0.165","0.162","70.45M","2.48%"
"01/06/2026","0.161","0.161","0.164","0.161","77.24M","0.00%"
"01/05/2026","0.161","0.161","0.162","0.160","96.74M","0.00%"
"01/04/2026","0.161","0.157","0.161","0.155","74.14M","2.55%"
"01/01/2026","0.157","0.159","0.159","0.154","44.58M","-0.63%"
"12/31/2025","0.158","0.158","0.159","0.156","40.44M","0.64%"
"12/30/2025","0.157","0.162","0.162","0.156","33.04M","-1.87%"
"12/29/2025","0.160","0.163","0.164","0.160","35.64M","-1.84%"
