"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","0.277","0.287","0.288","0.277","568.46K","-4.81%"
"07/15/2026","0.291","0.291","0.294","0.290","72.42K","-1.69%"
"07/14/2026","0.296","0.296","0.296","0.296","3.00K","0.00%"
"07/13/2026","0.296","0.288","0.296","0.288","8.79K","0.34%"
"07/12/2026","0.295","0.295","0.295","0.295","10.00K","0.00%"
"07/09/2026","0.295","0.295","0.299","0.295","111.27K","-1.34%"
"07/08/2026","0.299","0.294","0.300","0.294","87.51K","1.36%"
"07/07/2026","0.295","0.295","0.295","0.290","21.05K","0.00%"
"07/06/2026","0.295","0.294","0.295","0.294","12.01K","0.34%"
"07/05/2026","0.294","0.292","0.294","0.292","10.35K","-0.34%"
"07/02/2026","0.295","0.299","0.299","0.290","3.96K","0.00%"
"07/01/2026","0.295","0.296","0.296","0.292","34.31K","1.03%"
"06/30/2026","0.292","0.296","0.296","0.292","66.99K","-2.01%"
"06/29/2026","0.298","0.290","0.298","0.290","100.42K","-0.33%"
"06/28/2026","0.299","0.300","0.300","0.299","9.01K","0.34%"
"06/25/2026","0.298","0.298","0.298","0.288","68.73K","1.71%"
"06/24/2026","0.293","0.286","0.293","0.286","26.50K","1.74%"
"06/23/2026","0.288","0.288","0.288","0.288","1.54K","0.00%"
"06/22/2026","0.288","0.292","0.292","0.288","99.80K","0.00%"
"06/21/2026","0.288","0.298","0.298","0.288","168.95K","0.00%"
"06/17/2026","0.288","0.291","0.291","0.288","1.23K","-1.03%"
"06/16/2026","0.291","0.291","0.291","0.290","60.16K","-0.34%"
"06/15/2026","0.292","0.295","0.295","0.291","129.10K","-1.02%"
"06/14/2026","0.295","0.300","0.300","0.290","451.80K","-1.67%"
"06/11/2026","0.300","0.300","0.310","0.300","189.89K","0.00%"
"06/10/2026","0.300","0.298","0.300","0.298","28.40K","0.00%"
"06/09/2026","0.300","0.309","0.309","0.300","31.18K","0.00%"
"06/08/2026","0.300","0.296","0.300","0.295","47.48K","0.00%"
"06/07/2026","0.300","0.298","0.303","0.295","82.16K","-0.99%"
"06/04/2026","0.303","0.309","0.309","0.298","53.15K","0.66%"
"06/03/2026","0.301","0.301","0.301","0.300","74.71K","0.33%"
"06/02/2026","0.300","0.312","0.312","0.300","181.44K","-5.96%"
"06/01/2026","0.319","0.319","0.319","0.319","","0.00%"
"05/31/2026","0.319","0.325","0.325","0.319","14.50K","-0.31%"
"05/25/2026","0.320","0.320","0.325","0.315","37.65K","0.63%"
"05/24/2026","0.318","0.316","0.322","0.315","182.77K","3.92%"
"05/21/2026","0.306","0.288","0.315","0.288","440.44K","5.52%"
"05/20/2026","0.290","0.299","0.299","0.270","70.01K","-3.33%"
"05/19/2026","0.300","0.310","0.320","0.300","81.50K","-3.23%"
"05/18/2026","0.310","0.315","0.315","0.292","66.00K","-3.73%"
"05/17/2026","0.322","0.330","0.330","0.321","373.18K","0.94%"
"05/14/2026","0.319","0.330","0.334","0.315","396.40K","-3.33%"
"05/13/2026","0.330","0.338","0.338","0.329","102.88K","-2.37%"
"05/12/2026","0.338","0.340","0.340","0.337","48.15K","-0.59%"
"05/11/2026","0.340","0.342","0.342","0.340","84.04K","-1.16%"
"05/10/2026","0.344","0.344","0.344","0.344","0.11K","0.00%"
"05/07/2026","0.344","0.341","0.345","0.340","126.47K","0.58%"
"05/06/2026","0.342","0.347","0.347","0.342","267.08K","-2.29%"
"05/05/2026","0.350","0.351","0.351","0.346","15.97K","-0.28%"
"05/04/2026","0.351","0.350","0.355","0.350","205.07K","0.29%"
"05/03/2026","0.350","0.341","0.356","0.341","1.50M","2.94%"
"04/30/2026","0.340","0.339","0.347","0.339","717.94K","0.59%"
"04/29/2026","0.338","0.335","0.338","0.334","517.70K","2.11%"
"04/28/2026","0.331","0.328","0.337","0.328","448.38K","1.53%"
"04/27/2026","0.326","0.325","0.328","0.325","262.50K","0.31%"
"04/26/2026","0.325","0.328","0.328","0.325","36.38K","0.00%"
"04/23/2026","0.325","0.329","0.329","0.325","108.42K","-1.22%"
"04/22/2026","0.329","0.328","0.334","0.328","45.10K","-0.30%"
"04/21/2026","0.330","0.340","0.340","0.330","51.32K","-1.20%"
"04/20/2026","0.334","0.336","0.336","0.334","84.62K","-0.30%"
"04/19/2026","0.335","0.330","0.350","0.330","1.53M","-6.42%"
"04/16/2026","0.358","0.375","0.375","0.358","4.43M","2.58%"
"04/15/2026","0.349","0.348","0.352","0.345","739.08K","0.87%"
"04/14/2026","0.346","0.349","0.353","0.345","1.27M","0.29%"
"04/13/2026","0.345","0.335","0.351","0.335","3.64M","3.29%"
"04/12/2026","0.334","0.332","0.335","0.330","286.56K","2.77%"
"04/09/2026","0.325","0.337","0.339","0.323","2.37M","-3.27%"
"04/08/2026","0.336","0.350","0.353","0.333","2.92M","0.30%"
"04/07/2026","0.335","0.340","0.340","0.330","1.62M","-2.90%"
"04/06/2026","0.345","0.352","0.354","0.345","914.69K","-1.99%"
"04/05/2026","0.352","0.361","0.362","0.351","2.14M","-1.68%"
"04/02/2026","0.358","0.347","0.370","0.347","3.58M","5.29%"
"04/01/2026","0.340","0.317","0.340","0.317","5.80M","8.28%"
"03/31/2026","0.314","0.328","0.328","0.310","1.37M","5.02%"
"03/30/2026","0.299","0.296","0.299","0.296","67.37K","0.00%"
"03/29/2026","0.299","0.292","0.299","0.292","13.71K","0.34%"
"03/26/2026","0.298","0.292","0.298","0.292","87.78K","2.05%"
"03/25/2026","0.292","0.297","0.297","0.292","11.89K","0.00%"
"03/24/2026","0.292","0.292","0.295","0.292","96.34K","-0.34%"
"03/18/2026","0.293","0.291","0.293","0.291","26.17K","0.69%"
"03/17/2026","0.291","0.293","0.293","0.291","53.75K","0.00%"
"03/16/2026","0.291","0.291","0.292","0.291","2.71K","0.34%"
"03/15/2026","0.290","0.293","0.295","0.290","121.67K","-1.36%"
"03/12/2026","0.294","0.294","0.294","0.291","9.44K","0.68%"
"03/11/2026","0.292","0.296","0.296","0.292","172.30K","-1.02%"
"03/10/2026","0.295","0.293","0.296","0.293","216.66K","0.68%"
"03/09/2026","0.293","0.291","0.295","0.290","284.57K","0.00%"
"03/08/2026","0.293","0.293","0.298","0.293","38.92K","0.00%"
"03/05/2026","0.293","0.299","0.299","0.290","2.07M","-1.68%"
"03/04/2026","0.298","0.290","0.298","0.290","291.50K","2.41%"
"03/03/2026","0.291","0.305","0.305","0.291","103.15K","-2.35%"
"03/02/2026","0.298","0.300","0.312","0.298","497.26K","-0.33%"
"03/01/2026","0.299","0.300","0.314","0.290","230.33K","-6.56%"
"02/26/2026","0.320","0.302","0.328","0.302","3.24M","7.02%"
"02/25/2026","0.299","0.302","0.305","0.298","568.75K","3.10%"
"02/24/2026","0.290","0.295","0.300","0.290","1.42M","3.20%"
"02/23/2026","0.281","0.295","0.295","0.281","54.72K","-4.75%"
"02/22/2026","0.295","0.289","0.300","0.289","594.37K","-1.67%"
"02/19/2026","0.300","0.300","0.300","0.300","","0.00%"
"02/18/2026","0.300","0.300","0.300","0.299","288.01K","-1.64%"
"02/17/2026","0.305","0.309","0.309","0.300","279.55K","0.00%"
"02/16/2026","0.305","0.305","0.310","0.303","973.01K","1.67%"
"02/15/2026","0.300","0.306","0.306","0.300","316.62K","-1.96%"
"02/12/2026","0.306","0.300","0.310","0.300","3.51M","2.00%"
"02/11/2026","0.300","0.301","0.301","0.298","787.77K","0.67%"
"02/10/2026","0.298","0.300","0.305","0.298","507.20K","-1.00%"
"02/09/2026","0.301","0.289","0.301","0.289","3.59M","5.24%"
"02/08/2026","0.286","0.270","0.286","0.270","3.27M","4.38%"
"02/05/2026","0.274","0.270","0.276","0.268","976.80K","1.48%"
"02/04/2026","0.270","0.260","0.270","0.260","3.86M","3.85%"
"02/03/2026","0.260","0.260","0.260","0.260","10.00K","0.00%"
"02/02/2026","0.260","0.260","0.260","0.260","","0.00%"
"02/01/2026","0.260","0.260","0.260","0.260","4.00K","0.00%"
"01/29/2026","0.260","0.261","0.261","0.260","141.31K","-0.76%"
"01/28/2026","0.262","0.260","0.262","0.260","66.86K","0.00%"
"01/27/2026","0.262","0.262","0.262","0.262","97.05K","0.38%"
"01/26/2026","0.261","0.261","0.261","0.260","344.18K","0.38%"
"01/25/2026","0.260","0.262","0.262","0.260","27.06K","-0.76%"
"01/22/2026","0.262","0.262","0.262","0.262","5.00K","0.00%"
"01/21/2026","0.262","0.261","0.262","0.261","27.18K","1.55%"
"01/20/2026","0.258","0.258","0.258","0.258","1.40K","-0.77%"
"01/19/2026","0.260","0.270","0.270","0.260","5.38K","-3.70%"
"01/14/2026","0.270","0.269","0.270","0.269","70.67K","-1.10%"
"01/13/2026","0.273","0.273","0.273","0.273","","0.00%"
"01/12/2026","0.273","0.273","0.273","0.273","","0.00%"
"01/11/2026","0.273","0.270","0.273","0.270","7.00K","1.11%"
"01/08/2026","0.270","0.268","0.273","0.268","52.00K","1.12%"
"01/07/2026","0.267","0.270","0.271","0.267","60.31K","-0.74%"
"01/06/2026","0.269","0.267","0.272","0.267","100.89K","0.75%"
"01/05/2026","0.267","0.267","0.267","0.267","24.00K","0.00%"
"01/04/2026","0.267","0.257","0.267","0.257","10.25K","-0.74%"
"01/01/2026","0.269","0.268","0.269","0.268","40.00K","7.60%"
"12/31/2025","0.250","0.250","0.250","0.250","0.02K","0.00%"
"12/30/2025","0.250","0.255","0.255","0.250","6.00K","-2.34%"
"12/29/2025","0.256","0.255","0.256","0.255","3.04K","0.39%"
"12/28/2025","0.255","0.255","0.255","0.255","6.06K","-0.39%"
"12/25/2025","0.256","0.256","0.257","0.256","3.00K","0.39%"
"12/24/2025","0.255","0.255","0.255","0.255","0.75K","-3.77%"
"12/23/2025","0.265","0.265","0.265","0.265","","0.00%"
"12/22/2025","0.265","0.265","0.265","0.265","2.26K","3.92%"
"12/21/2025","0.255","0.255","0.255","0.255","5.22K","-1.92%"
"12/18/2025","0.260","0.260","0.260","0.260","33.00K","0.00%"
"12/17/2025","0.260","0.262","0.262","0.260","92.08K","-0.38%"
"12/16/2025","0.261","0.263","0.263","0.261","60.94K","-1.51%"
"12/15/2025","0.265","0.265","0.265","0.265","4.00K","0.00%"
"12/14/2025","0.265","0.262","0.265","0.262","34.50K","0.00%"
"12/11/2025","0.265","0.265","0.265","0.265","57.81K","-5.02%"
"12/10/2025","0.279","0.261","0.279","0.261","47.50K","-0.36%"
"12/09/2025","0.280","0.260","0.280","0.260","33.70K","-1.06%"
"12/08/2025","0.283","0.258","0.283","0.258","8.00K","9.69%"
"12/07/2025","0.258","0.252","0.258","0.252","113.34K","2.38%"
"12/04/2025","0.252","0.252","0.252","0.250","4.88K","0.00%"
"12/03/2025","0.252","0.251","0.252","0.251","235.29K","-1.18%"
"12/02/2025","0.255","0.255","0.255","0.255","","0.00%"
"12/01/2025","0.255","0.250","0.255","0.250","9.72K","2.00%"
"11/30/2025","0.250","0.255","0.255","0.250","21.35K","0.00%"
"11/25/2025","0.250","0.250","0.250","0.250","","0.00%"
"11/24/2025","0.250","0.250","0.250","0.250","4.51K","0.00%"
"11/23/2025","0.250","0.250","0.250","0.250","12.01K","-2.72%"
"11/20/2025","0.257","0.257","0.257","0.257","1.61K","0.00%"
"11/19/2025","0.257","0.250","0.257","0.250","11.39K","2.80%"
"11/18/2025","0.250","0.250","0.250","0.250","35.94K","0.00%"
"11/17/2025","0.250","0.250","0.250","0.250","38.28K","0.00%"
"11/16/2025","0.250","0.250","0.250","0.250","10.71K","-3.10%"
"11/13/2025","0.258","0.258","0.258","0.258","1.00K","0.39%"
"11/12/2025","0.257","0.250","0.257","0.250","41.99K","0.78%"
"11/11/2025","0.255","0.250","0.255","0.250","68.45K","2.00%"
"11/10/2025","0.250","0.250","0.250","0.250","520.11K","0.81%"
"11/09/2025","0.248","0.250","0.250","0.248","0.57K","-0.80%"
"11/06/2025","0.250","0.250","0.250","0.250","10.00K","0.00%"
"11/05/2025","0.250","0.250","0.250","0.250","4.00K","0.00%"
"11/04/2025","0.250","0.250","0.250","0.250","","0.00%"
"11/03/2025","0.250","0.250","0.250","0.250","3.20K","0.00%"
"11/02/2025","0.250","0.250","0.250","0.250","","0.00%"
"10/30/2025","0.250","0.250","0.250","0.250","113.40K","0.00%"
"10/29/2025","0.250","0.251","0.251","0.250","15.35K","-2.72%"
"10/28/2025","0.257","0.257","0.257","0.257","6.00K","-0.39%"
"10/27/2025","0.258","0.258","0.258","0.258","","0.00%"
"10/26/2025","0.258","0.258","0.258","0.258","","0.00%"
"10/23/2025","0.258","0.258","0.258","0.258","","0.00%"
"10/22/2025","0.258","0.258","0.258","0.258","","0.00%"
"10/21/2025","0.258","0.255","0.258","0.255","4.00K","-0.39%"
"10/20/2025","0.259","0.259","0.259","0.259","","0.00%"
"10/19/2025","0.259","0.250","0.259","0.250","3.81K","0.00%"
