Date,Open,High,Low,Close,Volume
2026-01-20,0.258,0.258,0.258,0.258,1400
2026-01-21,0.261,0.262,0.261,0.262,27182
2026-01-22,0.262,0.262,0.262,0.262,5000
2026-01-25,0.262,0.262,0.26,0.26,27061
2026-01-26,0.261,0.261,0.26,0.261,344179
2026-01-27,0.262,0.262,0.262,0.262,97045
2026-01-28,0.26,0.262,0.26,0.262,66859
2026-01-29,0.261,0.261,0.26,0.26,141311
2026-02-01,0.26,0.26,0.26,0.26,3999
2026-02-02,0.26,0.26,0.26,0.26,0
2026-02-03,0.26,0.26,0.26,0.26,10000
2026-02-04,0.26,0.27,0.26,0.27,3860073
2026-02-05,0.27,0.276,0.268,0.274,976795
2026-02-08,0.27,0.286,0.27,0.286,3270140
2026-02-09,0.289,0.301,0.289,0.301,3593451
2026-02-10,0.3,0.305,0.298,0.298,507198
2026-02-11,0.301,0.301,0.298,0.3,787774
2026-02-12,0.3,0.31,0.3,0.306,3509982
2026-02-15,0.306,0.306,0.3,0.3,316615
2026-02-16,0.305,0.31,0.303,0.305,973011
2026-02-17,0.309,0.309,0.3,0.305,279552
2026-02-18,0.3,0.3,0.299,0.3,288012
2026-02-19,0.3,0.3,0.3,0.3,0
2026-02-22,0.289,0.3,0.289,0.295,594367
2026-02-23,0.295,0.295,0.281,0.281,54720
2026-02-24,0.295,0.3,0.29,0.29,1417797
2026-02-25,0.302,0.305,0.298,0.299,568747
2026-02-26,0.302,0.328,0.302,0.32,3243392
2026-03-01,0.3,0.314,0.29,0.299,230333
2026-03-02,0.3,0.312,0.298,0.298,497256
2026-03-03,0.305,0.305,0.291,0.291,103150
2026-03-04,0.29,0.298,0.29,0.298,291500
2026-03-05,0.299,0.299,0.29,0.293,2068039
2026-03-08,0.293,0.298,0.293,0.293,38920
2026-03-09,0.291,0.295,0.29,0.293,284570
2026-03-10,0.293,0.296,0.293,0.295,216658
2026-03-11,0.296,0.296,0.292,0.292,172300
2026-03-12,0.294,0.294,0.291,0.294,9441
2026-03-15,0.293,0.295,0.29,0.29,121673
2026-03-16,0.291,0.292,0.291,0.291,2710
2026-03-17,0.293,0.293,0.291,0.291,53745
2026-03-18,0.291,0.293,0.291,0.293,26170
2026-03-24,0.292,0.295,0.292,0.292,96340
2026-03-25,0.297,0.297,0.292,0.292,11890
2026-03-26,0.292,0.298,0.292,0.298,87784
2026-03-29,0.292,0.299,0.292,0.299,13705
2026-03-30,0.296,0.299,0.296,0.299,67373
2026-03-31,0.328,0.328,0.31,0.314,1366937
2026-04-01,0.317,0.34,0.317,0.34,5802281
2026-04-02,0.347,0.37,0.347,0.358,3580254
2026-04-05,0.361,0.362,0.351,0.352,2141559
2026-04-06,0.352,0.354,0.345,0.345,914692
2026-04-07,0.34,0.34,0.33,0.335,1621610
2026-04-08,0.35,0.353,0.333,0.336,2917467
2026-04-09,0.337,0.339,0.323,0.325,2371336
2026-04-12,0.332,0.335,0.33,0.334,286558
2026-04-13,0.335,0.351,0.335,0.345,3640347
2026-04-14,0.349,0.353,0.345,0.346,1274467
2026-04-15,0.348,0.352,0.345,0.349,739080
2026-04-16,0.375,0.375,0.358,0.358,4430817
2026-04-19,0.33,0.35,0.33,0.335,1530081
2026-04-20,0.336,0.336,0.334,0.334,84621
2026-04-21,0.34,0.34,0.33,0.33,51317
2026-04-22,0.328,0.334,0.328,0.329,45103
2026-04-23,0.329,0.329,0.325,0.325,108416
2026-04-26,0.328,0.328,0.325,0.325,36377
2026-04-27,0.325,0.328,0.325,0.326,262497
2026-04-28,0.328,0.337,0.328,0.331,448376
2026-04-29,0.335,0.338,0.334,0.338,517699
2026-04-30,0.339,0.347,0.339,0.34,717940
2026-05-03,0.341,0.356,0.341,0.35,1504015
2026-05-04,0.35,0.355,0.35,0.351,205065
2026-05-05,0.351,0.351,0.346,0.35,15969
2026-05-06,0.347,0.347,0.342,0.342,267083
2026-05-07,0.341,0.345,0.34,0.344,126465
2026-05-10,0.344,0.344,0.344,0.344,112
2026-05-11,0.342,0.342,0.34,0.34,84040
2026-05-12,0.34,0.34,0.337,0.338,48154
2026-05-13,0.338,0.338,0.329,0.33,102882
2026-05-14,0.33,0.334,0.315,0.319,396395
2026-05-17,0.33,0.33,0.321,0.322,373176
2026-05-18,0.315,0.315,0.292,0.31,66000
2026-05-19,0.31,0.32,0.3,0.3,81501
2026-05-20,0.299,0.299,0.27,0.29,70008
2026-05-21,0.288,0.315,0.288,0.306,440439
2026-05-24,0.316,0.322,0.315,0.318,182774
2026-05-25,0.32,0.325,0.315,0.32,37650
2026-05-31,0.325,0.325,0.319,0.319,14500
