"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","0.168","0.172","0.173","0.168","130.80K","-5.08%"
"07/15/2026","0.177","0.176","0.177","0.171","53.52K","1.14%"
"07/14/2026","0.175","0.177","0.180","0.175","22.20K","0.00%"
"07/13/2026","0.175","0.178","0.178","0.173","14.46K","-1.13%"
"07/12/2026","0.177","0.178","0.178","0.177","36.45K","0.00%"
"07/09/2026","0.177","0.176","0.180","0.176","53.90K","1.14%"
"07/08/2026","0.175","0.170","0.175","0.170","30.00K","-4.37%"
"07/07/2026","0.183","0.183","0.183","0.183","0.10K","1.10%"
"07/06/2026","0.181","0.184","0.184","0.181","1.68M","0.00%"
"07/05/2026","0.181","0.178","0.185","0.178","371.62K","6.47%"
"07/02/2026","0.170","0.180","0.180","0.170","114.83K","-4.49%"
"07/01/2026","0.178","0.183","0.184","0.178","104.54K","-3.26%"
"06/30/2026","0.184","0.179","0.184","0.177","802.14K","4.55%"
"06/29/2026","0.176","0.163","0.179","0.163","1.00M","7.98%"
"06/28/2026","0.163","0.150","0.163","0.150","1.68M","9.40%"
"06/25/2026","0.149","0.150","0.150","0.148","80.58K","-0.67%"
"06/24/2026","0.150","0.150","0.150","0.150","","0.00%"
"06/23/2026","0.150","0.146","0.155","0.145","193.43K","1.35%"
"06/22/2026","0.148","0.150","0.150","0.148","37.78K","-1.33%"
"06/21/2026","0.150","0.149","0.150","0.149","39.89K","-1.32%"
"06/17/2026","0.152","0.153","0.153","0.150","69.26K","0.00%"
"06/16/2026","0.152","0.152","0.152","0.151","76.38K","-0.65%"
"06/15/2026","0.153","0.153","0.154","0.153","88.27K","-0.65%"
"06/14/2026","0.154","0.157","0.157","0.154","104.52K","-1.28%"
"06/11/2026","0.156","0.160","0.161","0.156","268.26K","-4.29%"
"06/10/2026","0.163","0.166","0.166","0.160","22.10K","0.62%"
"06/09/2026","0.162","0.160","0.164","0.160","172.82K","0.00%"
"06/08/2026","0.162","0.157","0.163","0.152","873.67K","6.58%"
"06/07/2026","0.152","0.157","0.157","0.147","233.16K","-6.17%"
"06/04/2026","0.162","0.162","0.162","0.162","","0.00%"
"06/03/2026","0.162","0.162","0.162","0.162","8.50K","1.25%"
"06/02/2026","0.160","0.160","0.164","0.160","410.79K","-3.03%"
"06/01/2026","0.165","0.164","0.165","0.164","59.84K","0.61%"
"05/31/2026","0.164","0.168","0.168","0.164","106.35K","-0.61%"
"05/25/2026","0.165","0.176","0.176","0.165","171.00K","-1.79%"
"05/24/2026","0.168","0.163","0.170","0.162","390.72K","5.66%"
