Date,Open,High,Low,Close,Volume
2026-05-04,0.19,0.19,0.19,0.19,739640
2026-05-05,0.19,0.19,0.18,0.18,82494
2026-05-06,0.18,0.18,0.18,0.18,43763
2026-05-07,0.19,0.19,0.18,0.18,78135
2026-05-10,0.18,0.18,0.18,0.18,14287
2026-05-11,0.18,0.18,0.18,0.18,30476
2026-05-12,0.18,0.18,0.18,0.18,43486
2026-05-13,0.18,0.18,0.18,0.18,22724
2026-05-14,0.18,0.18,0.17,0.17,202784
2026-05-17,0.17,0.17,0.17,0.17,479212
2026-05-18,0.17,0.17,0.16,0.16,261257
2026-05-19,0.17,0.17,0.15,0.16,100510
2026-05-20,0.16,0.16,0.15,0.15,325983
2026-05-21,0.15,0.16,0.15,0.16,3055814
2026-05-24,0.16,0.17,0.16,0.17,390720
2026-05-25,0.18,0.18,0.17,0.17,171000
2026-05-31,0.17,0.17,0.16,0.16,106348
2026-06-01,0.16,0.17,0.16,0.17,59843
2026-06-02,0.16,0.16,0.16,0.16,410789
2026-06-03,0.16,0.16,0.16,0.16,8500
2026-06-04,0.16,0.16,0.16,0.16,0
2026-06-07,0.16,0.16,0.15,0.15,233155
2026-06-08,0.16,0.16,0.15,0.16,873667
2026-06-09,0.16,0.16,0.16,0.16,172816
2026-06-10,0.17,0.17,0.16,0.16,22100
2026-06-11,0.16,0.16,0.16,0.16,268257
2026-06-14,0.16,0.16,0.15,0.15,104524
2026-06-15,0.15,0.15,0.15,0.15,88267
2026-06-16,0.15,0.15,0.15,0.15,76382
2026-06-17,0.15,0.15,0.15,0.15,69258
2026-06-21,0.15,0.15,0.15,0.15,39891
2026-06-22,0.15,0.15,0.15,0.15,37783
2026-06-23,0.15,0.16,0.15,0.15,193431
2026-06-24,0.15,0.15,0.15,0.15,0
2026-06-25,0.15,0.15,0.15,0.15,80583
2026-06-28,0.15,0.16,0.15,0.16,1679036
2026-06-29,0.16,0.18,0.16,0.18,1004682
2026-06-30,0.18,0.18,0.18,0.18,802139
2026-07-01,0.18,0.18,0.18,0.18,104537
2026-07-02,0.18,0.18,0.17,0.17,114834
2026-07-05,0.18,0.19,0.18,0.18,371616
2026-07-06,0.18,0.18,0.18,0.18,1681000
2026-07-07,0.18,0.18,0.18,0.18,100
2026-07-08,0.17,0.18,0.17,0.18,30000
2026-07-09,0.18,0.18,0.18,0.18,53903
2026-07-12,0.18,0.18,0.18,0.18,36450
2026-07-13,0.18,0.18,0.17,0.18,14461
2026-07-14,0.18,0.18,0.18,0.18,22200
2026-07-15,0.18,0.18,0.17,0.18,53516
2026-07-16,0.17,0.17,0.17,0.17,130800
