"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","0.292","0.280","0.295","0.280","55.30K","1.04%"
"07/15/2026","0.289","0.280","0.289","0.280","9.10K","-2.03%"
"07/14/2026","0.295","0.281","0.297","0.281","7.12K","-1.01%"
"07/13/2026","0.298","0.292","0.299","0.281","10.00K","-0.33%"
"07/09/2026","0.299","0.293","0.299","0.293","116.90K","0.00%"
"07/08/2026","0.299","0.292","0.299","0.292","89.00K","1.36%"
"07/07/2026","0.295","0.296","0.296","0.294","111.74K","-1.01%"
"07/06/2026","0.298","0.292","0.298","0.292","25.01K","0.34%"
"07/05/2026","0.297","0.296","0.299","0.296","179.98K","0.00%"
"07/02/2026","0.297","0.296","0.299","0.294","172.40K","-1.00%"
"07/01/2026","0.300","0.295","0.300","0.294","25.93K","0.00%"
"06/30/2026","0.300","0.296","0.300","0.292","156.87K","0.00%"
"06/29/2026","0.300","0.301","0.301","0.295","95.82K","-0.33%"
"06/28/2026","0.301","0.295","0.302","0.295","154.21K","2.03%"
"06/25/2026","0.295","0.292","0.295","0.287","307.31K","1.03%"
"06/24/2026","0.292","0.292","0.292","0.280","1.18M","-0.34%"
"06/23/2026","0.293","0.286","0.294","0.285","1.21M","-0.68%"
"06/22/2026","0.295","0.291","0.297","0.290","91.50K","-0.67%"
"06/21/2026","0.297","0.297","0.297","0.297","5.00K","0.00%"
"06/17/2026","0.297","0.297","0.297","0.297","0.40K","-0.34%"
"06/16/2026","0.298","0.298","0.298","0.298","1.00K","0.00%"
"06/15/2026","0.298","0.298","0.298","0.298","26.80K","-0.33%"
"06/14/2026","0.299","0.297","0.299","0.297","23.84K","0.67%"
"06/11/2026","0.297","0.301","0.302","0.294","277.00K","-1.00%"
"06/10/2026","0.300","0.300","0.306","0.299","1.29M","0.00%"
"06/09/2026","0.300","0.300","0.300","0.300","","0.00%"
"06/08/2026","0.300","0.291","0.300","0.288","770.89K","-0.66%"
"06/07/2026","0.302","0.302","0.302","0.302","","0.00%"
"06/04/2026","0.302","0.298","0.302","0.289","321.10K","0.67%"
"06/03/2026","0.300","0.300","0.300","0.300","0.10K","-0.33%"
"06/02/2026","0.301","0.310","0.310","0.300","928.77K","-2.90%"
"06/01/2026","0.310","0.300","0.314","0.300","1.82M","3.33%"
"05/31/2026","0.300","0.293","0.302","0.290","525.00K","0.00%"
"05/25/2026","0.300","0.303","0.303","0.300","131.96K","-0.66%"
"05/24/2026","0.302","0.297","0.310","0.297","1.30M","1.34%"
"05/21/2026","0.298","0.297","0.300","0.290","756.40K","2.76%"
"05/20/2026","0.290","0.292","0.298","0.279","573.25K","-6.15%"
"05/19/2026","0.309","0.320","0.320","0.301","931.00K","-2.83%"
"05/18/2026","0.318","0.329","0.329","0.300","3.04M","-2.15%"
"05/17/2026","0.325","0.328","0.329","0.300","251.51K","1.56%"
"05/14/2026","0.320","0.321","0.321","0.320","13.30K","-3.61%"
"05/13/2026","0.332","0.329","0.332","0.329","40.50K","-0.30%"
"05/12/2026","0.333","0.335","0.335","0.333","106.00K","-0.60%"
"05/11/2026","0.335","0.336","0.338","0.333","1.43M","1.21%"
"05/10/2026","0.331","0.330","0.331","0.330","163.00K","0.30%"
"05/07/2026","0.330","0.331","0.331","0.330","194.91K","-0.30%"
"05/06/2026","0.331","0.333","0.335","0.331","111.98K","-0.60%"
"05/05/2026","0.333","0.330","0.337","0.330","300.47K","-0.60%"
"05/04/2026","0.335","0.338","0.338","0.330","70.66K","0.00%"
"05/03/2026","0.335","0.338","0.338","0.334","286.83K","-0.89%"
"04/30/2026","0.338","0.340","0.342","0.338","226.65K","-0.59%"
"04/29/2026","0.340","0.338","0.340","0.336","1.70M","0.59%"
"04/28/2026","0.338","0.330","0.340","0.330","2.26M","2.42%"
"04/27/2026","0.330","0.326","0.330","0.325","1.30M","1.23%"
"04/26/2026","0.326","0.320","0.328","0.320","485.61K","-0.61%"
"04/23/2026","0.328","0.325","0.329","0.325","289.21K","-0.30%"
"04/22/2026","0.329","0.332","0.332","0.328","171.78K","-0.90%"
"04/21/2026","0.332","0.332","0.336","0.332","69.72K","-0.60%"
"04/20/2026","0.334","0.340","0.346","0.333","698.10K","-1.18%"
"04/19/2026","0.338","0.343","0.349","0.338","2.08M","-1.46%"
"04/16/2026","0.343","0.335","0.350","0.333","5.78M","6.19%"
"04/15/2026","0.323","0.320","0.323","0.318","2.54M","1.25%"
"04/14/2026","0.319","0.313","0.320","0.313","1.37M","1.59%"
"04/13/2026","0.314","0.310","0.314","0.309","1.92M","0.96%"
"04/12/2026","0.311","0.310","0.311","0.310","9.50K","0.32%"
"04/09/2026","0.310","0.306","0.310","0.300","481.07K","-0.32%"
"04/08/2026","0.311","0.312","0.312","0.300","3.55M","1.97%"
"04/07/2026","0.305","0.310","0.310","0.305","178.30K","-2.24%"
"04/06/2026","0.312","0.308","0.312","0.306","504.47K","1.96%"
"04/05/2026","0.306","0.306","0.306","0.306","8.70K","-0.65%"
"04/02/2026","0.308","0.308","0.312","0.305","1.63M","0.00%"
"04/01/2026","0.308","0.305","0.315","0.305","214.97K","-6.67%"
"03/31/2026","0.330","0.309","0.330","0.309","4.32M","6.80%"
"03/30/2026","0.309","0.299","0.315","0.292","1.15M","3.34%"
"03/29/2026","0.299","0.293","0.299","0.293","137.00K","-0.33%"
"03/26/2026","0.300","0.299","0.299","0.299","10.00K","1.69%"
"03/25/2026","0.295","0.295","0.295","0.295","106.00K","0.00%"
"03/24/2026","0.295","0.295","0.295","0.295","7.50K","0.00%"
"03/18/2026","0.295","0.295","0.295","0.295","130.00K","0.00%"
"03/17/2026","0.295","0.300","0.300","0.295","177.69K","-1.67%"
"03/16/2026","0.300","0.294","0.300","0.294","363.80K","0.00%"
"03/15/2026","0.300","0.300","0.300","0.300","157.00K","0.00%"
"03/12/2026","0.300","0.300","0.302","0.300","19.45K","0.00%"
"03/11/2026","0.300","0.302","0.304","0.300","506.91K","0.00%"
"03/10/2026","0.300","0.299","0.302","0.299","806.36K","0.33%"
"03/09/2026","0.299","0.299","0.299","0.299","429.91K","-0.33%"
"03/08/2026","0.300","0.290","0.300","0.290","5.69K","0.00%"
"03/05/2026","0.300","0.293","0.300","0.293","396.80K","2.39%"
"03/04/2026","0.293","0.295","0.295","0.290","592.96K","-0.68%"
"03/03/2026","0.295","0.307","0.308","0.286","99.53K","-1.34%"
"03/02/2026","0.299","0.273","0.300","0.272","1.15M","3.46%"
