Date,Open,High,Low,Close,Volume
2026-01-20,0.23,0.235,0.23,0.235,220380
2026-01-21,0.23,0.235,0.23,0.235,160000
2026-01-22,0.234,0.234,0.231,0.232,1681600
2026-01-25,0.23,0.23,0.228,0.228,129465
2026-01-26,0.228,0.228,0.228,0.228,0
2026-01-27,0.228,0.233,0.228,0.23,317100
2026-01-28,0.23,0.23,0.228,0.228,197457
2026-01-29,0.228,0.228,0.227,0.227,278000
2026-02-01,0.23,0.23,0.226,0.226,397444
2026-02-02,0.227,0.227,0.227,0.227,14000
2026-02-03,0.23,0.233,0.228,0.233,201800
2026-02-04,0.23,0.235,0.23,0.235,778294
2026-02-05,0.235,0.235,0.235,0.235,0
2026-02-08,0.235,0.249,0.235,0.249,609738
2026-02-09,0.249,0.27,0.249,0.27,1143422
2026-02-10,0.269,0.28,0.269,0.28,467553
2026-02-11,0.274,0.28,0.274,0.28,72341
2026-02-12,0.28,0.3,0.28,0.295,562575
2026-02-15,0.285,0.294,0.285,0.294,35750
2026-02-16,0.294,0.294,0.292,0.293,306000
2026-02-17,0.292,0.295,0.292,0.295,575000
2026-02-18,0.293,0.295,0.291,0.295,1784488
2026-02-19,0.276,0.294,0.276,0.294,44000
2026-02-22,0.285,0.293,0.285,0.29,256349
2026-02-23,0.288,0.291,0.285,0.285,427883
2026-02-24,0.285,0.292,0.285,0.29,152357
2026-02-25,0.288,0.294,0.288,0.294,92740
2026-02-26,0.292,0.292,0.285,0.289,404524
2026-03-01,0.272,0.289,0.271,0.289,20734
2026-03-02,0.273,0.3,0.272,0.299,1148293
2026-03-03,0.307,0.308,0.286,0.295,99526
2026-03-04,0.295,0.295,0.29,0.293,592958
2026-03-05,0.293,0.3,0.293,0.3,396797
2026-03-08,0.29,0.3,0.29,0.3,5685
2026-03-09,0.299,0.299,0.299,0.299,429912
2026-03-10,0.299,0.302,0.299,0.3,806361
2026-03-11,0.302,0.304,0.3,0.3,506914
2026-03-12,0.3,0.302,0.3,0.3,19450
2026-03-15,0.3,0.3,0.3,0.3,157000
2026-03-16,0.294,0.3,0.294,0.3,363800
2026-03-17,0.3,0.3,0.295,0.295,177688
2026-03-18,0.295,0.295,0.295,0.295,130000
2026-03-24,0.295,0.295,0.295,0.295,7500
2026-03-25,0.295,0.295,0.295,0.295,106000
