Date,Open,High,Low,Close,Volume
2026-05-03,0.36,0.36,0.35,0.35,11000
2026-05-04,0.35,0.35,0.35,0.35,0
2026-05-05,0.35,0.35,0.35,0.35,0
2026-05-06,0.33,0.36,0.33,0.36,250000
2026-05-07,0.36,0.36,0.36,0.36,0
2026-05-10,0.36,0.36,0.36,0.36,0
2026-05-11,0.36,0.36,0.36,0.36,0
2026-05-12,0.36,0.36,0.36,0.36,0
2026-05-13,0.36,0.36,0.36,0.36,0
2026-05-14,0.36,0.36,0.36,0.36,0
2026-05-17,0.36,0.36,0.36,0.36,0
2026-05-18,0.36,0.36,0.36,0.36,0
2026-05-19,0.36,0.36,0.36,0.36,0
2026-05-20,0.36,0.36,0.36,0.36,0
2026-05-21,0.36,0.36,0.36,0.36,0
2026-05-24,0.36,0.36,0.36,0.36,300000
2026-05-25,0.36,0.36,0.36,0.36,0
2026-05-31,0.36,0.36,0.36,0.36,0
2026-06-01,0.36,0.36,0.36,0.36,0
2026-06-02,0.36,0.36,0.36,0.36,0
2026-06-03,0.36,0.36,0.36,0.36,0
2026-06-04,0.36,0.36,0.36,0.36,0
2026-06-07,0.36,0.36,0.36,0.36,0
2026-06-08,0.36,0.36,0.36,0.36,0
2026-06-09,0.36,0.36,0.36,0.36,0
2026-06-10,0.36,0.36,0.36,0.36,0
2026-06-11,0.36,0.36,0.36,0.36,0
2026-06-14,0.36,0.36,0.36,0.36,0
2026-06-15,0.36,0.36,0.36,0.36,0
2026-06-16,0.36,0.36,0.36,0.36,0
2026-06-17,0.36,0.36,0.36,0.36,0
2026-06-21,0.36,0.36,0.36,0.36,0
2026-06-22,0.36,0.36,0.36,0.36,0
2026-06-23,0.36,0.36,0.36,0.36,0
2026-06-24,0.36,0.36,0.36,0.36,0
2026-06-25,0.36,0.36,0.36,0.36,0
2026-06-28,0.36,0.36,0.36,0.36,0
2026-06-29,0.36,0.36,0.36,0.36,0
2026-06-30,0.36,0.36,0.36,0.36,0
2026-07-01,0.36,0.36,0.36,0.36,0
2026-07-02,0.36,0.36,0.36,0.36,0
2026-07-05,0.36,0.36,0.36,0.36,0
2026-07-06,0.36,0.36,0.36,0.36,0
2026-07-07,0.36,0.36,0.36,0.36,0
2026-07-08,0.36,0.36,0.36,0.36,0
2026-07-09,0.36,0.36,0.36,0.36,0
2026-07-13,0.36,0.36,0.36,0.36,0
2026-07-14,0.36,0.36,0.36,0.36,0
2026-07-15,0.36,0.36,0.36,0.36,0
2026-07-16,0.36,0.36,0.36,0.36,0
