"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","1.150","1.150","1.150","1.150","0.10K","-4.17%"
"07/15/2026","1.200","1.200","1.200","1.200","0.75K","1.69%"
"07/14/2026","1.180","1.180","1.180","1.180","","0.00%"
"07/13/2026","1.180","1.180","1.180","1.180","1.02K","0.00%"
"07/09/2026","1.180","1.180","1.180","1.180","0.20K","-1.67%"
"07/08/2026","1.200","1.200","1.200","1.200","0.23K","0.00%"
"07/07/2026","1.200","1.200","1.200","1.200","","0.00%"
"07/06/2026","1.200","1.200","1.200","1.200","0.50K","-2.04%"
"07/05/2026","1.225","1.210","1.225","1.210","0.40K","9.38%"
"07/02/2026","1.120","1.120","1.120","1.120","","0.00%"
"07/01/2026","1.120","1.120","1.120","1.120","3.28K","-8.87%"
"06/30/2026","1.229","1.200","1.230","1.200","47.59K","2.42%"
"06/29/2026","1.200","1.148","1.200","1.148","10.90K","4.35%"
"06/28/2026","1.150","1.140","1.150","1.140","6.69K","0.88%"
"06/25/2026","1.140","1.140","1.140","1.140","","0.00%"
"06/24/2026","1.140","1.140","1.140","1.140","7.82K","0.00%"
"06/23/2026","1.140","1.140","1.140","1.140","","0.00%"
"06/22/2026","1.140","1.155","1.155","1.140","5.37K","-0.87%"
"06/21/2026","1.150","1.150","1.150","1.150","1.80K","9.00%"
"06/17/2026","1.055","1.055","1.055","1.055","","0.00%"
"06/16/2026","1.055","1.145","1.155","1.055","48.99K","0.48%"
"06/15/2026","1.050","1.050","1.050","1.050","","0.00%"
"06/14/2026","1.050","1.050","1.050","1.050","","0.00%"
"06/11/2026","1.050","1.055","1.055","1.050","42.35K","-0.94%"
"06/10/2026","1.060","1.070","1.070","1.060","31.90K","-0.93%"
"06/09/2026","1.070","1.070","1.070","1.070","37.60K","-0.56%"
"06/08/2026","1.076","1.093","1.093","1.076","10.26K","-1.37%"
"06/07/2026","1.091","1.091","1.091","1.091","","0.00%"
"06/04/2026","1.091","1.091","1.091","1.091","","0.00%"
"06/03/2026","1.091","1.091","1.091","1.091","","0.00%"
"06/02/2026","1.091","1.091","1.091","1.091","","0.00%"
"06/01/2026","1.091","1.091","1.091","1.091","0.04K","-0.82%"
"05/31/2026","1.100","1.100","1.100","1.100","","0.00%"
"05/25/2026","1.100","1.100","1.100","1.100","","0.00%"
"05/24/2026","1.100","1.050","1.130","1.050","1.31K","4.76%"
"05/21/2026","1.050","1.080","1.080","1.050","22.52K","0.00%"
"05/20/2026","1.050","1.055","1.055","1.050","59.83K","-0.94%"
"05/19/2026","1.060","1.100","1.131","1.060","17.91K","-2.75%"
"05/18/2026","1.090","1.100","1.100","1.090","3.65K","-3.63%"
"05/17/2026","1.131","1.140","1.140","1.131","9.13K","-0.79%"
"05/14/2026","1.140","1.150","1.150","1.140","1.27K","-1.04%"
"05/13/2026","1.152","1.152","1.152","1.152","10.00K","-0.26%"
"05/12/2026","1.155","1.155","1.155","1.155","0.18K","0.00%"
"05/11/2026","1.155","1.155","1.155","1.155","","0.00%"
"05/10/2026","1.155","1.155","1.155","1.155","0.39K","-0.26%"
"05/07/2026","1.158","1.158","1.158","1.158","20.50K","0.00%"
"05/06/2026","1.158","1.165","1.165","1.158","29.90K","-1.03%"
"05/05/2026","1.170","1.180","1.180","1.170","21.86K","-2.50%"
"05/04/2026","1.200","1.200","1.200","1.200","","0.00%"
"05/03/2026","1.200","1.170","1.170","1.170","0.17K","0.00%"
"04/30/2026","1.200","1.200","1.200","1.200","","0.00%"
"04/29/2026","1.200","1.200","1.200","1.200","0.35K","4.26%"
"04/28/2026","1.151","1.151","1.151","1.151","0.37K","4.64%"
"04/27/2026","1.100","1.100","1.100","1.100","","0.00%"
"04/26/2026","1.100","1.100","1.100","1.100","","0.00%"
"04/23/2026","1.100","1.210","1.210","1.100","26.78K","-9.09%"
"04/22/2026","1.210","1.210","1.210","1.210","","0.00%"
"04/21/2026","1.210","1.210","1.210","1.210","","-0.82%"
"04/20/2026","1.220","1.220","1.220","1.220","","0.00%"
"04/19/2026","1.220","1.220","1.220","1.220","","0.00%"
"04/16/2026","1.220","1.260","1.300","1.220","26.27K","2.52%"
"04/15/2026","1.190","1.190","1.190","1.190","","0.00%"
"04/14/2026","1.190","1.240","1.240","1.190","0.98K","-4.03%"
"04/13/2026","1.240","1.240","1.240","1.240","0.16K","0.00%"
"04/12/2026","1.240","1.240","1.240","1.240","","0.00%"
"04/09/2026","1.240","1.240","1.240","1.240","","0.00%"
"04/08/2026","1.240","1.240","1.240","1.240","0.50K","1.64%"
"04/07/2026","1.220","1.221","1.221","1.220","1.83K","0.41%"
"04/06/2026","1.215","1.215","1.215","1.215","0.10K","-10.00%"
"04/05/2026","1.350","1.350","1.350","1.350","","0.00%"
"04/02/2026","1.350","1.300","1.350","1.200","1.20K","3.85%"
"04/01/2026","1.300","1.300","1.300","1.300","","0.00%"
"03/31/2026","1.300","1.300","1.300","1.300","1.00K","8.33%"
"03/30/2026","1.200","1.200","1.200","1.200","7.35K","-6.98%"
"03/29/2026","1.290","1.290","1.290","1.290","0.68K","-1.07%"
"03/26/2026","1.304","1.304","1.304","1.304","","0.00%"
"03/25/2026","1.304","1.300","1.304","1.300","4.36K","0.31%"
"03/24/2026","1.300","1.200","1.300","1.200","5.41K","0.00%"
"03/18/2026","1.300","1.300","1.300","1.250","1.75K","0.00%"
"03/17/2026","1.300","1.300","1.300","1.300","","0.00%"
"03/16/2026","1.300","1.300","1.300","1.300","","0.00%"
"03/15/2026","1.300","1.300","1.300","1.300","","0.00%"
"03/12/2026","1.300","1.300","1.300","1.300","","0.00%"
"03/11/2026","1.300","1.300","1.300","1.300","","0.00%"
"03/10/2026","1.300","1.300","1.300","1.300","1.10K","-3.70%"
"03/09/2026","1.350","1.315","1.350","1.315","2.21K","2.66%"
"03/08/2026","1.315","1.199","1.315","1.150","16.74K","9.77%"
"03/05/2026","1.198","1.198","1.198","1.198","","0.00%"
"03/04/2026","1.198","1.150","1.198","1.113","3.45K","-0.17%"
"03/03/2026","1.200","1.200","1.200","1.200","","0.00%"
"03/02/2026","1.200","1.200","1.200","1.200","0.20K","7.72%"
"03/01/2026","1.114","1.200","1.200","1.114","7.98K","-4.79%"
"02/26/2026","1.170","1.170","1.170","1.170","0.10K","1.74%"
"02/25/2026","1.150","1.150","1.150","1.150","","0.00%"
"02/24/2026","1.150","1.150","1.150","1.150","1.16K","0.00%"
"02/23/2026","1.150","1.150","1.150","1.150","0.45K","0.00%"
"02/22/2026","1.150","1.150","1.150","1.150","0.13K","0.88%"
"02/19/2026","1.140","1.140","1.140","1.140","1.64K","0.00%"
"02/18/2026","1.140","1.140","1.140","1.140","1.23K","-5.00%"
"02/17/2026","1.200","1.200","1.200","1.200","","0.00%"
"02/16/2026","1.200","1.200","1.200","1.200","","0.00%"
"02/15/2026","1.200","1.160","1.210","1.160","8.32K","4.17%"
"02/12/2026","1.152","1.140","1.152","1.140","26.87K","1.05%"
"02/11/2026","1.140","1.140","1.149","1.140","0.32K","4.59%"
"02/10/2026","1.090","1.100","1.100","1.090","1.00K","0.00%"
"02/09/2026","1.090","1.090","1.090","1.090","0.28K","-0.91%"
"02/08/2026","1.100","1.100","1.100","1.100","0.50K","0.00%"
"02/05/2026","1.100","1.100","1.100","1.100","4.30K","0.00%"
"02/04/2026","1.100","1.100","1.100","1.100","10.93K","0.00%"
"02/03/2026","1.100","1.100","1.100","1.100","10.36K","0.00%"
