Date,Open,High,Low,Close,Volume
2026-01-20,1.085,1.1,1.075,1.075,30170
2026-01-21,1.075,1.075,1.075,1.075,0
2026-01-22,1.075,1.075,1.075,1.075,0
2026-01-25,1.1,1.1,1.075,1.075,37501
2026-01-26,1.075,1.075,1.075,1.075,0
2026-01-27,1.1,1.1,1.1,1.1,500
2026-01-28,1.11,1.11,1.1,1.11,30200
2026-01-29,1.11,1.122,1.11,1.122,9588
2026-02-01,1.122,1.122,1.122,1.122,56840
2026-02-02,1.103,1.103,1.1,1.1,4000
2026-02-03,1.1,1.1,1.1,1.1,10361
2026-02-04,1.1,1.1,1.1,1.1,10927
2026-02-05,1.1,1.1,1.1,1.1,4300
2026-02-08,1.1,1.1,1.1,1.1,500
2026-02-09,1.09,1.09,1.09,1.09,275
2026-02-10,1.1,1.1,1.09,1.09,1000
2026-02-11,1.14,1.149,1.14,1.14,323
2026-02-12,1.14,1.152,1.14,1.152,26870
2026-02-15,1.16,1.21,1.16,1.2,8315
2026-02-16,1.2,1.2,1.2,1.2,0
2026-02-17,1.2,1.2,1.2,1.2,0
2026-02-18,1.14,1.14,1.14,1.14,1227
2026-02-19,1.14,1.14,1.14,1.14,1644
2026-02-22,1.15,1.15,1.15,1.15,125
2026-02-23,1.15,1.15,1.15,1.15,450
2026-02-24,1.15,1.15,1.15,1.15,1161
2026-02-25,1.15,1.15,1.15,1.15,0
2026-02-26,1.17,1.17,1.17,1.17,99
2026-03-01,1.2,1.2,1.114,1.114,7979
2026-03-02,1.2,1.2,1.2,1.2,202
2026-03-03,1.2,1.2,1.2,1.2,0
2026-03-04,1.15,1.198,1.113,1.198,3450
2026-03-05,1.198,1.198,1.198,1.198,0
2026-03-08,1.199,1.315,1.15,1.315,16742
2026-03-09,1.315,1.35,1.315,1.35,2210
2026-03-10,1.3,1.3,1.3,1.3,1100
2026-03-11,1.3,1.3,1.3,1.3,0
2026-03-12,1.3,1.3,1.3,1.3,0
2026-03-15,1.3,1.3,1.3,1.3,0
2026-03-16,1.3,1.3,1.3,1.3,0
2026-03-17,1.3,1.3,1.3,1.3,0
2026-03-18,1.3,1.3,1.25,1.3,1750
2026-03-24,1.2,1.3,1.2,1.3,5405
2026-03-25,1.3,1.304,1.3,1.304,4358
2026-03-26,1.304,1.304,1.304,1.304,0
2026-03-29,1.29,1.29,1.29,1.29,683
2026-03-30,1.2,1.2,1.2,1.2,7350
2026-03-31,1.3,1.3,1.3,1.3,1000
2026-04-01,1.3,1.3,1.3,1.3,0
2026-04-02,1.3,1.35,1.2,1.35,1200
2026-04-05,1.35,1.35,1.35,1.35,0
2026-04-06,1.215,1.215,1.215,1.215,100
2026-04-07,1.221,1.221,1.22,1.22,1828
2026-04-08,1.24,1.24,1.24,1.24,500
2026-04-09,1.24,1.24,1.24,1.24,0
2026-04-12,1.24,1.24,1.24,1.24,0
2026-04-13,1.24,1.24,1.24,1.24,161
2026-04-14,1.24,1.24,1.19,1.19,976
2026-04-15,1.19,1.19,1.19,1.19,0
2026-04-16,1.26,1.3,1.22,1.22,26266
2026-04-19,1.22,1.22,1.22,1.22,0
2026-04-20,1.22,1.22,1.22,1.22,0
2026-04-21,1.21,1.21,1.21,1.21,0
2026-04-22,1.21,1.21,1.21,1.21,0
2026-04-23,1.21,1.21,1.1,1.1,26782
2026-04-26,1.1,1.1,1.1,1.1,0
2026-04-27,1.1,1.1,1.1,1.1,0
2026-04-28,1.151,1.151,1.151,1.151,370
2026-04-29,1.2,1.2,1.2,1.2,350
2026-04-30,1.2,1.2,1.2,1.2,0
2026-05-03,1.17,1.17,1.17,1.2,170
2026-05-04,1.2,1.2,1.2,1.2,0
2026-05-05,1.18,1.18,1.17,1.17,21860
2026-05-06,1.165,1.165,1.158,1.158,29898
2026-05-07,1.158,1.158,1.158,1.158,20500
2026-05-10,1.155,1.155,1.155,1.155,390
2026-05-11,1.155,1.155,1.155,1.155,0
2026-05-12,1.155,1.155,1.155,1.155,180
2026-05-13,1.152,1.152,1.152,1.152,10000
2026-05-14,1.15,1.15,1.14,1.14,1270
2026-05-17,1.14,1.14,1.131,1.131,9130
2026-05-18,1.1,1.1,1.09,1.09,3650
2026-05-19,1.1,1.131,1.06,1.06,17914
2026-05-20,1.055,1.055,1.05,1.05,59830
2026-05-21,1.08,1.08,1.05,1.05,22519
2026-05-24,1.05,1.13,1.05,1.1,1309
2026-05-25,1.1,1.1,1.1,1.1,0
2026-05-31,1.1,1.1,1.1,1.1,0
2026-06-01,1.091,1.091,1.091,1.091,41
2026-06-02,1.091,1.091,1.091,1.091,0
2026-06-03,1.091,1.091,1.091,1.091,0
2026-06-04,1.091,1.091,1.091,1.091,0
2026-06-07,1.091,1.091,1.091,1.091,0
2026-06-08,1.093,1.093,1.076,1.076,10259
2026-06-09,1.07,1.07,1.07,1.07,37599
2026-06-10,1.07,1.07,1.06,1.06,31899
2026-06-11,1.055,1.055,1.05,1.05,42352
2026-06-14,1.05,1.05,1.05,1.05,0
2026-06-15,1.05,1.05,1.05,1.05,0
2026-06-16,1.145,1.155,1.055,1.055,48986
2026-06-17,1.055,1.055,1.055,1.055,0
2026-06-21,1.15,1.15,1.15,1.15,1800
2026-06-22,1.155,1.155,1.14,1.14,5371
2026-06-23,1.14,1.14,1.14,1.14,0
2026-06-24,1.14,1.14,1.14,1.14,7820
2026-06-25,1.14,1.14,1.14,1.14,0
2026-06-28,1.14,1.15,1.14,1.15,6687
2026-06-29,1.148,1.2,1.148,1.2,10899
2026-06-30,1.2,1.23,1.2,1.229,47590
2026-07-01,1.12,1.12,1.12,1.12,3277
2026-07-02,1.12,1.12,1.12,1.12,0
2026-07-05,1.21,1.225,1.21,1.225,400
2026-07-06,1.2,1.2,1.2,1.2,500
2026-07-07,1.2,1.2,1.2,1.2,0
2026-07-08,1.2,1.2,1.2,1.2,227
2026-07-09,1.18,1.18,1.18,1.18,202
2026-07-13,1.18,1.18,1.18,1.18,1020
2026-07-14,1.18,1.18,1.18,1.18,0
2026-07-15,1.2,1.2,1.2,1.2,750
2026-07-16,1.15,1.15,1.15,1.15,100
2026-07-19,1.15,1.15,1.15,1.15,0
2026-07-20,1.15,1.15,1.15,1.15,0
