"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","0.497","0.490","0.497","0.489","2.57M","0.81%"
"07/15/2026","0.493","0.493","0.498","0.491","106.54K","-1.00%"
"07/14/2026","0.498","0.498","0.498","0.498","","0.00%"
"07/13/2026","0.498","0.499","0.499","0.495","26.60K","-0.40%"
"07/12/2026","0.500","0.500","0.500","0.500","0.50K","0.00%"
"07/09/2026","0.500","0.494","0.500","0.494","42.40K","0.20%"
"07/08/2026","0.499","0.499","0.499","0.499","3.00K","0.40%"
"07/07/2026","0.497","0.494","0.497","0.494","2.35K","-0.40%"
"07/06/2026","0.499","0.498","0.499","0.498","6.00M","0.00%"
"07/05/2026","0.499","0.496","0.499","0.496","4.00M","0.00%"
"07/02/2026","0.499","0.498","0.499","0.494","6.01M","0.00%"
"07/01/2026","0.499","0.498","0.499","0.498","3.01M","0.00%"
"06/30/2026","0.499","0.498","0.499","0.498","5.00M","0.00%"
"06/29/2026","0.499","0.500","0.500","0.495","6.06M","0.81%"
"06/28/2026","0.495","0.495","0.495","0.495","100.10K","0.00%"
"06/25/2026","0.495","0.498","0.499","0.495","4.05M","-1.00%"
"06/24/2026","0.500","0.493","0.500","0.493","10.64M","1.42%"
"06/23/2026","0.493","0.490","0.493","0.490","10.12M","0.00%"
"06/22/2026","0.493","0.488","0.495","0.488","5.16M","1.02%"
"06/21/2026","0.488","0.489","0.494","0.488","43.90K","-1.21%"
"06/17/2026","0.494","0.489","0.494","0.489","55.00K","-0.20%"
"06/16/2026","0.495","0.495","0.495","0.495","","0.00%"
"06/15/2026","0.495","0.495","0.495","0.495","","0.00%"
"06/14/2026","0.495","0.490","0.495","0.490","132.30K","0.00%"
"06/11/2026","0.495","0.490","0.495","0.489","135.54K","0.00%"
"06/10/2026","0.495","0.495","0.495","0.490","162.54K","0.00%"
"06/09/2026","0.495","0.495","0.495","0.488","169.50K","0.41%"
"06/08/2026","0.493","0.488","0.493","0.488","115.00K","0.00%"
"06/07/2026","0.493","0.489","0.495","0.488","576.55K","-0.40%"
"06/04/2026","0.495","0.480","0.495","0.480","176.50K","4.21%"
"06/03/2026","0.475","0.469","0.475","0.469","156.34K","1.06%"
"06/02/2026","0.470","0.461","0.470","0.461","220.00K","2.17%"
"06/01/2026","0.460","0.460","0.460","0.460","2.25K","0.00%"
"05/31/2026","0.460","0.450","0.460","0.450","204.20K","2.22%"
"05/25/2026","0.450","0.444","0.450","0.440","628.36K","2.51%"
"05/24/2026","0.439","0.438","0.439","0.438","5.44M","0.46%"
"05/21/2026","0.437","0.437","0.437","0.437","525.25K","0.46%"
"05/20/2026","0.435","0.430","0.437","0.429","1.06M","-0.46%"
"05/19/2026","0.437","0.450","0.450","0.432","100.83K","0.00%"
"05/18/2026","0.437","0.434","0.437","0.431","984.27K","0.00%"
"05/17/2026","0.437","0.438","0.438","0.437","60.20K","0.00%"
"05/14/2026","0.437","0.426","0.437","0.419","2.09M","2.82%"
"05/13/2026","0.425","0.424","0.430","0.424","758.50K","0.71%"
"05/12/2026","0.422","0.418","0.422","0.418","748.55K","0.48%"
"05/11/2026","0.420","0.420","0.420","0.420","","0.00%"
"05/10/2026","0.420","0.418","0.420","0.418","10.64K","0.48%"
"05/07/2026","0.418","0.417","0.420","0.414","70.33K","0.48%"
"05/06/2026","0.416","0.409","0.417","0.409","556.83K","1.96%"
"05/05/2026","0.408","0.406","0.408","0.406","861.54K","0.99%"
"05/04/2026","0.404","0.404","0.404","0.402","13.71M","0.00%"
"05/03/2026","0.404","0.404","0.405","0.404","654.05K","0.00%"
"04/30/2026","0.404","0.402","0.407","0.401","634.67K","0.75%"
"04/29/2026","0.401","0.401","0.404","0.401","498.60K","-0.25%"
"04/28/2026","0.402","0.399","0.402","0.399","145.90K","1.26%"
"04/27/2026","0.397","0.395","0.401","0.395","356.39K","1.02%"
"04/26/2026","0.393","0.394","0.395","0.392","140.13K","-0.25%"
"04/23/2026","0.394","0.392","0.394","0.392","274.60K","0.51%"
"04/22/2026","0.392","0.392","0.396","0.392","398.00K","0.00%"
"04/21/2026","0.392","0.387","0.392","0.387","3.60M","1.55%"
"04/20/2026","0.386","0.387","0.390","0.386","350.85K","-1.03%"
"04/19/2026","0.390","0.390","0.390","0.390","1.17M","0.26%"
"04/16/2026","0.389","0.390","0.393","0.389","387.07K","-0.51%"
"04/15/2026","0.391","0.391","0.391","0.389","203.56K","-0.26%"
"04/14/2026","0.392","0.390","0.392","0.387","445.00K","0.51%"
"04/13/2026","0.390","0.390","0.390","0.390","","0.00%"
"04/12/2026","0.390","0.390","0.390","0.390","12.46K","-0.26%"
"04/09/2026","0.391","0.390","0.391","0.388","55.00K","0.26%"
"04/08/2026","0.390","0.388","0.390","0.387","156.00K","0.00%"
"04/07/2026","0.390","0.387","0.390","0.386","1.01M","0.26%"
"04/06/2026","0.389","0.389","0.389","0.389","","0.00%"
"04/05/2026","0.389","0.388","0.389","0.388","60.00K","0.00%"
"04/02/2026","0.389","0.388","0.389","0.385","875.02K","0.52%"
"04/01/2026","0.387","0.387","0.387","0.387","105.89K","0.26%"
"03/31/2026","0.386","0.386","0.386","0.386","9.00K","-1.28%"
"03/30/2026","0.391","0.391","0.391","0.391","","0.00%"
"03/29/2026","0.391","0.390","0.391","0.390","109.00K","0.51%"
"03/26/2026","0.389","0.389","0.389","0.389","19.33K","-0.77%"
"03/25/2026","0.392","0.390","0.392","0.390","175.20K","0.51%"
"03/24/2026","0.390","0.389","0.391","0.389","1.46M","-0.51%"
"03/18/2026","0.392","0.385","0.392","0.385","121.80K","1.29%"
"03/17/2026","0.387","0.387","0.387","0.387","150.00K","-0.51%"
"03/16/2026","0.389","0.392","0.392","0.389","48.53K","-0.77%"
"03/15/2026","0.392","0.394","0.394","0.392","426.80K","-0.76%"
"03/12/2026","0.395","0.393","0.395","0.393","139.78K","0.25%"
"03/11/2026","0.394","0.393","0.394","0.393","28.40K","-0.25%"
"03/10/2026","0.395","0.393","0.395","0.389","1.06M","0.51%"
"03/09/2026","0.393","0.393","0.393","0.393","100.07K","-0.25%"
"03/08/2026","0.394","0.391","0.394","0.391","3.32K","0.00%"
"03/05/2026","0.394","0.394","0.394","0.394","50.37K","-0.25%"
"03/04/2026","0.395","0.390","0.395","0.389","577.62K","1.28%"
"03/03/2026","0.390","0.391","0.392","0.390","360.88K","-0.76%"
"03/02/2026","0.393","0.392","0.393","0.392","2.10K","0.00%"
"03/01/2026","0.393","0.385","0.400","0.385","825.57K","2.08%"
"02/26/2026","0.385","0.384","0.385","0.383","1.02M","0.26%"
"02/25/2026","0.384","0.384","0.384","0.384","125.50K","-0.26%"
"02/24/2026","0.385","0.385","0.385","0.383","145.34K","0.26%"
"02/23/2026","0.384","0.384","0.384","0.383","456.44K","0.26%"
"02/22/2026","0.383","0.387","0.387","0.383","223.97K","-0.78%"
"02/19/2026","0.386","0.386","0.386","0.386","315.89K","0.00%"
"02/18/2026","0.386","0.392","0.392","0.386","51.24K","-1.03%"
