Date,Open,High,Low,Close,Volume
2026-01-20,0.398,0.398,0.397,0.397,101248
2026-01-21,0.397,0.399,0.397,0.397,88852
2026-01-22,0.397,0.397,0.394,0.395,186790
2026-01-25,0.395,0.395,0.394,0.395,460743
2026-01-26,0.395,0.397,0.395,0.397,326719
2026-01-27,0.397,0.397,0.395,0.397,656297
2026-01-28,0.397,0.401,0.397,0.4,2079265
2026-01-29,0.4,0.4,0.396,0.397,636858
2026-02-01,0.395,0.396,0.395,0.396,100163
2026-02-02,0.394,0.395,0.39,0.395,1408670
2026-02-03,0.395,0.396,0.391,0.396,426040
2026-02-04,0.394,0.394,0.394,0.394,27070
2026-02-05,0.395,0.395,0.392,0.394,281434
2026-02-08,0.395,0.396,0.395,0.396,112689
2026-02-09,0.397,0.4,0.395,0.4,352835
2026-02-10,0.397,0.397,0.396,0.396,508109
2026-02-11,0.396,0.396,0.396,0.396,20301
2026-02-12,0.394,0.4,0.394,0.399,715391
2026-02-15,0.397,0.402,0.395,0.395,634479
2026-02-16,0.395,0.395,0.395,0.395,2118620
2026-02-17,0.391,0.392,0.39,0.39,238435
2026-02-18,0.392,0.392,0.386,0.386,51236
2026-02-19,0.386,0.386,0.386,0.386,315888
2026-02-22,0.387,0.387,0.383,0.383,223974
2026-02-23,0.384,0.384,0.383,0.384,456440
2026-02-24,0.385,0.385,0.383,0.385,145342
2026-02-25,0.384,0.384,0.384,0.384,125500
2026-02-26,0.384,0.385,0.383,0.385,1023257
2026-03-01,0.385,0.4,0.385,0.393,825574
2026-03-02,0.392,0.393,0.392,0.393,2100
2026-03-03,0.391,0.392,0.39,0.39,360884
2026-03-04,0.39,0.395,0.389,0.395,577618
2026-03-05,0.394,0.394,0.394,0.394,50373
2026-03-08,0.391,0.394,0.391,0.394,3315
2026-03-09,0.393,0.393,0.393,0.393,100072
2026-03-10,0.393,0.395,0.389,0.395,1055061
2026-03-11,0.393,0.394,0.393,0.394,28397
2026-03-12,0.393,0.395,0.393,0.395,139776
2026-03-15,0.394,0.394,0.392,0.392,426800
2026-03-16,0.392,0.392,0.389,0.389,48529
2026-03-17,0.387,0.387,0.387,0.387,150000
2026-03-18,0.385,0.392,0.385,0.392,121800
2026-03-24,0.389,0.391,0.389,0.39,1457998
2026-03-25,0.39,0.392,0.39,0.392,175200
2026-03-26,0.389,0.389,0.389,0.389,19328
2026-03-29,0.39,0.391,0.39,0.391,109000
2026-03-30,0.391,0.391,0.391,0.391,0
2026-03-31,0.386,0.386,0.386,0.386,9000
2026-04-01,0.387,0.387,0.387,0.387,105888
2026-04-02,0.388,0.389,0.385,0.389,875020
2026-04-05,0.388,0.389,0.388,0.389,60000
2026-04-06,0.389,0.389,0.389,0.389,0
2026-04-07,0.387,0.39,0.386,0.39,1010702
2026-04-08,0.388,0.39,0.387,0.39,156000
2026-04-09,0.39,0.391,0.388,0.391,55000
2026-04-12,0.39,0.39,0.39,0.39,12455
2026-04-13,0.39,0.39,0.39,0.39,0
2026-04-14,0.39,0.392,0.387,0.392,445000
2026-04-15,0.391,0.391,0.389,0.391,203560
2026-04-16,0.39,0.393,0.389,0.389,387068
2026-04-19,0.39,0.39,0.39,0.39,1170900
2026-04-20,0.387,0.39,0.386,0.386,350850
2026-04-21,0.387,0.392,0.387,0.392,3596929
2026-04-22,0.392,0.396,0.392,0.392,398003
2026-04-23,0.392,0.394,0.392,0.394,270000
2026-04-26,0.394,0.395,0.392,0.393,140134
2026-04-27,0.395,0.401,0.395,0.397,356387
2026-04-28,0.399,0.402,0.399,0.402,145900
2026-04-29,0.401,0.404,0.401,0.401,498600
2026-04-30,0.402,0.407,0.401,0.404,634674
2026-05-03,0.404,0.405,0.404,0.404,654046
2026-05-04,0.404,0.404,0.402,0.404,13706980
2026-05-05,0.406,0.408,0.406,0.408,861536
2026-05-06,0.409,0.417,0.409,0.416,556827
2026-05-07,0.417,0.42,0.414,0.418,70327
2026-05-10,0.418,0.42,0.418,0.42,10644
2026-05-11,0.42,0.42,0.42,0.42,0
2026-05-12,0.418,0.422,0.418,0.422,748548
2026-05-13,0.424,0.43,0.424,0.425,758500
2026-05-14,0.426,0.437,0.419,0.437,2093000
2026-05-17,0.438,0.438,0.437,0.437,60204
2026-05-18,0.434,0.437,0.431,0.437,984271
2026-05-19,0.45,0.45,0.432,0.437,100833
2026-05-20,0.43,0.437,0.429,0.435,1055112
2026-05-21,0.437,0.437,0.437,0.437,525254
2026-05-24,0.438,0.439,0.438,0.439,5438032
2026-05-25,0.444,0.45,0.44,0.45,628357
2026-05-31,0.45,0.46,0.45,0.46,204196
2026-06-01,0.46,0.46,0.46,0.46,2253
2026-06-02,0.461,0.47,0.461,0.47,220000
2026-06-03,0.469,0.475,0.469,0.475,156341
2026-06-04,0.48,0.495,0.48,0.495,166449
2026-06-07,0.489,0.495,0.488,0.493,576550
2026-06-08,0.488,0.493,0.488,0.493,115000
2026-06-09,0.495,0.495,0.488,0.495,169500
2026-06-10,0.495,0.495,0.49,0.495,162540
