"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","0.213","0.215","0.215","0.213","93.00K","-3.18%"
"07/15/2026","0.220","0.220","0.220","0.220","","0.00%"
"07/14/2026","0.220","0.216","0.220","0.216","25.07K","2.80%"
"07/13/2026","0.214","0.216","0.216","0.216","1.50K","0.00%"
"07/12/2026","0.214","0.214","0.214","0.214","0.88K","0.00%"
"07/09/2026","0.214","0.213","0.214","0.213","23.82K","0.00%"
"07/08/2026","0.214","0.215","0.215","0.214","8.60K","-0.47%"
"07/07/2026","0.215","0.215","0.215","0.215","0.75K","0.47%"
"07/06/2026","0.214","0.215","0.215","0.214","71.06K","-0.47%"
"07/05/2026","0.215","0.215","0.216","0.215","18.43K","1.42%"
"07/02/2026","0.212","0.212","0.214","0.212","513.00K","0.00%"
"07/01/2026","0.212","0.212","0.212","0.212","100.00K","0.00%"
"06/30/2026","0.212","0.212","0.212","0.212","","0.00%"
"06/29/2026","0.212","0.212","0.212","0.212","","0.00%"
"06/28/2026","0.212","0.212","0.212","0.212","0.17K","0.00%"
"06/25/2026","0.212","0.207","0.212","0.207","4.93K","0.47%"
"06/24/2026","0.211","0.211","0.211","0.211","16.22K","-0.94%"
"06/23/2026","0.213","0.213","0.213","0.213","3.68K","-0.47%"
"06/22/2026","0.214","0.214","0.214","0.214","","0.00%"
"06/21/2026","0.214","0.213","0.214","0.213","4.50K","1.90%"
"06/17/2026","0.210","0.210","0.210","0.210","0.61K","0.00%"
"06/16/2026","0.210","0.210","0.210","0.210","10.00K","0.00%"
"06/15/2026","0.210","0.210","0.210","0.210","","0.00%"
"06/14/2026","0.210","0.210","0.210","0.210","","0.00%"
"06/11/2026","0.210","0.210","0.210","0.210","","0.00%"
"06/10/2026","0.210","0.210","0.210","0.210","","0.00%"
"06/09/2026","0.210","0.210","0.210","0.210","","0.00%"
"06/08/2026","0.210","0.210","0.210","0.210","16.50K","0.00%"
"06/07/2026","0.210","0.210","0.210","0.210","10.00K","0.00%"
"06/04/2026","0.210","0.210","0.210","0.210","4.38K","0.00%"
"06/03/2026","0.210","0.210","0.211","0.210","70.51K","-1.87%"
"06/02/2026","0.214","0.212","0.216","0.212","28.50K","0.94%"
"06/01/2026","0.212","0.213","0.215","0.212","43.46K","-0.47%"
"05/31/2026","0.213","0.213","0.213","0.213","","0.00%"
"05/25/2026","0.213","0.213","0.213","0.213","","0.00%"
"05/24/2026","0.213","0.213","0.213","0.213","","0.00%"
"05/21/2026","0.213","0.214","0.214","0.213","117.20K","1.43%"
"05/20/2026","0.210","0.210","0.210","0.210","24.61K","-0.47%"
"05/19/2026","0.211","0.212","0.212","0.211","63.00K","-1.40%"
"05/18/2026","0.214","0.214","0.214","0.214","16.07K","-1.38%"
"05/17/2026","0.217","0.217","0.217","0.217","10.65K","0.00%"
"05/14/2026","0.217","0.217","0.217","0.217","50.00K","-0.46%"
"05/13/2026","0.218","0.218","0.220","0.218","676.92K","-0.91%"
"05/12/2026","0.220","0.222","0.222","0.220","80.40K","-0.90%"
"05/11/2026","0.222","0.222","0.222","0.222","","0.00%"
"05/10/2026","0.222","0.222","0.222","0.222","0.60K","-3.06%"
"05/07/2026","0.229","0.229","0.229","0.229","","0.00%"
"05/06/2026","0.229","0.229","0.229","0.229","","0.00%"
"05/05/2026","0.229","0.218","0.229","0.218","1.17K","0.44%"
"05/04/2026","0.228","0.229","0.229","0.228","2.10K","-0.87%"
"05/03/2026","0.230","0.230","0.230","0.230","4.00K","0.00%"
"04/30/2026","0.230","0.230","0.230","0.230","","0.00%"
"04/29/2026","0.230","0.230","0.230","0.230","","0.00%"
"04/28/2026","0.230","0.230","0.230","0.230","","0.00%"
"04/27/2026","0.230","0.230","0.230","0.230","","0.00%"
"04/26/2026","0.230","0.230","0.230","0.230","4.37K","2.22%"
"04/23/2026","0.225","0.225","0.225","0.225","0.70K","-2.17%"
"04/22/2026","0.230","0.231","0.231","0.230","2.40K","1.77%"
"04/21/2026","0.226","0.226","0.226","0.226","","0.00%"
"04/20/2026","0.226","0.227","0.227","0.226","26.81K","-0.44%"
"04/19/2026","0.227","0.233","0.233","0.225","20.27K","-3.40%"
"04/16/2026","0.235","0.235","0.235","0.235","","0.00%"
"04/15/2026","0.235","0.237","0.237","0.230","89.93K","-1.26%"
"04/14/2026","0.238","0.238","0.238","0.238","","0.00%"
"04/13/2026","0.238","0.238","0.238","0.238","","0.00%"
"04/12/2026","0.238","0.238","0.238","0.238","","0.00%"
