Date,Open,High,Low,Close,Volume
2026-01-20,0.1636,0.1654,0.1636,0.1654,43870
2026-01-21,0.1654,0.1673,0.1636,0.1673,143705
2026-01-22,0.1673,0.1673,0.1645,0.1673,23861
2026-01-25,0.1673,0.1673,0.1673,0.1673,0
2026-01-26,0.1673,0.1673,0.1579,0.1673,24427
2026-01-27,0.1654,0.1654,0.1654,0.1654,42800
2026-01-28,0.1813,0.1813,0.1813,0.1813,270998
2026-01-29,0.1981,0.1991,0.1869,0.1907,185473
2026-02-01,0.1888,0.1897,0.1888,0.1888,66852
2026-02-02,0.1869,0.1963,0.1869,0.1963,222975
2026-02-03,0.1972,0.1972,0.1963,0.1963,45368
2026-02-04,0.1953,0.1953,0.1953,0.1953,3210
2026-02-05,0.1953,0.1972,0.1953,0.1963,109461
2026-02-08,0.1963,0.1991,0.1963,0.1991,122729
2026-02-09,0.1991,0.2009,0.1991,0.2009,31297
2026-02-10,0.2009,0.2065,0.2009,0.2047,64066
2026-02-11,0.2065,0.2112,0.2056,0.2112,152876
2026-02-12,0.2103,0.2131,0.2103,0.2103,21818
2026-02-15,0.2103,0.2103,0.2037,0.2037,18069
2026-02-16,0.2056,0.2065,0.2056,0.2056,171421
2026-02-17,0.2056,0.2103,0.2056,0.2056,673223
2026-02-18,0.2056,0.2056,0.2056,0.2056,5350
2026-02-19,0.2037,0.2075,0.2037,0.2075,16049
2026-02-22,0.2075,0.2084,0.2075,0.2075,87241
2026-02-23,0.2075,0.2075,0.2065,0.2065,7586
2026-02-24,0.2084,0.2103,0.2084,0.2103,12519
2026-02-25,0.2084,0.2178,0.2084,0.2178,17441
2026-02-26,0.2131,0.2196,0.2131,0.2187,109698
2026-03-01,0.1972,0.215,0.1972,0.215,63066
2026-03-02,0.215,0.215,0.215,0.215,505
2026-03-03,0.2103,0.2103,0.2103,0.2103,5350
2026-03-04,0.2103,0.2103,0.2103,0.2103,0
2026-03-05,0.2103,0.215,0.2103,0.214,123076
2026-03-08,0.214,0.214,0.214,0.214,5352
2026-03-09,0.2168,0.2168,0.2121,0.2121,37450
2026-03-10,0.2121,0.2121,0.2121,0.2121,0
2026-03-11,0.2121,0.2121,0.2121,0.2121,40125
2026-03-12,0.2112,0.2121,0.2112,0.2121,228754
2026-03-15,0.2121,0.2121,0.2121,0.2121,35310
2026-03-16,0.2121,0.2121,0.2121,0.2121,0
2026-03-17,0.2121,0.2121,0.2121,0.2121,617
2026-03-18,0.2224,0.2224,0.2224,0.2224,107
2026-03-24,0.2234,0.2234,0.2234,0.2234,17723
2026-03-25,0.2234,0.2262,0.2234,0.2262,40285
2026-03-26,0.2252,0.2252,0.2243,0.2243,34079
2026-03-29,0.2243,0.2243,0.2243,0.2243,32634
2026-03-30,0.2243,0.229,0.2243,0.2252,866443
2026-03-31,0.225,0.225,0.223,0.223,47737
2026-04-01,0.211,0.231,0.211,0.231,10550
2026-04-02,0.229,0.235,0.229,0.23,97813
2026-04-05,0.23,0.23,0.23,0.23,2000
2026-04-06,0.234,0.234,0.234,0.234,153618
2026-04-07,0.234,0.238,0.213,0.237,78037
2026-04-08,0.237,0.237,0.237,0.237,0
2026-04-09,0.238,0.238,0.238,0.238,16000
2026-04-12,0.238,0.238,0.238,0.238,0
2026-04-13,0.238,0.238,0.238,0.238,0
2026-04-14,0.238,0.238,0.238,0.238,0
2026-04-15,0.237,0.237,0.23,0.235,89931
2026-04-16,0.235,0.235,0.235,0.235,0
2026-04-19,0.233,0.233,0.225,0.227,20272
2026-04-20,0.227,0.227,0.226,0.226,26810
2026-04-21,0.226,0.226,0.226,0.226,0
2026-04-22,0.231,0.231,0.23,0.23,2400
2026-04-23,0.225,0.225,0.225,0.225,700
2026-04-26,0.23,0.23,0.23,0.23,4365
2026-04-27,0.23,0.23,0.23,0.23,0
2026-04-28,0.23,0.23,0.23,0.23,0
2026-04-29,0.23,0.23,0.23,0.23,0
2026-04-30,0.23,0.23,0.23,0.23,0
2026-05-03,0.23,0.23,0.23,0.23,4000
2026-05-04,0.229,0.229,0.228,0.228,2100
2026-05-05,0.218,0.229,0.218,0.229,1170
2026-05-06,0.229,0.229,0.229,0.229,0
2026-05-07,0.229,0.229,0.229,0.229,0
2026-05-10,0.222,0.222,0.222,0.222,600
2026-05-11,0.222,0.222,0.222,0.222,0
2026-05-12,0.222,0.222,0.22,0.22,80400
2026-05-13,0.218,0.22,0.218,0.218,676919
2026-05-14,0.217,0.217,0.217,0.217,50000
2026-05-17,0.217,0.217,0.217,0.217,10650
2026-05-18,0.214,0.214,0.214,0.214,16070
2026-05-19,0.212,0.212,0.211,0.211,63000
2026-05-20,0.21,0.21,0.21,0.21,24610
2026-05-21,0.214,0.214,0.213,0.213,117199
2026-05-24,0.213,0.213,0.213,0.213,0
2026-05-25,0.213,0.213,0.213,0.213,0
2026-05-31,0.213,0.213,0.213,0.213,0
2026-06-01,0.213,0.215,0.212,0.212,43458
2026-06-02,0.212,0.216,0.212,0.214,28500
2026-06-03,0.21,0.211,0.21,0.21,70505
2026-06-04,0.21,0.21,0.21,0.21,4379
2026-06-07,0.21,0.21,0.21,0.21,10000
2026-06-08,0.21,0.21,0.21,0.21,16500
2026-06-09,0.21,0.21,0.21,0.21,0
2026-06-10,0.21,0.21,0.21,0.21,0
2026-06-11,0.21,0.21,0.21,0.21,0
2026-06-14,0.21,0.21,0.21,0.21,0
2026-06-15,0.21,0.21,0.21,0.21,0
2026-06-16,0.21,0.21,0.21,0.21,10000
2026-06-17,0.21,0.21,0.21,0.21,605
2026-06-21,0.213,0.214,0.213,0.214,4500
2026-06-22,0.214,0.214,0.214,0.214,0
2026-06-23,0.213,0.213,0.213,0.213,3680
2026-06-24,0.211,0.211,0.211,0.211,16219
2026-06-25,0.207,0.212,0.207,0.212,4927
2026-06-28,0.212,0.212,0.212,0.212,174
2026-06-29,0.212,0.212,0.212,0.212,0
2026-06-30,0.212,0.212,0.212,0.212,0
2026-07-01,0.212,0.212,0.212,0.212,100000
2026-07-02,0.212,0.214,0.212,0.212,513000
2026-07-05,0.215,0.216,0.215,0.215,18430
2026-07-06,0.215,0.215,0.214,0.214,71059
2026-07-07,0.215,0.215,0.215,0.215,750
2026-07-08,0.215,0.215,0.214,0.214,8600
2026-07-09,0.213,0.214,0.213,0.214,23820
2026-07-12,0.214,0.214,0.214,0.214,880
2026-07-13,0.216,0.216,0.216,0.214,1500
2026-07-14,0.216,0.22,0.216,0.22,25070
2026-07-15,0.22,0.22,0.22,0.22,0
2026-07-16,0.215,0.215,0.213,0.213,93000
2026-07-19,0.212,0.212,0.212,0.212,127000
2026-07-20,0.212,0.212,0.212,0.212,121000
