"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","0.24","0.24","0.24","0.24","196.16K","0.00%"
"07/15/2026","0.24","0.24","0.24","0.24","120.87K","0.00%"
"07/14/2026","0.24","0.24","0.24","0.24","123.23K","0.00%"
"07/13/2026","0.24","0.24","0.24","0.24","230.00K","0.00%"
"07/12/2026","0.24","0.24","0.24","0.24","420.00K","0.00%"
"07/09/2026","0.24","0.24","0.24","0.24","180.00K","0.00%"
"07/08/2026","0.24","0.24","0.24","0.24","481.00K","0.00%"
"07/07/2026","0.23","0.23","0.23","0.23","300.00K","0.00%"
"07/06/2026","0.23","0.23","0.23","0.23","241.62K","0.00%"
"07/05/2026","0.23","0.23","0.23","0.23","525.95K","0.00%"
"07/02/2026","0.23","0.23","0.23","0.23","660.00K","0.00%"
"07/01/2026","0.23","0.23","0.23","0.23","286.00K","0.00%"
"06/30/2026","0.23","0.23","0.23","0.23","258.32K","0.00%"
"06/29/2026","0.23","0.24","0.24","0.23","711.00K","0.00%"
"06/28/2026","0.24","0.24","0.24","0.24","300.00K","0.00%"
"06/25/2026","0.24","0.24","0.24","0.24","470.00K","0.00%"
"06/24/2026","0.24","0.24","0.24","0.24","360.00K","0.00%"
"06/23/2026","0.24","0.24","0.24","0.24","210.00K","0.00%"
"06/22/2026","0.24","0.24","0.24","0.24","310.00K","0.00%"
"06/21/2026","0.24","0.24","0.24","0.24","260.00K","0.00%"
"06/17/2026","0.24","0.24","0.24","0.24","267.15K","0.00%"
"06/16/2026","0.24","0.24","0.24","0.24","120.43K","0.00%"
"06/15/2026","0.24","0.24","0.24","0.24","200.00K","0.00%"
"06/14/2026","0.24","0.24","0.24","0.24","","0.00%"
"06/11/2026","0.24","0.24","0.24","0.24","25.00K","0.00%"
"06/10/2026","0.24","0.23","0.24","0.23","173.45K","4.35%"
"06/09/2026","0.23","0.22","0.23","0.22","79.87K","5.02%"
"06/08/2026","0.22","0.22","0.22","0.22","109.03K","0.00%"
"06/07/2026","0.22","0.22","0.22","0.22","1.73M","0.00%"
"06/04/2026","0.22","0.22","0.22","0.22","116.83K","0.00%"
"06/03/2026","0.22","0.22","0.22","0.22","43.08K","0.00%"
"06/02/2026","0.22","0.22","0.22","0.22","8.76K","0.00%"
"06/01/2026","0.22","0.22","0.22","0.22","","0.00%"
"05/31/2026","0.22","0.22","0.22","0.22","","0.00%"
"05/25/2026","0.22","0.22","0.22","0.22","12.22K","0.00%"
"05/24/2026","0.22","0.22","0.22","0.22","","0.00%"
"05/21/2026","0.22","0.21","0.22","0.21","30.40K","0.00%"
"05/20/2026","0.21","0.21","0.21","0.21","","0.00%"
"05/19/2026","0.21","0.21","0.21","0.21","165.20K","0.00%"
"05/18/2026","0.21","0.21","0.21","0.21","109.60K","0.00%"
"05/17/2026","0.21","0.20","0.21","0.20","74.90K","0.00%"
"05/14/2026","0.20","0.21","0.21","0.20","1.16M","0.00%"
"05/13/2026","0.21","0.21","0.21","0.21","10.20K","0.00%"
"05/12/2026","0.21","0.21","0.21","0.21","25.20K","0.00%"
"05/11/2026","0.20","0.20","0.20","0.20","","0.00%"
"05/10/2026","0.20","0.20","0.20","0.20","61.00K","0.00%"
"05/07/2026","0.20","0.20","0.20","0.20","24.24K","0.00%"
"05/06/2026","0.20","0.20","0.20","0.20","247.63K","0.00%"
"05/05/2026","0.20","0.20","0.20","0.20","","0.00%"
"05/04/2026","0.20","0.20","0.20","0.20","1.29M","0.00%"
"05/03/2026","0.20","0.20","0.20","0.20","513.90K","0.00%"
"04/30/2026","0.20","0.19","0.20","0.19","145.00K","0.00%"
"04/29/2026","0.20","0.20","0.20","0.19","32.93K","0.00%"
"04/28/2026","0.19","0.19","0.20","0.19","741.13K","0.00%"
"04/27/2026","0.19","0.19","0.19","0.19","0.65K","0.00%"
"04/26/2026","0.19","0.19","0.19","0.19","450.62K","0.00%"
"04/23/2026","0.19","0.19","0.19","0.19","8.00K","0.00%"
"04/22/2026","0.19","0.19","0.19","0.19","6.46K","0.00%"
"04/21/2026","0.19","0.19","0.19","0.19","","0.00%"
"04/20/2026","0.19","0.19","0.19","0.19","1.00K","0.00%"
"04/19/2026","0.19","0.19","0.19","0.19","","0.00%"
"04/16/2026","0.19","0.19","0.19","0.19","","0.00%"
"04/15/2026","0.19","0.19","0.19","0.19","49.29K","0.00%"
"04/14/2026","0.19","0.19","0.19","0.19","","0.00%"
"04/13/2026","0.19","0.19","0.19","0.19","215.00K","0.00%"
"04/12/2026","0.19","0.20","0.20","0.19","900.00K","0.00%"
"04/09/2026","0.20","0.20","0.20","0.20","115.00K","0.00%"
"04/08/2026","0.20","0.20","0.20","0.20","300.00K","0.00%"
"04/07/2026","0.20","0.20","0.20","0.20","200.00K","0.00%"
"04/06/2026","0.20","0.20","0.20","0.20","517.86K","0.00%"
"04/05/2026","0.19","0.19","0.19","0.19","15.00K","0.00%"
"04/02/2026","0.19","0.19","0.19","0.19","","0.00%"
"04/01/2026","0.19","0.19","0.19","0.19","","0.00%"
"03/31/2026","0.19","0.19","0.19","0.19","2.00K","0.00%"
"03/30/2026","0.19","0.19","0.19","0.19","16.16K","0.00%"
"03/29/2026","0.19","0.19","0.19","0.19","","0.00%"
"03/26/2026","0.19","0.19","0.19","0.19","","0.00%"
"03/25/2026","0.19","0.19","0.19","0.19","64.64M","0.00%"
"03/24/2026","0.19","0.19","0.19","0.19","","0.00%"
"03/18/2026","0.19","0.19","0.19","0.19","","0.00%"
"03/17/2026","0.19","0.19","0.19","0.19","","0.00%"
