Date,Open,High,Low,Close,Volume
2026-05-04,0.2,0.2,0.2,0.2,1288563
2026-05-05,0.2,0.2,0.2,0.2,0
2026-05-06,0.2,0.2,0.2,0.2,247632
2026-05-07,0.2,0.2,0.2,0.2,24240
2026-05-10,0.2,0.21,0.2,0.21,61000
2026-05-11,0.21,0.21,0.21,0.21,0
2026-05-12,0.21,0.21,0.21,0.21,25200
2026-05-13,0.21,0.21,0.21,0.21,10200
2026-05-14,0.21,0.21,0.2,0.2,1164600
2026-05-17,0.21,0.21,0.21,0.21,74900
2026-05-18,0.21,0.21,0.21,0.21,109600
2026-05-19,0.21,0.21,0.21,0.21,165202
2026-05-20,0.21,0.21,0.21,0.21,0
2026-05-21,0.21,0.22,0.21,0.22,30400
2026-05-24,0.22,0.22,0.22,0.22,0
2026-05-25,0.22,0.22,0.22,0.22,12223
2026-05-31,0.22,0.22,0.22,0.22,0
2026-06-01,0.22,0.22,0.22,0.22,0
2026-06-02,0.22,0.22,0.22,0.22,8764
2026-06-03,0.22,0.22,0.22,0.22,43080
2026-06-04,0.22,0.22,0.22,0.22,116832
2026-06-07,0.22,0.22,0.22,0.22,1726236
2026-06-08,0.22,0.22,0.22,0.22,109028
2026-06-09,0.22,0.23,0.22,0.23,79873
2026-06-10,0.23,0.24,0.23,0.24,173452
2026-06-11,0.24,0.24,0.24,0.24,25000
2026-06-14,0.24,0.24,0.24,0.24,0
2026-06-15,0.24,0.24,0.24,0.24,200000
2026-06-16,0.24,0.24,0.24,0.24,120425
2026-06-17,0.24,0.24,0.24,0.24,267148
2026-06-21,0.24,0.24,0.24,0.24,260000
2026-06-22,0.24,0.24,0.24,0.24,310000
2026-06-23,0.24,0.24,0.24,0.24,210000
2026-06-24,0.24,0.24,0.24,0.24,360000
2026-06-25,0.24,0.24,0.24,0.24,470000
2026-06-28,0.24,0.24,0.24,0.24,300000
2026-06-29,0.24,0.24,0.23,0.23,711000
2026-06-30,0.23,0.23,0.23,0.23,258323
2026-07-01,0.23,0.23,0.23,0.23,286000
2026-07-02,0.23,0.23,0.23,0.23,660000
2026-07-05,0.23,0.23,0.23,0.23,525952
2026-07-06,0.23,0.23,0.23,0.23,241616
2026-07-07,0.23,0.23,0.23,0.23,300000
2026-07-08,0.24,0.24,0.24,0.24,481000
2026-07-09,0.24,0.24,0.24,0.24,180000
2026-07-12,0.24,0.24,0.24,0.24,420000
2026-07-13,0.24,0.24,0.24,0.24,230000
2026-07-14,0.24,0.24,0.24,0.24,123232
2026-07-15,0.24,0.24,0.24,0.24,120868
2026-07-16,0.24,0.24,0.24,0.24,196160
