"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","3.300","3.300","3.300","3.300","2.50K","0.00%"
"07/15/2026","3.300","3.300","3.300","3.300","2.50K","0.00%"
"07/14/2026","3.300","3.240","3.300","3.240","20.00K","2.17%"
"07/13/2026","3.230","3.230","3.230","3.230","5.20K","0.00%"
"07/09/2026","3.230","3.230","3.230","3.230","20.00K","0.00%"
"07/08/2026","3.230","3.225","3.230","3.225","15.10K","0.00%"
"07/07/2026","3.230","3.230","3.230","3.230","41.58K","0.00%"
"07/06/2026","3.230","3.225","3.230","3.225","2.08K","0.00%"
"07/05/2026","3.230","3.230","3.230","3.230","","0.00%"
"07/02/2026","3.230","3.230","3.230","3.230","20.40K","0.16%"
"07/01/2026","3.225","3.220","3.225","3.220","13.28K","0.00%"
"06/30/2026","3.225","3.230","3.230","3.225","20.00K","0.00%"
"06/29/2026","3.225","3.230","3.235","3.225","5.60K","0.16%"
"06/28/2026","3.220","3.225","3.225","3.220","18.80K","-0.31%"
"06/25/2026","3.230","3.230","3.230","3.230","5.00K","0.62%"
"06/24/2026","3.210","3.200","3.210","3.200","15.35K","0.00%"
"06/23/2026","3.210","3.210","3.210","3.210","16.01K","0.31%"
"06/22/2026","3.200","3.210","3.210","3.200","11.15K","0.00%"
"06/21/2026","3.200","3.120","3.220","3.120","14.25K","3.23%"
"06/17/2026","3.100","3.000","3.100","3.000","205.00K","3.33%"
"06/16/2026","3.000","3.000","3.000","3.000","165.00K","1.63%"
"06/15/2026","2.952","2.951","2.952","2.951","5.94K","0.03%"
"06/14/2026","2.951","2.951","2.951","2.951","0.99K","0.00%"
"06/11/2026","2.951","2.951","2.951","2.951","","0.00%"
"06/10/2026","2.951","2.951","2.951","2.951","2.00K","0.00%"
"06/09/2026","2.951","2.950","2.951","2.950","3.84K","0.03%"
"06/08/2026","2.950","2.900","2.950","2.900","5.07K","0.85%"
"06/07/2026","2.925","2.950","2.950","2.925","2.20K","-0.85%"
"06/04/2026","2.950","2.950","2.950","2.950","","0.00%"
"06/03/2026","2.950","2.950","2.950","2.950","1.00K","0.00%"
"06/02/2026","2.950","2.950","2.960","2.950","5.35K","0.00%"
"06/01/2026","2.950","2.950","2.950","2.950","0.10K","-1.01%"
"05/31/2026","2.980","2.980","2.980","2.980","","0.00%"
"05/25/2026","2.980","2.980","2.980","2.980","5.00K","1.02%"
"05/24/2026","2.950","2.950","2.950","2.950","","0.00%"
"05/21/2026","2.950","2.900","2.950","2.900","4.18K","2.43%"
"05/20/2026","2.880","2.880","2.880","2.850","41.17K","0.00%"
"05/19/2026","2.880","2.945","2.945","2.880","99.33K","-2.37%"
"05/18/2026","2.950","2.945","2.950","2.945","464.84K","0.17%"
"05/17/2026","2.945","2.945","2.945","2.945","2.71K","0.00%"
"05/14/2026","2.945","2.945","2.945","2.945","","0.00%"
"05/13/2026","2.945","2.990","2.990","2.900","12.85K","-0.17%"
"05/12/2026","2.950","2.950","2.950","2.950","","0.00%"
"05/11/2026","2.950","2.950","2.950","2.950","5.00K","2.43%"
"05/10/2026","2.880","2.880","2.880","2.880","4.00K","-4.00%"
"05/07/2026","3.000","3.000","3.000","3.000","","0.00%"
"05/06/2026","3.000","2.990","3.000","2.990","15.01K","0.33%"
"05/05/2026","2.990","2.990","2.990","2.990","","0.00%"
"05/04/2026","2.990","2.990","2.990","2.990","1.28K","0.00%"
"05/03/2026","2.990","2.985","2.990","2.985","9.43K","1.36%"
"04/30/2026","2.950","2.990","2.990","2.950","0.20K","1.72%"
"04/29/2026","2.900","2.900","2.900","2.900","","0.00%"
"04/28/2026","2.900","2.900","2.900","2.900","","0.00%"
"04/27/2026","2.900","2.900","2.900","2.890","5.10K","0.00%"
"04/26/2026","2.900","2.900","2.900","2.900","0.20K","0.69%"
"04/23/2026","2.880","2.880","2.880","2.880","55.00K","0.00%"
"04/22/2026","2.880","2.880","2.880","2.880","0.09K","0.00%"
"04/21/2026","2.880","2.880","2.880","2.880","","0.00%"
"04/20/2026","2.880","2.875","2.880","2.875","7.38K","0.17%"
"04/19/2026","2.875","2.875","2.875","2.875","2.00K","0.88%"
"04/16/2026","2.850","2.850","2.850","2.850","355.88K","0.00%"
"04/15/2026","2.850","2.880","2.940","2.850","76.21K","-1.04%"
"04/14/2026","2.880","2.850","2.880","2.850","18.51K","1.05%"
"04/13/2026","2.850","2.890","2.890","2.850","14.73K","0.88%"
"04/12/2026","2.825","2.825","2.825","2.825","5.17K","-2.25%"
"04/09/2026","2.890","2.890","2.890","2.890","0.01K","2.30%"
"04/08/2026","2.825","2.825","2.825","2.825","18.71K","0.00%"
"04/07/2026","2.825","2.950","2.950","2.825","84.61K","0.53%"
"04/06/2026","2.810","2.900","2.901","2.810","13.20K","0.36%"
