Date,Open,High,Low,Close,Volume
2026-05-03,2.99,2.99,2.99,2.99,9429
2026-05-04,2.99,2.99,2.99,2.99,1283
2026-05-05,2.99,2.99,2.99,2.99,0
2026-05-06,2.99,3,2.99,3,15008
2026-05-07,3,3,3,3,0
2026-05-10,2.88,2.88,2.88,2.88,4000
2026-05-11,2.95,2.95,2.95,2.95,5000
2026-05-12,2.95,2.95,2.95,2.95,0
2026-05-13,2.99,2.99,2.9,2.95,12850
2026-05-14,2.95,2.95,2.95,2.95,0
2026-05-17,2.95,2.95,2.95,2.95,2708
2026-05-18,2.95,2.95,2.95,2.95,464841
2026-05-19,2.95,2.95,2.88,2.88,99325
2026-05-20,2.88,2.88,2.85,2.88,41171
2026-05-21,2.9,2.95,2.9,2.95,4175
2026-05-24,2.95,2.95,2.95,2.95,0
2026-05-25,2.98,2.98,2.98,2.98,5000
2026-05-31,2.98,2.98,2.98,2.98,0
2026-06-01,2.95,2.95,2.95,2.95,100
2026-06-02,2.95,2.96,2.95,2.95,5352
2026-06-03,2.95,2.95,2.95,2.95,1000
2026-06-04,2.95,2.95,2.95,2.95,0
2026-06-07,2.95,2.95,2.93,2.93,2201
2026-06-08,2.9,2.95,2.9,2.95,5071
2026-06-09,2.95,2.95,2.95,2.95,3837
2026-06-10,2.95,2.95,2.95,2.95,2000
2026-06-11,2.95,2.95,2.95,2.95,0
2026-06-14,2.95,2.95,2.95,2.95,990
2026-06-15,2.95,2.95,2.95,2.95,5943
2026-06-16,3,3,3,3,165000
2026-06-17,3,3.1,3,3.1,205000
2026-06-21,3.12,3.22,3.12,3.2,14250
2026-06-22,3.21,3.21,3.2,3.2,11146
2026-06-23,3.21,3.21,3.21,3.21,16005
2026-06-24,3.2,3.21,3.2,3.21,15350
2026-06-25,3.23,3.23,3.23,3.23,5000
2026-06-28,3.23,3.23,3.22,3.22,18803
2026-06-29,3.23,3.24,3.23,3.23,5600
2026-06-30,3.23,3.23,3.23,3.23,20000
2026-07-01,3.22,3.23,3.22,3.23,13280
2026-07-02,3.23,3.23,3.23,3.23,20400
2026-07-05,3.23,3.23,3.23,3.23,0
2026-07-06,3.23,3.23,3.23,3.23,2075
2026-07-07,3.23,3.23,3.23,3.23,41580
2026-07-08,3.23,3.23,3.23,3.23,15100
2026-07-09,3.23,3.23,3.23,3.23,20000
2026-07-13,3.23,3.23,3.23,3.23,5200
2026-07-14,3.24,3.3,3.24,3.3,20000
2026-07-15,3.3,3.3,3.3,3.3,2500
2026-07-16,3.3,3.3,3.3,3.3,2500
