Date,Open,High,Low,Close,Volume
2026-01-20,0.497,0.497,0.497,0.497,200
2026-01-21,0.495,0.495,0.495,0.495,31450
2026-01-22,0.495,0.495,0.49,0.49,42573
2026-01-25,0.49,0.498,0.49,0.498,10406
2026-01-26,0.498,0.498,0.49,0.49,807
2026-01-27,0.489,0.494,0.489,0.494,1896
2026-01-28,0.496,0.496,0.496,0.496,340
2026-01-29,0.496,0.496,0.496,0.496,1750
2026-02-01,0.498,0.498,0.497,0.497,3461
2026-02-02,0.497,0.497,0.497,0.497,58
2026-02-03,0.496,0.496,0.496,0.496,700
2026-02-04,0.492,0.492,0.485,0.489,27712
2026-02-05,0.489,0.497,0.485,0.497,47709
2026-02-08,0.494,0.494,0.492,0.494,44758
2026-02-09,0.494,0.494,0.492,0.493,67276
2026-02-10,0.493,0.493,0.488,0.488,60520
2026-02-11,0.488,0.489,0.488,0.488,305346
2026-02-12,0.488,0.489,0.488,0.489,12450
2026-02-15,0.497,0.497,0.49,0.49,4736
2026-02-16,0.492,0.495,0.492,0.495,2490
2026-02-17,0.509,0.509,0.49,0.49,22036
2026-02-18,0.49,0.5,0.49,0.499,15999
2026-02-19,0.499,0.502,0.495,0.502,27698
2026-02-22,0.495,0.495,0.495,0.495,6507
2026-02-23,0.5,0.505,0.5,0.5,23977
2026-02-24,0.5,0.507,0.499,0.505,338077
2026-02-25,0.511,0.555,0.511,0.55,465033
2026-02-26,0.561,0.561,0.552,0.552,317389
2026-03-01,0.504,0.549,0.504,0.535,45080
2026-03-02,0.54,0.55,0.531,0.54,919296
2026-03-03,0.54,0.541,0.53,0.53,20027
2026-03-04,0.531,0.54,0.531,0.54,301101
2026-03-05,0.54,0.545,0.54,0.541,92025
2026-03-08,0.549,0.549,0.535,0.545,16401
2026-03-09,0.545,0.55,0.545,0.55,104594
2026-03-10,0.549,0.553,0.549,0.552,10588
2026-03-11,0.553,0.554,0.55,0.553,115610
2026-03-12,0.553,0.555,0.553,0.555,28251
2026-03-15,0.56,0.58,0.56,0.58,1814729
2026-03-16,0.58,0.599,0.58,0.58,228981
2026-03-17,0.585,0.59,0.58,0.585,90768
2026-03-18,0.588,0.6,0.587,0.6,318089
2026-03-24,0.6,0.605,0.6,0.605,25512
2026-03-25,0.605,0.605,0.6,0.603,81036
2026-03-26,0.603,0.605,0.6,0.605,106851
2026-03-29,0.545,0.565,0.545,0.565,132911
2026-03-30,0.57,0.57,0.545,0.555,7657
2026-03-31,0.545,0.545,0.535,0.535,27172
2026-04-01,0.535,0.539,0.535,0.539,11863
2026-04-02,0.539,0.54,0.539,0.54,4264
2026-04-05,0.54,0.55,0.537,0.55,6233
2026-04-06,0.54,0.549,0.54,0.54,17340
2026-04-07,0.55,0.55,0.54,0.545,1930
2026-04-08,0.55,0.55,0.54,0.54,3100
2026-04-09,0.545,0.545,0.54,0.54,9529
2026-04-12,0.54,0.54,0.54,0.54,0
2026-04-13,0.547,0.547,0.541,0.544,20393
2026-04-14,0.543,0.543,0.54,0.541,3467
2026-04-15,0.54,0.55,0.54,0.545,25880
2026-04-16,0.545,0.551,0.545,0.55,24381
2026-04-19,0.55,0.55,0.545,0.545,5530
2026-04-20,0.545,0.552,0.541,0.552,11579
2026-04-21,0.55,0.552,0.55,0.552,700
2026-04-22,0.552,0.552,0.545,0.552,31011
2026-04-23,0.546,0.552,0.545,0.545,500
2026-04-26,0.555,0.555,0.553,0.553,1843
2026-04-27,0.553,0.553,0.551,0.551,6001
2026-04-28,0.551,0.551,0.545,0.55,5401
2026-04-29,0.545,0.55,0.545,0.545,8044
2026-04-30,0.543,0.545,0.543,0.543,49112
2026-05-03,0.549,0.55,0.549,0.55,4425
2026-05-04,0.549,0.549,0.547,0.548,3169
2026-05-05,0.549,0.551,0.547,0.547,23523
2026-05-06,0.547,0.551,0.547,0.551,37596
2026-05-07,0.551,0.551,0.55,0.55,5600
2026-05-10,0.55,0.55,0.55,0.55,100
2026-05-11,0.549,0.549,0.549,0.549,421
2026-05-12,0.546,0.551,0.546,0.55,11124
2026-05-13,0.551,0.556,0.551,0.556,61400
2026-05-14,0.55,0.551,0.55,0.551,19006
2026-05-17,0.551,0.551,0.55,0.55,7800
2026-05-18,0.547,0.55,0.54,0.55,4630
2026-05-19,0.55,0.55,0.546,0.55,61327
2026-05-20,0.541,0.555,0.541,0.555,14390
2026-05-21,0.555,0.56,0.55,0.55,2674
2026-05-24,0.55,0.55,0.55,0.55,0
2026-05-25,0.56,0.56,0.55,0.55,4499
2026-05-31,0.545,0.55,0.545,0.55,1862
2026-06-01,0.556,0.556,0.547,0.547,274
2026-06-02,0.556,0.556,0.548,0.548,11643
2026-06-03,0.547,0.547,0.547,0.547,21500
2026-06-04,0.545,0.55,0.545,0.55,32034
2026-06-07,0.549,0.549,0.54,0.54,10157
2026-06-08,0.549,0.549,0.549,0.549,2000
2026-06-09,0.549,0.55,0.549,0.55,2007
2026-06-10,0.55,0.55,0.541,0.55,3540
2026-06-11,0.55,0.55,0.55,0.55,0
2026-06-14,0.55,0.55,0.55,0.55,0
2026-06-15,0.546,0.546,0.545,0.545,4500
2026-06-16,0.545,0.545,0.545,0.545,200
2026-06-17,0.543,0.543,0.543,0.543,1850
2026-06-21,0.54,0.54,0.54,0.54,5119
2026-06-22,0.54,0.54,0.54,0.54,7468
2026-06-23,0.54,0.54,0.54,0.54,50220
2026-06-24,0.535,0.535,0.535,0.535,4000
2026-06-25,0.54,0.55,0.54,0.55,18402
2026-06-28,0.545,0.55,0.545,0.55,15775
2026-06-29,0.55,0.555,0.55,0.555,143741
2026-06-30,0.556,0.57,0.556,0.57,39658
2026-07-01,0.563,0.57,0.563,0.564,4150
2026-07-02,0.564,0.564,0.564,0.564,0
2026-07-05,0.55,0.57,0.55,0.57,1600
2026-07-06,0.57,0.572,0.57,0.57,10387
2026-07-07,0.57,0.57,0.57,0.57,200
2026-07-08,0.55,0.57,0.55,0.57,1190
2026-07-09,0.557,0.611,0.55,0.611,1274
2026-07-13,0.611,0.611,0.611,0.611,0
2026-07-14,0.591,0.593,0.59,0.593,9369
2026-07-15,0.594,0.594,0.594,0.594,426
2026-07-16,0.591,0.591,0.59,0.591,1415
2026-07-19,0.591,0.591,0.591,0.591,0
2026-07-20,0.591,0.591,0.591,0.591,0
2026-07-21,0.575,0.575,0.57,0.57,4108
2026-07-22,0.574,0.574,0.574,0.574,200
