Date,Open,High,Low,Close,Volume
2026-05-03,1.55,1.55,1.55,1.55,2086
2026-05-04,1.55,1.55,1.55,1.55,0
2026-05-05,1.55,1.55,1.55,1.55,0
2026-05-06,1.55,1.55,1.55,1.55,0
2026-05-07,1.55,1.55,1.55,1.55,0
2026-05-10,1.55,1.55,1.55,1.55,0
2026-05-11,1.55,1.55,1.55,1.55,0
2026-05-12,1.56,1.56,1.55,1.55,1050
2026-05-13,1.55,1.55,1.55,1.55,0
2026-05-14,1.55,1.55,1.55,1.55,0
2026-05-17,1.55,1.55,1.55,1.55,0
2026-05-18,1.55,1.55,1.55,1.55,0
2026-05-19,1.55,1.55,1.55,1.55,0
2026-05-20,1.55,1.55,1.55,1.55,0
2026-05-21,1.55,1.55,1.55,1.55,0
2026-05-24,1.55,1.55,1.55,1.55,0
2026-05-25,1.55,1.55,1.55,1.55,0
2026-05-31,1.55,1.55,1.55,1.55,0
2026-06-01,1.55,1.55,1.55,1.55,0
2026-06-02,1.7,1.7,1.7,1.7,1000
2026-06-03,1.7,1.7,1.7,1.7,0
2026-06-04,1.7,1.7,1.7,1.7,0
2026-06-07,1.6,1.6,1.6,1.6,154
2026-06-08,1.6,1.6,1.6,1.6,0
2026-06-09,1.6,1.6,1.6,1.6,0
2026-06-10,1.6,1.6,1.6,1.6,0
2026-06-11,1.6,1.6,1.6,1.6,0
2026-06-14,1.6,1.6,1.6,1.6,0
2026-06-15,1.7,1.7,1.7,1.7,156
2026-06-16,1.7,1.7,1.7,1.7,0
2026-06-17,1.7,1.7,1.7,1.7,0
2026-06-21,1.7,1.7,1.7,1.7,0
2026-06-22,1.8,1.8,1.8,1.8,1000
2026-06-23,1.8,1.8,1.8,1.8,0
2026-06-24,1.85,1.85,1.8,1.8,1550
2026-06-25,1.8,1.8,1.8,1.8,0
2026-06-28,1.8,1.8,1.8,1.8,100
2026-06-29,1.8,1.8,1.8,1.8,0
2026-06-30,1.8,1.8,1.8,1.8,0
2026-07-01,1.8,1.8,1.8,1.8,0
2026-07-02,1.8,1.8,1.8,1.8,0
2026-07-05,1.8,1.8,1.8,1.8,0
2026-07-06,1.8,1.8,1.8,1.8,0
2026-07-07,1.8,1.8,1.8,1.8,0
2026-07-08,1.8,1.8,1.8,1.8,0
2026-07-09,1.8,1.8,1.8,1.8,0
2026-07-13,1.8,1.8,1.8,1.8,0
2026-07-14,1.8,1.8,1.8,1.8,0
2026-07-15,1.85,1.85,1.85,1.85,1000
2026-07-16,1.85,1.85,1.85,1.85,0
