"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","0.561","0.589","0.590","0.561","5.00K","-3.77%"
"07/15/2026","0.583","0.583","0.583","0.583","16.41K","0.00%"
"07/14/2026","0.583","0.583","0.583","0.583","17.09K","0.00%"
"07/13/2026","0.583","0.589","0.589","0.583","2.42K","3.19%"
"07/09/2026","0.565","0.565","0.565","0.565","","0.00%"
"07/08/2026","0.565","0.565","0.565","0.565","","0.00%"
"07/07/2026","0.565","0.565","0.565","0.565","","0.00%"
"07/06/2026","0.565","0.560","0.565","0.560","2.51K","0.89%"
"07/05/2026","0.560","0.560","0.560","0.560","2.20K","1.08%"
"07/02/2026","0.554","0.554","0.554","0.554","","0.00%"
"07/01/2026","0.554","0.554","0.554","0.554","","0.00%"
"06/30/2026","0.554","0.554","0.554","0.554","0.38K","0.36%"
"06/29/2026","0.552","0.552","0.552","0.552","20.50K","-0.54%"
"06/28/2026","0.555","0.555","0.555","0.555","2.50K","-1.25%"
"06/25/2026","0.562","0.562","0.562","0.562","","0.00%"
"06/24/2026","0.562","0.562","0.562","0.562","","0.00%"
"06/23/2026","0.562","0.562","0.562","0.562","3.50K","1.81%"
"06/22/2026","0.552","0.552","0.552","0.552","","0.00%"
"06/21/2026","0.552","0.547","0.552","0.547","22.04K","1.28%"
"06/17/2026","0.545","0.545","0.545","0.545","","0.00%"
"06/16/2026","0.545","0.545","0.545","0.545","5.00K","0.00%"
"06/15/2026","0.545","0.545","0.545","0.545","6.45K","0.00%"
"06/14/2026","0.545","0.548","0.548","0.545","4.14K","-0.55%"
"06/11/2026","0.548","0.548","0.548","0.548","","0.00%"
"06/10/2026","0.548","0.548","0.548","0.548","0.03K","0.00%"
"06/09/2026","0.548","0.551","0.551","0.548","13.95K","-0.54%"
"06/08/2026","0.551","0.548","0.551","0.548","78.27K","0.55%"
"06/07/2026","0.548","0.548","0.548","0.548","55.45K","0.00%"
"06/04/2026","0.548","0.550","0.550","0.548","7.70K","-0.72%"
"06/03/2026","0.552","0.552","0.552","0.552","","0.00%"
"06/02/2026","0.552","0.552","0.552","0.552","2.00K","0.73%"
"06/01/2026","0.548","0.548","0.548","0.548","1.10K","0.00%"
"05/31/2026","0.548","0.550","0.550","0.548","12.09K","0.00%"
"05/25/2026","0.548","0.548","0.548","0.548","22.15K","0.00%"
"05/24/2026","0.548","0.548","0.548","0.548","100.00K","0.00%"
"05/21/2026","0.548","0.535","0.548","0.535","28.35K","4.38%"
"05/20/2026","0.525","0.535","0.535","0.525","18.25K","-3.31%"
"05/19/2026","0.543","0.543","0.545","0.543","8.19K","0.56%"
"05/18/2026","0.540","0.585","0.585","0.540","2.70K","-0.92%"
"05/17/2026","0.545","0.545","0.545","0.545","7.44K","0.00%"
"05/14/2026","0.545","0.550","0.550","0.541","12.25K","-2.68%"
"05/13/2026","0.560","0.590","0.590","0.560","9.39K","-0.88%"
"05/12/2026","0.565","0.565","0.565","0.565","","0.00%"
"05/11/2026","0.565","0.565","0.565","0.565","","0.00%"
"05/10/2026","0.565","0.565","0.565","0.565","0.27K","0.00%"
"05/07/2026","0.565","0.565","0.565","0.565","2.70K","-5.04%"
"05/06/2026","0.595","0.595","0.595","0.595","0.30K","1.88%"
"05/05/2026","0.584","0.584","0.584","0.584","43.31K","0.00%"
"05/04/2026","0.584","0.579","0.584","0.579","126.50K","1.04%"
"05/03/2026","0.578","0.578","0.599","0.578","25.30K","0.00%"
"04/30/2026","0.578","0.578","0.578","0.578","","0.00%"
"04/29/2026","0.578","0.578","0.578","0.578","4.20K","1.40%"
"04/28/2026","0.570","0.578","0.578","0.570","8.86K","-2.90%"
"04/27/2026","0.587","0.587","0.587","0.587","","0.00%"
"04/26/2026","0.587","0.587","0.587","0.587","","0.00%"
"04/23/2026","0.587","0.585","0.587","0.585","1.55K","2.09%"
"04/22/2026","0.575","0.550","0.575","0.550","7.91K","4.55%"
"04/21/2026","0.550","0.550","0.550","0.550","4.34K","0.00%"
"04/20/2026","0.550","0.547","0.575","0.547","66.89K","0.00%"
"04/19/2026","0.550","0.545","0.550","0.545","10.00K","1.85%"
"04/16/2026","0.540","0.522","0.547","0.522","55.78K","6.93%"
"04/15/2026","0.505","0.500","0.511","0.499","16.30K","1.20%"
"04/14/2026","0.499","0.500","0.500","0.499","0.91K","-4.41%"
"04/13/2026","0.522","0.501","0.522","0.501","0.85K","4.40%"
"04/12/2026","0.500","0.500","0.500","0.500","0.62K","0.00%"
