Date,Open,High,Low,Close,Volume
2026-01-20,0.4571,0.4571,0.4571,0.4571,3307
2026-01-21,0.4667,0.4667,0.4667,0.4667,525
2026-01-22,0.4667,0.4667,0.4667,0.4667,0
2026-01-25,0.4667,0.4667,0.4619,0.4648,4756
2026-01-26,0.4629,0.4629,0.4629,0.4629,829
2026-01-27,0.4629,0.4648,0.4629,0.4629,1365
2026-01-28,0.4657,0.4657,0.4657,0.4657,1050
2026-01-29,0.4657,0.4714,0.4629,0.4714,6156
2026-02-01,0.4714,0.4714,0.4686,0.4686,1774
2026-02-02,0.4686,0.4686,0.4686,0.4686,0
2026-02-03,0.4667,0.4667,0.4667,0.4686,2100
2026-02-04,0.4714,0.4714,0.4714,0.4714,525
2026-02-05,0.4667,0.4667,0.4667,0.4667,1422
2026-02-08,0.4648,0.4648,0.4629,0.4629,2442
2026-02-09,0.4619,0.4629,0.461,0.461,9378
2026-02-10,0.461,0.461,0.461,0.461,1323
2026-02-11,0.4638,0.4638,0.4638,0.4638,1050
2026-02-12,0.4667,0.4705,0.4667,0.4705,9333
2026-02-15,0.4724,0.4724,0.4714,0.4714,5512
2026-02-16,0.4733,0.4733,0.4705,0.4705,13130
2026-02-17,0.4752,0.4762,0.4752,0.4752,18208
2026-02-18,0.4752,0.4771,0.4752,0.4771,7656
2026-02-19,0.4771,0.4781,0.4771,0.4781,12278
2026-02-22,0.4771,0.4781,0.4771,0.4781,134295
2026-02-23,0.4781,0.4781,0.4781,0.4781,55237
2026-02-24,0.4933,0.4933,0.4829,0.4829,119175
2026-02-25,0.48,0.48,0.48,0.48,510
2026-02-26,0.481,0.481,0.481,0.481,3150
2026-03-01,0.48,0.4857,0.48,0.4857,81320
2026-03-02,0.4857,0.4857,0.4781,0.4857,52500
2026-03-03,0.4952,0.4952,0.4857,0.4952,8955
2026-03-04,0.4905,0.4933,0.4905,0.4933,25248
2026-03-05,0.4905,0.4905,0.4905,0.4905,24150
2026-03-08,0.4819,0.4952,0.4819,0.4952,13672
2026-03-09,0.4962,0.4962,0.4952,0.4952,22460
2026-03-10,0.4952,0.4952,0.4952,0.4952,6636
2026-03-11,0.4952,0.4952,0.4933,0.4952,12238
2026-03-12,0.4952,0.4981,0.4952,0.4981,11220
2026-03-15,0.4952,0.5048,0.4952,0.5048,10290
2026-03-16,0.5048,0.5048,0.5048,0.5048,8213
2026-03-17,0.5048,0.5171,0.5048,0.5171,80430
2026-03-18,0.5162,0.5162,0.5143,0.5143,23551
2026-03-24,0.5238,0.5238,0.5143,0.5143,1680
2026-03-25,0.5238,0.5362,0.5238,0.5362,5355
2026-03-26,0.5362,0.5362,0.5362,0.5362,2625
2026-03-29,0.5333,0.5381,0.5276,0.5371,7791
2026-03-30,0.5381,0.5381,0.5352,0.5371,13052
2026-03-31,0.54,0.54,0.528,0.53,13625
2026-04-01,0.53,0.53,0.53,0.53,0
2026-04-02,0.524,0.524,0.524,0.524,3475
2026-04-05,0.504,0.504,0.493,0.5,2000
2026-04-06,0.5,0.5,0.5,0.5,500
2026-04-07,0.52,0.52,0.518,0.518,10500
2026-04-08,0.519,0.519,0.501,0.519,1153
2026-04-09,0.521,0.522,0.5,0.5,2631
2026-04-12,0.5,0.5,0.5,0.5,615
2026-04-13,0.501,0.522,0.501,0.522,850
2026-04-14,0.5,0.5,0.499,0.499,913
2026-04-15,0.5,0.511,0.499,0.505,16303
2026-04-16,0.522,0.547,0.522,0.54,55778
2026-04-19,0.545,0.55,0.545,0.55,10000
2026-04-20,0.547,0.575,0.547,0.55,66887
2026-04-21,0.55,0.55,0.55,0.55,4338
2026-04-22,0.55,0.575,0.55,0.575,2662
2026-04-23,0.585,0.587,0.585,0.587,1550
2026-04-26,0.587,0.587,0.587,0.587,0
2026-04-27,0.587,0.587,0.587,0.587,0
2026-04-28,0.578,0.578,0.57,0.57,8857
2026-04-29,0.578,0.578,0.578,0.578,4200
2026-04-30,0.578,0.578,0.578,0.578,0
2026-05-03,0.578,0.599,0.578,0.578,25302
2026-05-04,0.579,0.584,0.579,0.584,126502
2026-05-05,0.584,0.584,0.584,0.584,43306
2026-05-06,0.595,0.595,0.595,0.595,300
2026-05-07,0.565,0.565,0.565,0.565,2700
2026-05-10,0.565,0.565,0.565,0.565,269
2026-05-11,0.565,0.565,0.565,0.565,0
2026-05-12,0.565,0.565,0.565,0.565,0
2026-05-13,0.59,0.59,0.56,0.56,9388
2026-05-14,0.55,0.55,0.541,0.545,12250
2026-05-17,0.545,0.545,0.545,0.545,7441
2026-05-18,0.585,0.585,0.54,0.54,2699
2026-05-19,0.543,0.545,0.543,0.543,8185
2026-05-20,0.535,0.535,0.525,0.525,18249
2026-05-21,0.535,0.548,0.535,0.548,28353
2026-05-24,0.548,0.548,0.548,0.548,100000
2026-05-25,0.548,0.548,0.548,0.548,22146
2026-05-31,0.55,0.55,0.548,0.548,12087
2026-06-01,0.548,0.548,0.548,0.548,1100
2026-06-02,0.552,0.552,0.552,0.552,2000
2026-06-03,0.552,0.552,0.552,0.552,0
2026-06-04,0.55,0.55,0.548,0.548,7700
2026-06-07,0.548,0.548,0.548,0.548,55447
2026-06-08,0.548,0.551,0.548,0.551,78274
2026-06-09,0.551,0.551,0.548,0.548,13952
2026-06-10,0.548,0.548,0.548,0.548,25
2026-06-11,0.548,0.548,0.548,0.548,0
2026-06-14,0.548,0.548,0.545,0.545,4139
2026-06-15,0.545,0.545,0.545,0.545,6449
2026-06-16,0.545,0.545,0.545,0.545,5000
2026-06-17,0.545,0.545,0.545,0.545,0
2026-06-21,0.547,0.552,0.547,0.552,22035
2026-06-22,0.552,0.552,0.552,0.552,0
2026-06-23,0.562,0.562,0.562,0.562,3500
2026-06-24,0.562,0.562,0.562,0.562,0
2026-06-25,0.562,0.562,0.562,0.562,0
2026-06-28,0.555,0.555,0.555,0.555,2500
2026-06-29,0.552,0.552,0.552,0.552,20500
2026-06-30,0.554,0.554,0.554,0.554,375
2026-07-01,0.554,0.554,0.554,0.554,0
2026-07-02,0.554,0.554,0.554,0.554,0
2026-07-05,0.56,0.56,0.56,0.56,2200
2026-07-06,0.56,0.565,0.56,0.565,2510
2026-07-07,0.565,0.565,0.565,0.565,0
2026-07-08,0.565,0.565,0.565,0.565,0
2026-07-09,0.565,0.565,0.565,0.565,0
2026-07-13,0.589,0.589,0.583,0.583,2418
2026-07-14,0.583,0.583,0.583,0.583,17089
2026-07-15,0.583,0.583,0.583,0.583,16406
2026-07-16,0.589,0.59,0.561,0.561,5002
2026-07-19,0.561,0.561,0.561,0.561,0
2026-07-20,0.582,0.582,0.56,0.56,31150
2026-07-21,0.56,0.565,0.56,0.56,445423
2026-07-22,0.56,0.56,0.56,0.56,0
