Date,Open,High,Low,Close,Volume
2026-07-09,0.195,0.202,0.193,0.193,54958322
2026-07-12,0.193,0.194,0.19,0.193,11030119
2026-07-13,0.194,0.196,0.193,0.194,11638816
2026-07-14,0.193,0.194,0.191,0.193,8572932
2026-07-15,0.194,0.195,0.191,0.191,14961563
2026-07-16,0.191,0.193,0.191,0.193,9584993
2026-07-19,0.193,0.193,0.186,0.19,11597784
2026-07-20,0.19,0.19,0.185,0.188,17353728
2026-07-21,0.187,0.188,0.184,0.185,16915291
2026-07-22,0.185,0.188,0.185,0.187,11671727
2026-07-23,0.187,0.191,0.187,0.19,20167136
2026-07-26,0.19,0.19,0.187,0.189,2076636
2026-07-27,0.189,0.189,0.186,0.187,5618516
2026-07-28,0.188,0.191,0.187,0.187,13336203
2026-07-29,0.188,0.19,0.188,0.189,11378929
2026-07-30,0.189,0.189,0.187,0.189,6822963
2026-08-02,0.189,0.19,0.188,0.19,3827030
2026-08-03,0.19,0.191,0.189,0.19,7395898
2026-08-04,0.19,0.195,0.19,0.193,7132363
2026-08-05,0.193,0.195,0.193,0.194,7053377
2026-08-06,0.194,0.196,0.193,0.195,11418910
2026-08-09,0.195,0.196,0.194,0.195,3773922
2026-08-10,0.195,0.199,0.195,0.197,14707662
2026-08-11,0.198,0.203,0.198,0.199,12216657
2026-08-12,0.199,0.2,0.198,0.2,1704135
2026-08-13,0.198,0.2,0.198,0.2,2842009
2026-08-16,0.2,0.203,0.2,0.202,6240108
2026-08-17,0.202,0.205,0.2,0.204,10491273
2026-08-18,0.204,0.206,0.204,0.204,11925051
2026-08-19,0.205,0.206,0.204,0.204,6063081
2026-08-20,0.204,0.205,0.201,0.204,8821562
2026-08-23,0.203,0.205,0.203,0.203,3347843
2026-08-24,0.203,0.203,0.201,0.201,3595703
2026-08-25,0.202,0.204,0.2,0.203,4978139
2026-08-26,0.203,0.205,0.203,0.204,4221882
2026-08-30,0.203,0.205,0.203,0.205,9770299
2026-08-31,0.204,0.205,0.204,0.204,10019424
2026-09-01,0.204,0.208,0.204,0.207,15956010
