"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","0.380","0.380","0.380","0.380","2.37K","-0.52%"
"07/15/2026","0.382","0.381","0.382","0.375","46.73K","1.87%"
"07/14/2026","0.375","0.379","0.379","0.375","1.59K","-1.83%"
"07/13/2026","0.382","0.380","0.382","0.380","67.00K","2.41%"
"07/12/2026","0.373","0.373","0.373","0.373","0.60K","0.81%"
"07/09/2026","0.370","0.383","0.385","0.366","155.09K","-3.39%"
"07/08/2026","0.383","0.381","0.383","0.381","7.03K","0.52%"
"07/07/2026","0.381","0.381","0.381","0.381","1.28K","-0.52%"
"07/06/2026","0.383","0.381","0.383","0.381","76.54K","0.52%"
"07/05/2026","0.381","0.381","0.382","0.381","81.34K","-0.26%"
"07/02/2026","0.382","0.381","0.382","0.381","27.52K","0.26%"
"07/01/2026","0.381","0.382","0.382","0.371","76.00K","0.26%"
"06/30/2026","0.380","0.374","0.380","0.365","145.00K","2.70%"
"06/29/2026","0.370","0.370","0.370","0.370","","0.00%"
"06/28/2026","0.370","0.370","0.370","0.370","5.62K","0.00%"
"06/25/2026","0.370","0.365","0.370","0.365","2.60K","-0.54%"
"06/24/2026","0.372","0.367","0.373","0.367","302.96K","-0.27%"
"06/23/2026","0.373","0.368","0.373","0.360","38.76K","1.36%"
"06/22/2026","0.368","0.370","0.370","0.368","33.64K","0.00%"
"06/21/2026","0.368","0.373","0.373","0.368","8.25K","-1.08%"
"06/17/2026","0.372","0.370","0.372","0.368","48.09K","0.00%"
"06/16/2026","0.372","0.370","0.372","0.370","112.54K","0.00%"
"06/15/2026","0.372","0.373","0.373","0.370","56.49K","-0.27%"
"06/14/2026","0.373","0.370","0.373","0.368","20.66K","0.81%"
"06/11/2026","0.370","0.373","0.373","0.370","199.58K","-0.80%"
"06/10/2026","0.373","0.368","0.373","0.368","164.69K","0.81%"
"06/09/2026","0.370","0.370","0.371","0.370","213.51K","0.82%"
"06/08/2026","0.367","0.366","0.370","0.365","551.00K","-1.08%"
"06/07/2026","0.371","0.361","0.371","0.355","132.62K","0.54%"
"06/04/2026","0.369","0.369","0.371","0.365","30.45K","2.50%"
"06/03/2026","0.360","0.361","0.365","0.360","149.88K","-2.17%"
"06/02/2026","0.368","0.365","0.370","0.362","184.26K","0.27%"
"06/01/2026","0.367","0.368","0.381","0.362","46.48K","0.82%"
"05/31/2026","0.364","0.364","0.364","0.361","37.27K","-1.36%"
"05/25/2026","0.369","0.369","0.369","0.364","34.86K","0.27%"
"05/24/2026","0.368","0.363","0.368","0.363","446.74K","1.66%"
"05/21/2026","0.362","0.350","0.362","0.350","1.08M","4.62%"
"05/20/2026","0.346","0.355","0.355","0.340","258.39K","-2.54%"
"05/19/2026","0.355","0.362","0.369","0.355","12.80M","-1.93%"
"05/18/2026","0.362","0.368","0.369","0.362","275.91K","-3.21%"
"05/17/2026","0.374","0.375","0.375","0.370","274.38K","-0.27%"
"05/14/2026","0.375","0.375","0.379","0.370","359.10K","-1.57%"
"05/13/2026","0.381","0.385","0.385","0.380","135.91K","-1.04%"
"05/12/2026","0.385","0.388","0.388","0.385","41.95K","-2.04%"
"05/11/2026","0.393","0.393","0.393","0.393","","0.00%"
"05/10/2026","0.393","0.393","0.393","0.393","0.20K","-0.25%"
"05/07/2026","0.394","0.392","0.394","0.392","550.52K","0.25%"
"05/06/2026","0.393","0.390","0.394","0.386","1.99M","0.77%"
"05/05/2026","0.390","0.386","0.390","0.386","657.17K","0.00%"
"05/04/2026","0.390","0.389","0.390","0.387","211.80K","0.00%"
"05/03/2026","0.390","0.390","0.390","0.390","4.91K","0.00%"
"04/30/2026","0.390","0.390","0.390","0.385","175.18K","0.00%"
"04/29/2026","0.390","0.383","0.390","0.383","50.96K","0.00%"
"04/28/2026","0.390","0.385","0.393","0.385","953.10K","1.56%"
"04/27/2026","0.384","0.383","0.384","0.383","67.00K","-0.26%"
"04/26/2026","0.385","0.388","0.388","0.383","75.25K","-0.77%"
"04/23/2026","0.388","0.381","0.388","0.381","1.01M","1.31%"
"04/22/2026","0.383","0.383","0.384","0.383","88.46K","0.00%"
"04/21/2026","0.383","0.389","0.389","0.380","48.22K","-2.05%"
"04/20/2026","0.391","0.390","0.391","0.388","12.72K","0.26%"
"04/19/2026","0.390","0.394","0.394","0.390","51.42K","-1.02%"
"04/16/2026","0.394","0.391","0.403","0.384","970.92K","1.29%"
"04/15/2026","0.389","0.384","0.390","0.380","292.61K","1.04%"
"04/14/2026","0.385","0.382","0.388","0.379","331.89K","0.79%"
"04/13/2026","0.382","0.384","0.384","0.379","102.93K","0.79%"
"04/12/2026","0.379","0.383","0.383","0.379","66.24K","-1.56%"
"04/09/2026","0.385","0.388","0.388","0.372","73.25K","-1.03%"
"04/08/2026","0.389","0.390","0.390","0.371","5.20K","0.00%"
"04/07/2026","0.389","0.370","0.390","0.370","56.85K","-0.77%"
"04/06/2026","0.392","0.392","0.392","0.361","17.85K","0.26%"
"04/05/2026","0.391","0.394","0.394","0.390","28.46K","-0.76%"
"04/02/2026","0.394","0.391","0.395","0.390","106.04K","-0.25%"
"04/01/2026","0.395","0.365","0.395","0.365","317.21K","-1.25%"
"03/31/2026","0.400","0.383","0.408","0.383","2.22M","5.03%"
"03/30/2026","0.381","0.370","0.381","0.370","1.59M","2.70%"
"03/29/2026","0.371","0.371","0.375","0.367","199.51K","0.00%"
"03/26/2026","0.371","0.367","0.375","0.367","23.29M","1.14%"
"03/25/2026","0.367","0.363","0.371","0.363","308.85K","-15.71%"
"03/24/2026","0.435","0.420","0.436","0.420","317.67K","3.82%"
"03/18/2026","0.419","0.410","0.419","0.410","46.93M","2.20%"
"03/17/2026","0.410","0.410","0.410","0.404","327.11K","0.00%"
"03/16/2026","0.410","0.417","0.417","0.410","42.19M","-1.68%"
"03/15/2026","0.417","0.416","0.418","0.415","99.38M","0.48%"
"03/12/2026","0.415","0.410","0.418","0.408","152.35K","1.22%"
"03/11/2026","0.410","0.409","0.410","0.405","1.12M","1.23%"
"03/10/2026","0.405","0.406","0.406","0.400","300.85K","0.75%"
"03/09/2026","0.402","0.406","0.406","0.400","432.27K","-1.23%"
"03/08/2026","0.407","0.406","0.409","0.406","172.90K","0.25%"
"03/05/2026","0.406","0.396","0.410","0.396","587.89K","2.27%"
"03/04/2026","0.397","0.395","0.397","0.393","132.67K","-0.50%"
"03/03/2026","0.399","0.398","0.399","0.396","180.69K","0.00%"
"03/02/2026","0.399","0.390","0.400","0.389","322.44K","3.10%"
"03/01/2026","0.387","0.390","0.390","0.360","673.46K","-2.76%"
"02/26/2026","0.398","0.400","0.400","0.398","97.82K","-0.50%"
"02/25/2026","0.400","0.402","0.402","0.398","283.74K","0.00%"
"02/24/2026","0.400","0.398","0.400","0.396","216.15K","0.50%"
"02/23/2026","0.398","0.403","0.404","0.398","50.38K","-1.49%"
"02/22/2026","0.404","0.410","0.412","0.402","160.20K","-1.22%"
"02/19/2026","0.409","0.410","0.415","0.404","320.91K","1.74%"
"02/18/2026","0.402","0.403","0.406","0.400","127.36K","-0.50%"
"02/17/2026","0.404","0.403","0.409","0.403","133.23K","-0.49%"
"02/16/2026","0.406","0.405","0.410","0.405","128.22K","0.74%"
"02/15/2026","0.403","0.419","0.419","0.403","55.72K","-1.71%"
"02/12/2026","0.410","0.400","0.410","0.390","390.81K","3.02%"
"02/11/2026","0.398","0.395","0.400","0.395","338.04K","0.76%"
"02/10/2026","0.395","0.390","0.395","0.390","286.54K","1.54%"
"02/09/2026","0.389","0.378","0.390","0.378","588.39K","3.18%"
"02/08/2026","0.377","0.374","0.378","0.374","364.58K","1.07%"
"02/05/2026","0.373","0.369","0.374","0.369","473.33K","0.81%"
"02/04/2026","0.370","0.360","0.370","0.358","968.57K","3.35%"
"02/03/2026","0.358","0.358","0.364","0.358","316.95K","0.28%"
"02/02/2026","0.357","0.359","0.359","0.357","42.65K","-2.19%"
"02/01/2026","0.365","0.366","0.366","0.360","56.20K","-0.82%"
"01/29/2026","0.368","0.367","0.370","0.362","236.76K","0.55%"
"01/28/2026","0.366","0.359","0.370","0.359","1.65M","1.67%"
"01/27/2026","0.360","0.362","0.362","0.360","193.49K","0.00%"
"01/26/2026","0.360","0.365","0.365","0.359","33.22K","0.00%"
"01/25/2026","0.360","0.370","0.370","0.360","30.99K","-2.17%"
"01/22/2026","0.368","0.358","0.375","0.358","222.70K","4.55%"
"01/21/2026","0.352","0.358","0.358","0.345","210.60K","-2.22%"
"01/20/2026","0.360","0.359","0.360","0.359","97.51K","0.56%"
"01/19/2026","0.358","0.362","0.374","0.340","53.13K","-0.56%"
"01/14/2026","0.360","0.360","0.360","0.355","65.29K","0.00%"
"01/13/2026","0.360","0.360","0.360","0.358","3.95K","0.00%"
"01/12/2026","0.360","0.355","0.362","0.355","25.62K","1.41%"
"01/11/2026","0.355","0.355","0.360","0.352","43.92K","-5.33%"
"01/08/2026","0.375","0.345","0.375","0.345","307.78K","9.65%"
"01/07/2026","0.342","0.335","0.346","0.335","454.50K","2.40%"
"01/06/2026","0.334","0.335","0.335","0.333","1.04M","0.00%"
"01/05/2026","0.334","0.335","0.335","0.334","59.49K","0.60%"
"01/04/2026","0.332","0.330","0.332","0.330","11.61K","0.00%"
"01/01/2026","0.332","0.331","0.334","0.331","43.30K","0.30%"
"12/31/2025","0.331","0.324","0.331","0.324","4.00K","-0.90%"
"12/30/2025","0.334","0.331","0.335","0.331","296.89K","-0.60%"
"12/29/2025","0.336","0.336","0.336","0.336","","0.00%"
"12/28/2025","0.336","0.336","0.337","0.336","18.59K","-1.18%"
"12/25/2025","0.340","0.340","0.340","0.340","","0.00%"
"12/24/2025","0.340","0.340","0.340","0.340","","0.00%"
"12/23/2025","0.340","0.320","0.340","0.320","311.50K","4.62%"
"12/22/2025","0.325","0.332","0.334","0.325","2.08K","-2.11%"
"12/21/2025","0.332","0.326","0.332","0.326","365.52K","1.84%"
"12/18/2025","0.326","0.330","0.330","0.326","129.00K","-1.81%"
"12/17/2025","0.332","0.332","0.332","0.330","93.98K","0.00%"
"12/16/2025","0.332","0.332","0.332","0.332","30.00K","0.00%"
"12/15/2025","0.332","0.333","0.333","0.332","198.61K","-0.30%"
"12/14/2025","0.333","0.332","0.333","0.332","10.02K","0.00%"
"12/11/2025","0.333","0.333","0.333","0.333","6.00K","0.00%"
"12/10/2025","0.333","0.335","0.335","0.332","60.00K","0.30%"
"12/09/2025","0.332","0.333","0.337","0.332","86.75K","-1.48%"
"12/08/2025","0.337","0.331","0.337","0.331","80.32K","2.12%"
"12/07/2025","0.330","0.330","0.331","0.330","97.17K","0.00%"
"12/04/2025","0.330","0.324","0.330","0.324","272.47K","1.54%"
"12/03/2025","0.325","0.320","0.327","0.318","129.23K","1.88%"
"12/02/2025","0.319","0.317","0.320","0.317","42.37K","0.63%"
"12/01/2025","0.317","0.315","0.317","0.315","6.99K","0.63%"
"11/30/2025","0.315","0.315","0.317","0.310","55.07K","0.00%"
"11/25/2025","0.315","0.317","0.317","0.310","1.14M","-0.94%"
"11/24/2025","0.318","0.304","0.318","0.304","448.76K","4.95%"
"11/23/2025","0.303","0.302","0.307","0.302","76.76K","0.66%"
"11/20/2025","0.301","0.301","0.302","0.301","23.83K","0.33%"
"11/19/2025","0.300","0.305","0.306","0.300","62.64K","-2.28%"
"11/18/2025","0.307","0.307","0.309","0.307","7.50K","-2.23%"
"11/17/2025","0.314","0.310","0.314","0.308","1.39K","1.29%"
"11/16/2025","0.310","0.310","0.311","0.308","61.70K","-0.32%"
"11/13/2025","0.311","0.309","0.311","0.309","7.28K","-0.96%"
"11/12/2025","0.314","0.316","0.316","0.310","53.63K","-0.63%"
"11/11/2025","0.316","0.310","0.316","0.310","12.75K","1.94%"
"11/10/2025","0.310","0.312","0.316","0.310","429.81K","-0.32%"
"11/09/2025","0.311","0.313","0.313","0.311","14.20K","-0.96%"
"11/06/2025","0.314","0.312","0.314","0.312","64.98K","-0.63%"
"11/05/2025","0.316","0.316","0.320","0.315","102.14K","-3.95%"
"11/04/2025","0.329","0.330","0.330","0.328","178.36K","-0.30%"
"11/03/2025","0.330","0.309","0.330","0.305","1.95M","10.00%"
"11/02/2025","0.300","0.312","0.312","0.298","20.35K","-3.85%"
"10/30/2025","0.312","0.290","0.314","0.290","1.70M","9.09%"
"10/29/2025","0.286","0.283","0.287","0.283","227.23K","2.14%"
"10/28/2025","0.280","0.273","0.283","0.273","109.25M","3.70%"
"10/27/2025","0.270","0.273","0.273","0.270","44.48K","-1.82%"
"10/26/2025","0.275","0.270","0.280","0.270","34.65K","-1.08%"
