Date,Open,High,Low,Close,Volume
2026-05-04,0.39,0.39,0.39,0.39,211800
2026-05-05,0.39,0.39,0.39,0.39,657173
2026-05-06,0.39,0.39,0.39,0.39,1992272
2026-05-07,0.39,0.39,0.39,0.39,550521
2026-05-10,0.39,0.39,0.39,0.39,200
2026-05-11,0.39,0.39,0.39,0.39,0
2026-05-12,0.39,0.39,0.39,0.39,41951
2026-05-13,0.39,0.39,0.38,0.38,135910
2026-05-14,0.38,0.38,0.37,0.38,359099
2026-05-17,0.38,0.38,0.37,0.37,274382
2026-05-18,0.37,0.37,0.36,0.36,275906
2026-05-19,0.36,0.37,0.36,0.36,12804870
2026-05-20,0.36,0.36,0.34,0.35,258390
2026-05-21,0.35,0.36,0.35,0.36,1078300
2026-05-24,0.36,0.37,0.36,0.37,446740
2026-05-25,0.37,0.37,0.36,0.37,34856
2026-05-31,0.36,0.36,0.36,0.36,37270
2026-06-01,0.37,0.38,0.36,0.37,46479
2026-06-02,0.37,0.37,0.36,0.37,184263
2026-06-03,0.36,0.37,0.36,0.36,149879
2026-06-04,0.37,0.37,0.37,0.37,30447
2026-06-07,0.36,0.37,0.36,0.37,132618
2026-06-08,0.37,0.37,0.37,0.37,550996
2026-06-09,0.37,0.37,0.37,0.37,213510
2026-06-10,0.37,0.37,0.37,0.37,164692
2026-06-11,0.37,0.37,0.37,0.37,199580
2026-06-14,0.37,0.37,0.37,0.37,20656
2026-06-15,0.37,0.37,0.37,0.37,56491
2026-06-16,0.37,0.37,0.37,0.37,112535
2026-06-17,0.37,0.37,0.37,0.37,48093
2026-06-21,0.37,0.37,0.37,0.37,8245
2026-06-22,0.37,0.37,0.37,0.37,33639
2026-06-23,0.37,0.37,0.36,0.37,38756
2026-06-24,0.37,0.37,0.37,0.37,302963
2026-06-25,0.37,0.37,0.37,0.37,2600
2026-06-28,0.37,0.37,0.37,0.37,5619
2026-06-29,0.37,0.37,0.37,0.37,0
2026-06-30,0.37,0.38,0.37,0.38,145000
2026-07-01,0.38,0.38,0.37,0.38,75998
2026-07-02,0.38,0.38,0.38,0.38,27518
2026-07-05,0.38,0.38,0.38,0.38,81340
2026-07-06,0.38,0.38,0.38,0.38,76538
2026-07-07,0.38,0.38,0.38,0.38,1283
2026-07-08,0.38,0.38,0.38,0.38,7033
2026-07-09,0.38,0.39,0.37,0.37,155092
2026-07-12,0.37,0.37,0.37,0.37,600
2026-07-13,0.38,0.38,0.38,0.38,67000
2026-07-14,0.38,0.38,0.38,0.38,1588
2026-07-15,0.38,0.38,0.38,0.38,46733
2026-07-16,0.38,0.38,0.38,0.38,2372
