"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","1.205","1.205","1.205","1.205","0.50K","0.42%"
"07/15/2026","1.200","1.200","1.205","1.200","9.50K","9.49%"
"07/14/2026","1.096","1.096","1.096","1.096","","0.00%"
"07/13/2026","1.096","1.096","1.096","1.096","","0.00%"
"07/09/2026","1.096","1.096","1.096","1.096","55.65K","0.46%"
"07/08/2026","1.091","1.091","1.091","1.091","","0.00%"
"07/07/2026","1.091","1.091","1.091","1.091","","0.00%"
"07/06/2026","1.091","1.091","1.091","1.091","6.06K","0.00%"
"07/05/2026","1.091","1.091","1.091","1.091","","0.00%"
"07/02/2026","1.091","1.091","1.091","1.091","0.09K","-0.73%"
"07/01/2026","1.099","1.100","1.100","1.099","4.40K","1.76%"
"06/30/2026","1.080","1.080","1.080","1.080","","0.00%"
"06/29/2026","1.080","1.080","1.080","1.080","","0.00%"
"06/28/2026","1.080","1.080","1.080","1.080","0.84K","0.00%"
"06/25/2026","1.080","1.080","1.080","1.080","","0.00%"
"06/24/2026","1.080","1.080","1.080","1.080","0.10K","2.37%"
"06/23/2026","1.055","1.055","1.055","1.055","","0.00%"
"06/22/2026","1.055","1.055","1.055","1.055","7.44K","0.00%"
"06/21/2026","1.055","1.100","1.100","1.055","1.40K","-8.26%"
"06/17/2026","1.150","1.150","1.150","1.150","","0.00%"
"06/16/2026","1.150","1.150","1.150","1.150","","0.00%"
"06/15/2026","1.150","1.150","1.150","1.150","","0.00%"
"06/14/2026","1.150","1.150","1.150","1.150","","0.00%"
"06/11/2026","1.150","1.150","1.150","1.150","","0.00%"
"06/10/2026","1.150","1.150","1.150","1.150","","0.00%"
"06/09/2026","1.150","1.150","1.150","1.150","","0.00%"
"06/08/2026","1.150","1.150","1.150","1.150","","0.00%"
"06/07/2026","1.150","1.150","1.150","1.150","","0.00%"
"06/04/2026","1.150","1.150","1.150","1.150","0.90K","0.00%"
"06/03/2026","1.150","1.150","1.150","1.150","","0.00%"
"06/02/2026","1.150","1.150","1.150","1.150","2.00K","-4.56%"
"06/01/2026","1.205","1.205","1.205","1.205","","0.00%"
"05/31/2026","1.205","1.205","1.205","1.205","","0.00%"
"05/25/2026","1.205","1.205","1.205","1.205","0.10K","-0.08%"
"05/24/2026","1.206","1.206","1.206","1.206","","0.00%"
"05/21/2026","1.206","1.206","1.206","1.206","","0.00%"
"05/20/2026","1.206","1.206","1.206","1.206","0.10K","0.00%"
"05/19/2026","1.206","1.206","1.206","1.206","0.74K","2.12%"
"05/18/2026","1.181","1.181","1.181","1.181","","0.00%"
"05/17/2026","1.181","1.181","1.181","1.181","","0.00%"
"05/14/2026","1.181","1.181","1.181","1.181","6.06K","-0.08%"
"05/13/2026","1.182","1.182","1.182","1.182","0.28K","-1.50%"
"05/12/2026","1.200","1.200","1.200","1.200","43.10K","0.00%"
"05/11/2026","1.200","1.204","1.204","1.200","2.88K","0.00%"
"05/10/2026","1.200","1.200","1.200","1.200","0.46K","0.00%"
"05/07/2026","1.200","1.200","1.200","1.200","2.00K","0.00%"
"05/06/2026","1.200","1.205","1.205","1.200","5.30K","0.00%"
"05/05/2026","1.200","1.200","1.200","1.200","0.40K","0.42%"
"05/04/2026","1.195","1.196","1.196","1.195","21.19K","-1.65%"
"05/03/2026","1.215","1.215","1.215","1.215","0.20K","0.00%"
"04/30/2026","1.215","1.215","1.215","1.215","","0.00%"
"04/29/2026","1.215","1.215","1.215","1.215","0.10K","1.25%"
"04/28/2026","1.200","1.200","1.205","1.200","1.33K","0.33%"
"04/27/2026","1.196","1.196","1.196","1.196","","0.00%"
"04/26/2026","1.196","1.196","1.196","1.196","0.83K","0.00%"
"04/23/2026","1.196","1.196","1.196","1.196","","0.00%"
"04/22/2026","1.196","1.196","1.196","1.196","","0.00%"
"04/21/2026","1.196","1.195","1.200","1.195","12.33K","-0.33%"
"04/20/2026","1.200","1.215","1.215","1.200","2.23K","-1.23%"
"04/19/2026","1.215","1.215","1.215","1.215","","0.00%"
"04/16/2026","1.215","1.166","1.215","1.166","1.23K","4.20%"
"04/15/2026","1.166","1.166","1.166","1.166","5.08K","10.00%"
"04/14/2026","1.060","1.060","1.060","1.060","1.10K","0.00%"
"04/13/2026","1.060","1.060","1.060","1.060","","0.00%"
"04/12/2026","1.060","1.090","1.090","1.060","3.44K","-2.75%"
"04/09/2026","1.090","1.090","1.090","1.090","0.30K","2.83%"
"04/08/2026","1.060","1.060","1.060","1.060","0.62K","0.00%"
"04/07/2026","1.060","1.060","1.060","1.060","","0.00%"
"04/06/2026","1.060","1.060","1.060","1.060","","0.00%"
"04/05/2026","1.060","1.060","1.060","1.060","","0.00%"
"04/02/2026","1.060","1.060","1.060","1.060","0.70K","0.00%"
"04/01/2026","1.060","1.060","1.060","1.060","0.90K","0.00%"
"03/31/2026","1.060","1.060","1.060","1.060","21.21K","-2.75%"
"03/30/2026","1.090","1.099","1.099","1.090","18.30K","0.00%"
"03/29/2026","1.090","1.085","1.090","1.085","1.54K","2.83%"
"03/26/2026","1.060","1.099","1.099","1.060","6.89K","-3.64%"
"03/25/2026","1.100","1.100","1.100","1.100","0.42K","3.77%"
