Date,Open,High,Low,Close,Volume
2026-05-03,1.22,1.22,1.22,1.22,200
2026-05-04,1.2,1.2,1.2,1.2,21194
2026-05-05,1.2,1.2,1.2,1.2,400
2026-05-06,1.21,1.21,1.2,1.2,5300
2026-05-07,1.2,1.2,1.2,1.2,2000
2026-05-10,1.2,1.2,1.2,1.2,456
2026-05-11,1.2,1.2,1.2,1.2,2875
2026-05-12,1.2,1.2,1.2,1.2,43100
2026-05-13,1.18,1.18,1.18,1.18,284
2026-05-14,1.18,1.18,1.18,1.18,6060
2026-05-17,1.18,1.18,1.18,1.18,0
2026-05-18,1.18,1.18,1.18,1.18,0
2026-05-19,1.21,1.21,1.21,1.21,740
2026-05-20,1.21,1.21,1.21,1.21,100
2026-05-21,1.21,1.21,1.21,1.21,0
2026-05-24,1.21,1.21,1.21,1.21,0
2026-05-25,1.21,1.21,1.21,1.21,100
2026-05-31,1.21,1.21,1.21,1.21,0
2026-06-01,1.21,1.21,1.21,1.21,0
2026-06-02,1.15,1.15,1.15,1.15,2000
2026-06-03,1.15,1.15,1.15,1.15,0
2026-06-04,1.15,1.15,1.15,1.15,900
2026-06-07,1.15,1.15,1.15,1.15,0
2026-06-08,1.15,1.15,1.15,1.15,0
2026-06-09,1.15,1.15,1.15,1.15,0
2026-06-10,1.15,1.15,1.15,1.15,0
2026-06-11,1.15,1.15,1.15,1.15,0
2026-06-14,1.15,1.15,1.15,1.15,0
2026-06-15,1.15,1.15,1.15,1.15,0
2026-06-16,1.15,1.15,1.15,1.15,0
2026-06-17,1.15,1.15,1.15,1.15,0
2026-06-21,1.1,1.1,1.06,1.06,1400
2026-06-22,1.06,1.06,1.06,1.06,7435
2026-06-23,1.06,1.06,1.06,1.06,0
2026-06-24,1.08,1.08,1.08,1.08,100
2026-06-25,1.08,1.08,1.08,1.08,0
2026-06-28,1.08,1.08,1.08,1.08,837
2026-06-29,1.08,1.08,1.08,1.08,0
2026-06-30,1.08,1.08,1.08,1.08,0
2026-07-01,1.1,1.1,1.1,1.1,4398
2026-07-02,1.09,1.09,1.09,1.09,88
2026-07-05,1.09,1.09,1.09,1.09,0
2026-07-06,1.09,1.09,1.09,1.09,6062
2026-07-07,1.09,1.09,1.09,1.09,0
2026-07-08,1.09,1.09,1.09,1.09,0
2026-07-09,1.1,1.1,1.1,1.1,55650
2026-07-13,1.1,1.1,1.1,1.1,0
2026-07-14,1.1,1.1,1.1,1.1,0
2026-07-15,1.2,1.21,1.2,1.2,9500
2026-07-16,1.21,1.21,1.21,1.21,500
