"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","0.46","0.47","0.47","0.46","10.87M","-2.53%"
"07/15/2026","0.47","0.48","0.49","0.47","7.85M","-1.25%"
"07/14/2026","0.48","0.48","0.48","0.48","15.42M","0.00%"
"07/13/2026","0.48","0.47","0.48","0.47","7.97M","0.00%"
"07/12/2026","0.47","0.48","0.48","0.47","2.02M","0.00%"
"07/09/2026","0.48","0.47","0.48","0.47","4.80M","1.28%"
"07/08/2026","0.47","0.45","0.47","0.45","17.03M","4.21%"
"07/07/2026","0.45","0.45","0.45","0.45","5.57M","0.00%"
"07/06/2026","0.45","0.45","0.45","0.45","10.00M","0.00%"
"07/05/2026","0.45","0.45","0.45","0.45","9.49M","0.00%"
"07/02/2026","0.45","0.45","0.45","0.45","3.69M","0.00%"
"07/01/2026","0.45","0.45","0.45","0.44","10.60M","0.00%"
"06/30/2026","0.45","0.45","0.45","0.45","9.62M","0.00%"
"06/29/2026","0.45","0.44","0.45","0.44","10.28M","0.00%"
"06/28/2026","0.44","0.43","0.45","0.43","8.07M","3.75%"
"06/25/2026","0.43","0.43","0.44","0.43","7.41M","0.00%"
"06/24/2026","0.43","0.43","0.43","0.43","7.66M","0.00%"
"06/23/2026","0.43","0.44","0.44","0.43","5.48M","-1.84%"
"06/22/2026","0.44","0.44","0.45","0.43","6.07M","-2.25%"
"06/21/2026","0.44","0.45","0.45","0.44","3.53M","-1.55%"
"06/17/2026","0.45","0.46","0.46","0.45","3.67M","0.00%"
"06/16/2026","0.46","0.45","0.46","0.45","1.90M","0.00%"
"06/15/2026","0.46","0.47","0.47","0.45","11.81M","-3.40%"
"06/14/2026","0.47","0.47","0.47","0.47","4.47M","0.00%"
"06/11/2026","0.47","0.47","0.47","0.47","2.15M","0.00%"
"06/10/2026","0.47","0.47","0.47","0.47","10.57M","0.00%"
"06/09/2026","0.47","0.47","0.47","0.46","8.49M","0.00%"
"06/08/2026","0.47","0.45","0.47","0.45","9.22M","3.79%"
"06/07/2026","0.45","0.46","0.46","0.45","8.97M","-1.75%"
"06/04/2026","0.46","0.47","0.47","0.46","11.05M","-2.35%"
