Date,Open,High,Low,Close,Volume
2026-05-04,0.53,0.53,0.53,0.53,21618850
2026-05-05,0.53,0.55,0.53,0.54,51662250
2026-05-06,0.54,0.54,0.49,0.51,14963030
2026-05-07,0.51,0.51,0.5,0.51,14319660
2026-05-10,0.51,0.51,0.51,0.51,8752521
2026-05-11,0.51,0.51,0.5,0.5,8628160
2026-05-12,0.5,0.5,0.5,0.5,6284900
2026-05-13,0.5,0.5,0.49,0.5,8976842
2026-05-14,0.49,0.5,0.47,0.49,12218010
2026-05-17,0.49,0.49,0.48,0.49,5262290
2026-05-18,0.49,0.49,0.47,0.48,15536820
2026-05-19,0.48,0.48,0.47,0.47,9617784
2026-05-20,0.47,0.47,0.46,0.46,17758340
2026-05-21,0.46,0.49,0.46,0.49,16227800
2026-05-24,0.49,0.49,0.49,0.49,16632060
2026-05-25,0.48,0.48,0.48,0.48,8629939
2026-05-31,0.48,0.48,0.47,0.48,11176760
2026-06-01,0.47,0.48,0.47,0.47,5076301
2026-06-02,0.47,0.48,0.47,0.47,7145281
2026-06-03,0.47,0.47,0.47,0.47,12013380
2026-06-04,0.47,0.47,0.46,0.46,11052880
2026-06-07,0.46,0.46,0.45,0.45,8971700
2026-06-08,0.45,0.47,0.45,0.47,9216265
2026-06-09,0.47,0.47,0.46,0.47,8489236
2026-06-10,0.47,0.47,0.47,0.47,10574190
2026-06-11,0.47,0.47,0.47,0.47,2146952
2026-06-14,0.47,0.47,0.47,0.47,4474879
2026-06-15,0.47,0.47,0.45,0.46,11811900
2026-06-16,0.45,0.46,0.45,0.46,1899741
2026-06-17,0.46,0.46,0.45,0.45,3671924
2026-06-21,0.45,0.45,0.44,0.45,3530571
2026-06-22,0.44,0.45,0.43,0.44,6067348
2026-06-23,0.44,0.44,0.43,0.43,5475342
2026-06-24,0.43,0.43,0.43,0.43,7658224
2026-06-25,0.43,0.44,0.43,0.43,7412045
2026-06-28,0.43,0.45,0.43,0.44,8074834
2026-06-29,0.44,0.45,0.44,0.45,10282050
2026-06-30,0.45,0.45,0.45,0.45,9618758
2026-07-01,0.45,0.45,0.44,0.45,10603523
2026-07-02,0.45,0.45,0.45,0.45,3691153
2026-07-05,0.45,0.45,0.45,0.45,9486716
2026-07-06,0.45,0.45,0.45,0.45,9998460
2026-07-07,0.45,0.45,0.45,0.45,5566045
2026-07-08,0.45,0.47,0.45,0.47,17026806
2026-07-09,0.47,0.48,0.47,0.48,4802473
2026-07-12,0.48,0.48,0.47,0.47,2017726
2026-07-13,0.47,0.48,0.47,0.48,7968948
2026-07-14,0.48,0.48,0.48,0.48,15419430
2026-07-15,0.48,0.49,0.47,0.47,7853277
2026-07-16,0.47,0.48,0.46,0.46,10868400
