"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","0.208","0.213","0.213","0.207","9.33M","-2.80%"
"07/15/2026","0.214","0.218","0.218","0.213","14.04M","-1.38%"
"07/14/2026","0.217","0.218","0.223","0.215","20.89M","-0.46%"
"07/13/2026","0.218","0.222","0.222","0.215","13.20M","-1.80%"
"07/12/2026","0.222","0.224","0.225","0.220","12.97M","-0.89%"
"07/09/2026","0.224","0.224","0.225","0.222","10.88M","0.00%"
"07/08/2026","0.224","0.222","0.224","0.221","9.76M","0.90%"
"07/07/2026","0.222","0.223","0.223","0.221","18.62M","-0.45%"
"07/06/2026","0.223","0.220","0.223","0.218","30.76M","1.36%"
"07/05/2026","0.220","0.221","0.221","0.218","12.59M","-0.45%"
"07/02/2026","0.221","0.221","0.222","0.219","22.18M","-0.45%"
"07/01/2026","0.222","0.224","0.225","0.221","29.74M","0.00%"
"06/30/2026","0.222","0.220","0.223","0.220","25.46M","0.91%"
"06/29/2026","0.220","0.219","0.221","0.218","30.89M","1.38%"
"06/28/2026","0.217","0.213","0.218","0.213","27.11M","1.88%"
"06/25/2026","0.213","0.213","0.215","0.212","21.18M","0.47%"
"06/24/2026","0.212","0.208","0.214","0.207","30.10M","1.44%"
"06/23/2026","0.209","0.214","0.214","0.208","9.67M","-1.88%"
"06/22/2026","0.213","0.219","0.220","0.212","19.78M","-2.74%"
"06/21/2026","0.219","0.223","0.223","0.217","18.15M","-1.35%"
"06/17/2026","0.222","0.227","0.227","0.219","11.64M","-1.77%"
"06/16/2026","0.226","0.228","0.229","0.220","21.50M","-0.44%"
"06/15/2026","0.227","0.228","0.229","0.224","19.19M","0.00%"
"06/14/2026","0.227","0.230","0.232","0.221","198.35M","-1.30%"
"06/11/2026","0.230","0.231","0.231","0.227","18.55M","0.00%"
"06/10/2026","0.230","0.229","0.231","0.228","10.12M","0.44%"
"06/09/2026","0.229","0.230","0.230","0.227","14.43M","0.00%"
"06/08/2026","0.229","0.224","0.232","0.217","23.94M","2.23%"
"06/07/2026","0.224","0.228","0.228","0.222","10.20M","-1.75%"
"06/04/2026","0.228","0.234","0.236","0.228","8.47M","-2.98%"
"06/03/2026","0.235","0.238","0.240","0.232","17.30M","-1.67%"
"06/02/2026","0.239","0.241","0.243","0.238","19.25M","-0.42%"
"06/01/2026","0.240","0.238","0.240","0.237","14.79M","0.84%"
"05/31/2026","0.238","0.239","0.244","0.237","27.70M","-0.83%"
"05/25/2026","0.240","0.236","0.240","0.233","21.11M","1.69%"
"05/24/2026","0.236","0.228","0.237","0.228","30.83M","3.51%"
"05/21/2026","0.228","0.220","0.230","0.220","32.20M","7.55%"
"05/20/2026","0.212","0.223","0.223","0.203","16.47M","-5.36%"
"05/19/2026","0.224","0.234","0.237","0.224","15.32M","-4.27%"
"05/18/2026","0.234","0.250","0.250","0.225","29.73M","-6.40%"
"05/17/2026","0.250","0.258","0.258","0.249","22.55M","-1.96%"
"05/14/2026","0.255","0.270","0.270","0.247","17.47M","-4.85%"
"05/13/2026","0.268","0.273","0.274","0.267","15.76M","-1.83%"
"05/12/2026","0.273","0.275","0.275","0.270","8.02M","-0.36%"
"05/11/2026","0.274","0.274","0.276","0.273","27.61M","0.37%"
"05/10/2026","0.273","0.270","0.274","0.270","26.77M","0.37%"
"05/07/2026","0.272","0.269","0.272","0.266","12.44M","1.49%"
"05/06/2026","0.268","0.270","0.272","0.266","13.13M","-0.74%"
"05/05/2026","0.270","0.269","0.274","0.269","21.89M","0.75%"
"05/04/2026","0.268","0.269","0.270","0.267","16.97M","0.00%"
"05/03/2026","0.268","0.275","0.276","0.268","31.59M","-1.83%"
"04/30/2026","0.273","0.269","0.274","0.268","27.52M","2.25%"
"04/29/2026","0.267","0.265","0.269","0.263","33.66M","0.75%"
"04/28/2026","0.265","0.264","0.267","0.263","43.44M","1.15%"
"04/27/2026","0.262","0.260","0.264","0.260","22.20M","1.16%"
"04/26/2026","0.259","0.262","0.262","0.259","21.21M","-1.15%"
"04/23/2026","0.262","0.266","0.266","0.262","15.41M","-1.50%"
"04/22/2026","0.266","0.271","0.271","0.265","16.54M","-1.85%"
"04/21/2026","0.271","0.273","0.273","0.271","10.96M","-0.73%"
"04/20/2026","0.273","0.277","0.277","0.273","10.34M","-1.09%"
"04/19/2026","0.276","0.275","0.277","0.275","16.03M","0.36%"
"04/16/2026","0.275","0.276","0.279","0.272","27.09M","0.36%"
"04/15/2026","0.274","0.275","0.275","0.273","14.56M","0.00%"
"04/14/2026","0.274","0.273","0.275","0.272","7.20M","0.74%"
"04/13/2026","0.272","0.270","0.273","0.269","11.93M","1.49%"
"04/12/2026","0.268","0.272","0.274","0.268","16.91M","-1.47%"
"04/09/2026","0.272","0.275","0.275","0.268","21.38M","-1.09%"
"04/08/2026","0.275","0.275","0.277","0.274","20.02M","0.73%"
"04/07/2026","0.273","0.275","0.277","0.270","21.67M","-1.09%"
"04/06/2026","0.276","0.274","0.278","0.273","18.95M","0.73%"
"04/05/2026","0.274","0.274","0.276","0.273","14.62M","0.37%"
"04/02/2026","0.273","0.272","0.275","0.271","15.21M","0.37%"
"04/01/2026","0.272","0.268","0.275","0.268","26.16M","1.49%"
"03/31/2026","0.268","0.267","0.269","0.264","37.33M","0.75%"
"03/30/2026","0.266","0.265","0.269","0.263","30.67M","0.76%"
"03/29/2026","0.264","0.262","0.264","0.260","13.99M","1.15%"
"03/26/2026","0.261","0.263","0.265","0.260","29.97M","-2.61%"
"03/25/2026","0.268","0.264","0.271","0.264","55.10M","2.29%"
"03/24/2026","0.262","0.253","0.262","0.252","68.66M","3.56%"
"03/18/2026","0.253","0.250","0.253","0.250","14.52M","0.80%"
"03/17/2026","0.251","0.252","0.254","0.250","17.35M","-0.40%"
"03/16/2026","0.252","0.254","0.255","0.250","18.88M","-1.18%"
"03/15/2026","0.255","0.254","0.255","0.250","42.18M","0.39%"
"03/12/2026","0.254","0.252","0.257","0.252","64.29M","0.40%"
"03/11/2026","0.253","0.255","0.257","0.247","39.24M","-0.39%"
"03/10/2026","0.254","0.254","0.256","0.252","24.75M","0.00%"
"03/09/2026","0.254","0.250","0.259","0.250","34.37M","2.42%"
"03/08/2026","0.248","0.238","0.249","0.238","61.84M","4.64%"
"03/05/2026","0.237","0.233","0.238","0.231","27.84M","1.72%"
"03/04/2026","0.233","0.234","0.235","0.228","15.72M","0.00%"
"03/03/2026","0.233","0.236","0.237","0.231","18.85M","-0.85%"
"03/02/2026","0.235","0.237","0.238","0.233","26.79M","-0.42%"
"03/01/2026","0.236","0.230","0.237","0.229","11.74M","-0.42%"
"02/26/2026","0.237","0.239","0.242","0.237","53.42M","-0.84%"
"02/25/2026","0.239","0.236","0.240","0.236","25.00M","1.27%"
"02/24/2026","0.236","0.225","0.237","0.225","35.91M","4.89%"
"02/23/2026","0.225","0.227","0.230","0.225","9.13M","-0.44%"
"02/22/2026","0.226","0.229","0.229","0.224","9.17M","-1.31%"
"02/19/2026","0.229","0.232","0.232","0.228","10.29M","-1.29%"
"02/18/2026","0.232","0.234","0.236","0.232","6.72M","-1.28%"
"02/17/2026","0.235","0.235","0.237","0.232","16.58M","0.00%"
"02/16/2026","0.235","0.232","0.236","0.231","9.95M","1.29%"
"02/15/2026","0.232","0.239","0.241","0.232","12.71M","-2.11%"
"02/12/2026","0.237","0.237","0.242","0.235","22.03M","0.00%"
"02/11/2026","0.237","0.231","0.237","0.231","15.10M","3.49%"
"02/10/2026","0.229","0.219","0.229","0.218","15.00M","5.05%"
"02/09/2026","0.218","0.214","0.220","0.214","22.08M","2.35%"
"02/08/2026","0.213","0.213","0.215","0.211","18.52M","0.00%"
"02/05/2026","0.213","0.210","0.213","0.209","19.97M","0.95%"
"02/04/2026","0.211","0.206","0.211","0.205","24.45M","1.44%"
"02/03/2026","0.208","0.204","0.208","0.204","14.62M","1.96%"
"02/02/2026","0.204","0.203","0.206","0.202","7.99M","0.49%"
"02/01/2026","0.203","0.206","0.206","0.203","11.03M","-1.46%"
"01/29/2026","0.206","0.207","0.209","0.206","13.58M","-0.48%"
"01/28/2026","0.207","0.205","0.207","0.204","10.93M","1.97%"
"01/27/2026","0.203","0.204","0.204","0.202","9.49M","0.00%"
"01/26/2026","0.203","0.202","0.203","0.201","9.61M","0.50%"
"01/25/2026","0.202","0.204","0.206","0.202","6.09M","-0.98%"
"01/22/2026","0.204","0.205","0.206","0.203","9.52M","0.49%"
"01/21/2026","0.203","0.206","0.206","0.203","7.94M","-1.46%"
"01/20/2026","0.206","0.205","0.208","0.205","6.75M","0.49%"
"01/19/2026","0.205","0.207","0.207","0.203","14.02M","-0.49%"
"01/14/2026","0.206","0.205","0.207","0.204","22.37M","0.98%"
"01/13/2026","0.204","0.206","0.206","0.203","9.47M","-0.49%"
"01/12/2026","0.205","0.206","0.206","0.204","8.35M","-0.49%"
"01/11/2026","0.206","0.202","0.206","0.200","26.32M","2.49%"
"01/08/2026","0.201","0.198","0.202","0.197","32.19M","1.01%"
"01/07/2026","0.199","0.199","0.200","0.197","14.07M","0.51%"
"01/06/2026","0.198","0.198","0.200","0.198","15.54M","0.00%"
"01/05/2026","0.198","0.196","0.199","0.195","27.83M","1.02%"
"01/04/2026","0.196","0.194","0.196","0.193","7.68M","1.03%"
"01/01/2026","0.194","0.195","0.195","0.192","5.39M","0.00%"
"12/31/2025","0.194","0.195","0.195","0.193","6.84M","-0.51%"
"12/30/2025","0.195","0.195","0.196","0.193","15.34M","0.00%"
"12/29/2025","0.195","0.196","0.197","0.193","9.95M","-0.51%"
"12/28/2025","0.196","0.196","0.198","0.195","9.15M","0.00%"
"12/25/2025","0.196","0.196","0.197","0.194","37.98M","0.00%"
"12/24/2025","0.196","0.194","0.198","0.194","16.00M","0.51%"
"12/23/2025","0.195","0.196","0.197","0.194","14.97M","-0.51%"
"12/22/2025","0.196","0.195","0.198","0.195","17.56M","0.00%"
"12/21/2025","0.196","0.195","0.197","0.194","12.60M","1.03%"
"12/18/2025","0.194","0.193","0.195","0.192","15.75M","0.52%"
"12/17/2025","0.193","0.193","0.195","0.192","14.59M","0.00%"
"12/16/2025","0.193","0.195","0.195","0.193","5.03M","-1.53%"
"12/15/2025","0.196","0.194","0.197","0.194","15.95M","1.55%"
"12/14/2025","0.193","0.193","0.195","0.193","10.93M","-0.52%"
"12/11/2025","0.194","0.194","0.195","0.193","9.99M","0.00%"
"12/10/2025","0.194","0.195","0.196","0.194","11.69M","-0.51%"
"12/09/2025","0.195","0.193","0.195","0.192","17.10M","1.04%"
"12/08/2025","0.193","0.196","0.196","0.192","12.95M","-1.53%"
"12/07/2025","0.196","0.197","0.197","0.195","20.35M","0.00%"
"12/04/2025","0.196","0.196","0.197","0.195","15.44M","0.00%"
"12/03/2025","0.196","0.191","0.197","0.191","27.57M","3.70%"
"12/02/2025","0.189","0.187","0.191","0.186","34.05M","1.07%"
"12/01/2025","0.187","0.185","0.188","0.184","9.00M","0.54%"
"11/30/2025","0.186","0.186","0.187","0.184","10.96M","1.09%"
"11/25/2025","0.184","0.183","0.186","0.183","10.21M","0.00%"
"11/24/2025","0.184","0.183","0.185","0.182","15.05M","0.55%"
"11/23/2025","0.183","0.184","0.185","0.182","7.49M","-1.08%"
"11/20/2025","0.185","0.184","0.187","0.184","12.82M","0.54%"
