Date,Open,High,Low,Close,Volume
2026-05-04,0.27,0.27,0.27,0.27,16968930
2026-05-05,0.27,0.27,0.27,0.27,21885180
2026-05-06,0.27,0.27,0.27,0.27,13127520
2026-05-07,0.27,0.27,0.27,0.27,12439050
2026-05-10,0.27,0.27,0.27,0.27,26774700
2026-05-11,0.27,0.28,0.27,0.27,27612370
2026-05-12,0.28,0.28,0.27,0.27,8018100
2026-05-13,0.27,0.27,0.27,0.27,15758950
2026-05-14,0.27,0.27,0.25,0.26,17471040
2026-05-17,0.26,0.26,0.25,0.25,22545960
2026-05-18,0.25,0.25,0.23,0.23,29731500
2026-05-19,0.23,0.24,0.22,0.22,15323150
2026-05-20,0.22,0.22,0.2,0.21,16467010
2026-05-21,0.22,0.23,0.22,0.23,32203980
2026-05-24,0.23,0.24,0.23,0.24,30828780
2026-05-25,0.24,0.24,0.23,0.24,21111220
2026-05-31,0.24,0.24,0.24,0.24,27696430
2026-06-01,0.24,0.24,0.24,0.24,14788170
2026-06-02,0.24,0.24,0.24,0.24,19248060
2026-06-03,0.24,0.24,0.23,0.24,17298780
2026-06-04,0.23,0.24,0.23,0.23,8471453
2026-06-07,0.23,0.23,0.22,0.22,10196926
2026-06-08,0.22,0.23,0.22,0.23,23943797
2026-06-09,0.23,0.23,0.23,0.23,14430433
2026-06-10,0.23,0.23,0.23,0.23,10115380
2026-06-11,0.23,0.23,0.23,0.23,18545500
2026-06-14,0.23,0.23,0.22,0.23,198354120
2026-06-15,0.23,0.23,0.22,0.23,19194190
2026-06-16,0.23,0.23,0.22,0.23,21499040
2026-06-17,0.23,0.23,0.22,0.22,11640770
2026-06-21,0.22,0.22,0.22,0.22,18146880
2026-06-22,0.22,0.22,0.21,0.21,19779170
2026-06-23,0.21,0.21,0.21,0.21,9667112
2026-06-24,0.21,0.21,0.21,0.21,30101510
2026-06-25,0.21,0.22,0.21,0.21,21181079
2026-06-28,0.21,0.22,0.21,0.22,27107943
2026-06-29,0.22,0.22,0.22,0.22,30888020
2026-06-30,0.22,0.22,0.22,0.22,25456090
2026-07-01,0.22,0.23,0.22,0.22,29738291
2026-07-02,0.22,0.22,0.22,0.22,22181295
2026-07-05,0.22,0.22,0.22,0.22,12591851
2026-07-06,0.22,0.22,0.22,0.22,30721973
2026-07-07,0.22,0.22,0.22,0.22,18617620
2026-07-08,0.22,0.22,0.22,0.22,9752818
2026-07-09,0.22,0.23,0.22,0.22,10884360
2026-07-12,0.22,0.23,0.22,0.22,12968298
2026-07-13,0.22,0.22,0.22,0.22,13201700
2026-07-14,0.22,0.22,0.22,0.22,20894010
2026-07-15,0.22,0.22,0.21,0.21,14039430
2026-07-16,0.21,0.21,0.21,0.21,9331964
