"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","1.200","1.200","1.200","1.200","","0.00%"
"07/15/2026","1.200","1.200","1.200","1.200","","0.00%"
"07/14/2026","1.200","1.200","1.200","1.200","","0.00%"
"07/13/2026","1.200","1.200","1.200","1.200","1.67K","0.00%"
"07/09/2026","1.200","1.200","1.200","1.200","0.15K","-0.83%"
"07/08/2026","1.210","1.210","1.210","1.210","","0.00%"
"07/07/2026","1.210","1.210","1.210","1.210","0.15K","0.83%"
"07/06/2026","1.200","1.200","1.200","1.200","","0.00%"
"07/05/2026","1.200","1.200","1.200","1.200","1.01K","0.00%"
"07/02/2026","1.200","1.200","1.200","1.200","","0.00%"
"07/01/2026","1.200","1.200","1.200","1.200","1.76K","0.00%"
"06/30/2026","1.200","1.200","1.200","1.200","","0.00%"
"06/29/2026","1.200","1.200","1.200","1.200","1.53K","0.00%"
"06/28/2026","1.200","1.200","1.200","1.200","0.21K","0.00%"
"06/25/2026","1.200","1.200","1.200","1.200","","0.00%"
"06/24/2026","1.200","1.200","1.200","1.200","1.14K","0.00%"
"06/23/2026","1.200","1.255","1.255","1.200","3.45K","-4.76%"
"06/22/2026","1.260","1.260","1.260","1.260","","0.00%"
"06/21/2026","1.260","1.260","1.260","1.260","","0.00%"
"06/17/2026","1.260","1.260","1.260","1.260","","0.00%"
"06/16/2026","1.260","1.260","1.260","1.260","","0.00%"
"06/15/2026","1.260","1.260","1.260","1.260","","0.00%"
"06/14/2026","1.260","1.260","1.260","1.260","","0.00%"
"06/11/2026","1.260","1.260","1.260","1.260","","0.00%"
"06/10/2026","1.260","1.260","1.260","1.260","","0.00%"
"06/09/2026","1.260","1.260","1.260","1.260","","0.00%"
"06/08/2026","1.260","1.260","1.260","1.260","","0.00%"
"06/07/2026","1.260","1.260","1.260","1.260","","0.00%"
"06/04/2026","1.260","1.260","1.260","1.260","","0.00%"
"06/03/2026","1.260","1.260","1.260","1.260","","0.00%"
"06/02/2026","1.260","1.260","1.260","1.260","1.93K","0.00%"
"06/01/2026","1.260","1.260","1.260","1.260","","0.00%"
"05/31/2026","1.260","1.260","1.260","1.260","","0.00%"
"05/25/2026","1.260","1.260","1.260","1.260","","0.00%"
"05/24/2026","1.260","1.260","1.260","1.260","","0.00%"
"05/21/2026","1.260","1.260","1.260","1.260","","0.00%"
"05/20/2026","1.260","1.260","1.300","1.260","10.67K","-10.00%"
"05/19/2026","1.400","1.400","1.400","1.400","","0.00%"
"05/18/2026","1.400","1.300","1.300","1.300","1.40K","0.00%"
"05/17/2026","1.400","1.400","1.400","1.400","","0.00%"
"05/14/2026","1.400","1.400","1.400","1.400","","0.00%"
"05/13/2026","1.400","1.400","1.400","1.400","1.50K","0.00%"
"05/12/2026","1.400","1.400","1.400","1.400","","0.00%"
"05/11/2026","1.400","1.400","1.400","1.400","0.02K","7.69%"
"05/10/2026","1.300","1.300","1.300","1.300","13.67K","-0.76%"
"05/07/2026","1.310","1.310","1.310","1.310","","0.00%"
"05/06/2026","1.310","1.310","1.310","1.310","","0.00%"
"05/05/2026","1.310","1.310","1.310","1.310","","0.00%"
"05/04/2026","1.310","1.310","1.310","1.310","","0.00%"
"05/03/2026","1.310","1.310","1.310","1.300","0.25K","0.00%"
"04/30/2026","1.310","1.310","1.310","1.310","","0.00%"
"04/29/2026","1.310","1.310","1.310","1.310","","0.00%"
"04/28/2026","1.310","1.310","1.310","1.310","1.23K","0.00%"
"04/27/2026","1.310","1.310","1.310","1.310","","0.00%"
"04/26/2026","1.310","1.310","1.310","1.310","","0.00%"
"04/23/2026","1.310","1.310","1.310","1.310","","0.00%"
"04/22/2026","1.310","1.310","1.310","1.310","","0.00%"
"04/21/2026","1.310","1.310","1.310","1.310","0.24K","0.00%"
"04/20/2026","1.310","1.310","1.310","1.310","","0.00%"
"04/19/2026","1.310","1.310","1.310","1.310","","0.00%"
"04/16/2026","1.310","1.310","1.310","1.310","","0.00%"
"04/15/2026","1.310","1.310","1.310","1.310","","0.00%"
"04/14/2026","1.310","1.310","1.310","1.310","1.04K","0.00%"
"04/13/2026","1.310","1.310","1.310","1.310","0.96K","0.00%"
"04/12/2026","1.310","1.310","1.310","1.310","3.21K","0.77%"
"04/09/2026","1.300","1.300","1.300","1.300","","0.00%"
"04/08/2026","1.300","1.300","1.300","1.300","","0.00%"
"04/07/2026","1.300","1.300","1.300","1.300","0.10K","0.00%"
"04/06/2026","1.300","1.300","1.300","1.300","","0.00%"
"04/05/2026","1.300","1.300","1.300","1.300","","0.00%"
"04/02/2026","1.300","1.300","1.300","1.300","","0.00%"
"04/01/2026","1.300","1.335","1.335","1.300","12.58K","0.00%"
"03/31/2026","1.300","1.300","1.300","1.300","","0.00%"
"03/30/2026","1.300","1.300","1.300","1.300","5.00K","0.00%"
"03/29/2026","1.300","1.300","1.300","1.300","","0.00%"
"03/26/2026","1.300","1.300","1.300","1.300","","0.00%"
"03/25/2026","1.300","1.300","1.300","1.300","","0.00%"
"03/24/2026","1.300","1.300","1.300","1.300","","0.00%"
"03/18/2026","1.300","1.300","1.300","1.300","","0.00%"
"03/17/2026","1.300","1.300","1.300","1.300","","0.00%"
"03/16/2026","1.300","1.300","1.300","1.300","","0.00%"
"03/15/2026","1.300","1.300","1.300","1.300","","0.00%"
"03/12/2026","1.300","1.300","1.300","1.300","","0.00%"
"03/11/2026","1.300","1.300","1.300","1.300","","0.00%"
"03/10/2026","1.300","1.300","1.300","1.300","1.40K","0.00%"
"03/09/2026","1.300","1.300","1.300","1.300","3.00K","-3.70%"
"03/08/2026","1.350","1.350","1.350","1.350","","0.00%"
"03/05/2026","1.350","1.350","1.350","1.350","","0.00%"
"03/04/2026","1.350","1.350","1.350","1.350","","0.00%"
"03/03/2026","1.350","1.350","1.350","1.350","","0.00%"
"03/02/2026","1.350","1.350","1.350","1.350","","0.00%"
"03/01/2026","1.350","1.350","1.350","1.350","1.39M","-2.88%"
"02/26/2026","1.390","1.390","1.400","1.390","1.05K","0.00%"
"02/25/2026","1.390","1.390","1.390","1.390","","0.00%"
"02/24/2026","1.390","1.390","1.390","1.390","","0.00%"
"02/23/2026","1.390","1.390","1.390","1.390","150.02K","2.96%"
"02/22/2026","1.350","1.330","1.400","1.330","75.16K","-2.17%"
"02/19/2026","1.380","1.380","1.380","1.380","","0.00%"
"02/18/2026","1.380","1.380","1.380","1.380","","0.00%"
"02/17/2026","1.380","1.380","1.380","1.380","","0.00%"
"02/16/2026","1.380","1.380","1.380","1.380","","0.00%"
"02/15/2026","1.380","1.380","1.380","1.380","122.50K","0.00%"
"02/12/2026","1.380","1.380","1.380","1.380","2.50K","2.22%"
"02/11/2026","1.350","1.350","1.350","1.350","","0.00%"
"02/10/2026","1.350","1.350","1.350","1.350","5.00K","-3.57%"
"02/09/2026","1.400","1.400","1.400","1.400","","0.00%"
"02/08/2026","1.400","1.400","1.400","1.400","","0.00%"
"02/05/2026","1.400","1.400","1.400","1.400","20.00K","0.00%"
"02/04/2026","1.400","1.400","1.400","1.400","10.00K","-3.45%"
"02/03/2026","1.450","1.450","1.450","1.450","","0.00%"
"02/02/2026","1.450","1.450","1.450","1.450","","0.00%"
"02/01/2026","1.450","1.450","1.450","1.450","","0.00%"
"01/29/2026","1.450","1.450","1.450","1.450","20.00K","0.69%"
"01/28/2026","1.440","1.440","1.440","1.440","0.12K","0.00%"
"01/27/2026","1.440","1.440","1.440","1.440","","0.00%"
"01/26/2026","1.440","1.440","1.440","1.440","1.35K","2.86%"
"01/25/2026","1.400","1.400","1.400","1.400","0.10K","1.52%"
"01/22/2026","1.379","1.379","1.379","1.379","","0.00%"
"01/21/2026","1.379","1.379","1.379","1.379","","0.00%"
"01/20/2026","1.379","1.379","1.379","1.379","","0.00%"
"01/19/2026","1.379","1.379","1.379","1.379","","0.00%"
"01/14/2026","1.379","1.379","1.379","1.379","","0.00%"
"01/13/2026","1.379","1.379","1.379","1.379","","0.00%"
"01/12/2026","1.379","1.379","1.379","1.379","0.13K","0.00%"
"01/11/2026","1.379","1.379","1.379","1.379","","0.00%"
"01/08/2026","1.379","1.379","1.379","1.379","","0.00%"
"01/07/2026","1.379","1.379","1.379","1.379","0.45K","0.00%"
"01/06/2026","1.379","1.379","1.379","1.379","5.00K","0.66%"
"01/05/2026","1.370","1.370","1.370","1.370","","0.00%"
"01/04/2026","1.370","1.370","1.370","1.370","","0.00%"
"01/01/2026","1.370","1.370","1.370","1.370","","0.00%"
"12/31/2025","1.370","1.370","1.370","1.368","7.23K","-8.05%"
"12/30/2025","1.490","1.490","1.490","1.490","","0.00%"
"12/29/2025","1.490","1.490","1.490","1.490","","0.00%"
"12/28/2025","1.490","1.490","1.490","1.490","","0.00%"
"12/25/2025","1.490","1.490","1.490","1.490","","0.00%"
"12/24/2025","1.490","1.490","1.490","1.490","","0.00%"
"12/23/2025","1.490","1.490","1.490","1.490","","0.00%"
"12/22/2025","1.490","1.490","1.490","1.490","","0.00%"
"12/21/2025","1.490","1.490","1.490","1.490","0.10K","-0.13%"
"12/18/2025","1.492","1.492","1.492","1.492","","0.00%"
"12/17/2025","1.492","1.492","1.492","1.492","","0.00%"
"12/16/2025","1.492","1.492","1.492","1.492","","0.00%"
"12/15/2025","1.492","1.492","1.492","1.492","","0.00%"
"12/14/2025","1.492","1.492","1.492","1.492","","0.00%"
"12/11/2025","1.492","1.492","1.492","1.492","","0.00%"
"12/10/2025","1.492","1.492","1.492","1.492","","0.00%"
"12/09/2025","1.492","1.492","1.492","1.492","","0.00%"
"12/08/2025","1.492","1.492","1.492","1.492","","0.00%"
"12/07/2025","1.492","1.492","1.492","1.492","","0.00%"
"12/04/2025","1.492","1.492","1.492","1.492","","0.00%"
"12/03/2025","1.492","1.492","1.492","1.492","","0.00%"
"12/02/2025","1.492","1.492","1.492","1.492","","0.00%"
"12/01/2025","1.492","1.492","1.492","1.492","","0.00%"
"11/30/2025","1.492","1.492","1.492","1.492","","0.00%"
"11/25/2025","1.492","1.492","1.492","1.492","","0.00%"
"11/24/2025","1.492","1.492","1.492","1.492","","0.00%"
"11/23/2025","1.492","1.492","1.492","1.492","","0.00%"
"11/20/2025","1.492","1.492","1.492","1.492","","0.00%"
"11/19/2025","1.492","1.492","1.492","1.492","","0.00%"
"11/18/2025","1.492","1.492","1.492","1.492","","0.00%"
"11/17/2025","1.492","1.492","1.492","1.492","","0.00%"
"11/16/2025","1.492","1.492","1.492","1.492","","0.00%"
"11/13/2025","1.492","1.492","1.492","1.492","","0.00%"
"11/12/2025","1.492","1.492","1.492","1.492","","0.00%"
"11/11/2025","1.492","1.492","1.492","1.492","","0.00%"
"11/10/2025","1.492","1.492","1.492","1.492","","0.00%"
"11/09/2025","1.492","1.492","1.492","1.492","0.15K","0.00%"
"11/06/2025","1.492","1.492","1.492","1.492","0.27K","8.91%"
"11/05/2025","1.370","1.370","1.370","1.370","","0.00%"
"11/04/2025","1.370","1.370","1.370","1.370","","0.00%"
"11/03/2025","1.370","1.370","1.370","1.370","","0.00%"
"11/02/2025","1.370","1.370","1.370","1.370","","0.00%"
"10/30/2025","1.370","1.370","1.370","1.370","","0.00%"
"10/29/2025","1.370","1.370","1.370","1.370","1.00K","-8.18%"
"10/28/2025","1.492","1.492","1.492","1.492","9.90K","0.00%"
"10/27/2025","1.492","1.492","1.492","1.492","","0.00%"
"10/26/2025","1.492","1.492","1.492","1.492","","0.00%"
"10/23/2025","1.492","1.492","1.492","1.492","0.10K","9.95%"
"10/22/2025","1.357","1.357","1.357","1.357","37.16K","0.00%"
"10/21/2025","1.357","1.357","1.357","1.357","12.93K","9.97%"
"10/20/2025","1.234","1.234","1.234","1.234","","0.00%"
"10/19/2025","1.234","1.234","1.234","1.234","","0.00%"
"10/16/2025","1.234","1.234","1.234","1.234","","0.00%"
"10/15/2025","1.234","1.234","1.234","1.234","","0.00%"
"10/14/2025","1.234","1.234","1.234","1.234","","0.00%"
"10/13/2025","1.234","1.234","1.234","1.234","","0.00%"
"10/12/2025","1.234","1.234","1.234","1.234","","0.00%"
"10/09/2025","1.234","1.234","1.234","1.234","","0.00%"
