Date,Open,High,Low,Close,Volume
2026-05-03,1.31,1.31,1.3,1.31,252
2026-05-04,1.31,1.31,1.31,1.31,0
2026-05-05,1.31,1.31,1.31,1.31,0
2026-05-06,1.31,1.31,1.31,1.31,0
2026-05-07,1.31,1.31,1.31,1.31,0
2026-05-10,1.3,1.3,1.3,1.3,13671
2026-05-11,1.4,1.4,1.4,1.4,20
2026-05-12,1.4,1.4,1.4,1.4,0
2026-05-13,1.4,1.4,1.4,1.4,1500
2026-05-14,1.4,1.4,1.4,1.4,0
2026-05-17,1.4,1.4,1.4,1.4,0
2026-05-18,1.3,1.3,1.3,1.4,1400
2026-05-19,1.4,1.4,1.4,1.4,0
2026-05-20,1.26,1.3,1.26,1.26,10670
2026-05-21,1.26,1.26,1.26,1.26,0
2026-05-24,1.26,1.26,1.26,1.26,0
2026-05-25,1.26,1.26,1.26,1.26,0
2026-05-31,1.26,1.26,1.26,1.26,0
2026-06-01,1.26,1.26,1.26,1.26,0
2026-06-02,1.26,1.26,1.26,1.26,1930
2026-06-03,1.26,1.26,1.26,1.26,0
2026-06-04,1.26,1.26,1.26,1.26,0
2026-06-07,1.26,1.26,1.26,1.26,0
2026-06-08,1.26,1.26,1.26,1.26,0
2026-06-09,1.26,1.26,1.26,1.26,0
2026-06-10,1.26,1.26,1.26,1.26,0
2026-06-11,1.26,1.26,1.26,1.26,0
2026-06-14,1.26,1.26,1.26,1.26,0
2026-06-15,1.26,1.26,1.26,1.26,0
2026-06-16,1.26,1.26,1.26,1.26,0
2026-06-17,1.26,1.26,1.26,1.26,0
2026-06-21,1.26,1.26,1.26,1.26,0
2026-06-22,1.26,1.26,1.26,1.26,0
2026-06-23,1.26,1.26,1.2,1.2,3447
2026-06-24,1.2,1.2,1.2,1.2,1140
2026-06-25,1.2,1.2,1.2,1.2,0
2026-06-28,1.2,1.2,1.2,1.2,206
2026-06-29,1.2,1.2,1.2,1.2,1531
2026-06-30,1.2,1.2,1.2,1.2,0
2026-07-01,1.2,1.2,1.2,1.2,1760
2026-07-02,1.2,1.2,1.2,1.2,0
2026-07-05,1.2,1.2,1.2,1.2,1005
2026-07-06,1.2,1.2,1.2,1.2,0
2026-07-07,1.21,1.21,1.21,1.21,145
2026-07-08,1.21,1.21,1.21,1.21,0
2026-07-09,1.2,1.2,1.2,1.2,150
2026-07-13,1.2,1.2,1.2,1.2,1673
2026-07-14,1.2,1.2,1.2,1.2,0
2026-07-15,1.2,1.2,1.2,1.2,0
2026-07-16,1.2,1.2,1.2,1.2,0
