"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","0.330","0.332","0.332","0.330","300.18K","-0.90%"
"07/15/2026","0.333","0.335","0.335","0.332","298.73K","-0.60%"
"07/14/2026","0.335","0.332","0.335","0.331","166.80K","0.90%"
"07/13/2026","0.332","0.329","0.332","0.328","498.50K","0.91%"
"07/12/2026","0.329","0.331","0.331","0.327","590.67K","-0.30%"
"07/09/2026","0.330","0.329","0.331","0.329","219.22K","0.00%"
"07/08/2026","0.330","0.332","0.332","0.330","225.87K","-0.30%"
"07/07/2026","0.331","0.334","0.334","0.331","67.70K","-0.90%"
"07/06/2026","0.334","0.336","0.336","0.331","566.25K","-0.30%"
"07/05/2026","0.335","0.327","0.338","0.327","1.31M","2.45%"
"07/02/2026","0.327","0.325","0.331","0.324","1.14M","0.62%"
"07/01/2026","0.325","0.325","0.325","0.323","166.06K","0.00%"
"06/30/2026","0.325","0.323","0.328","0.323","447.26K","0.62%"
"06/29/2026","0.323","0.325","0.327","0.323","12.70K","-0.62%"
"06/28/2026","0.325","0.323","0.325","0.323","23.98K","0.00%"
"06/25/2026","0.325","0.325","0.325","0.321","16.02K","0.00%"
"06/24/2026","0.325","0.325","0.325","0.325","13.42K","0.00%"
"06/23/2026","0.325","0.321","0.325","0.321","128.56K","0.00%"
"06/22/2026","0.325","0.325","0.325","0.321","16.70K","0.00%"
"06/21/2026","0.325","0.325","0.326","0.325","30.36K","-1.22%"
"06/17/2026","0.329","0.333","0.333","0.328","403.12K","-1.20%"
"06/16/2026","0.333","0.334","0.335","0.333","1.52M","0.00%"
"06/15/2026","0.333","0.338","0.338","0.332","2.39M","-1.19%"
"06/14/2026","0.337","0.336","0.337","0.336","82.94K","0.00%"
"06/11/2026","0.337","0.340","0.340","0.337","126.95K","-0.88%"
"06/10/2026","0.340","0.340","0.340","0.340","93.39K","0.00%"
"06/09/2026","0.340","0.340","0.340","0.340","168.76K","0.00%"
