Date,Open,High,Low,Close,Volume
2026-01-20,0.296,0.296,0.294,0.294,695989
2026-01-21,0.296,0.296,0.295,0.295,34000
2026-01-22,0.295,0.295,0.292,0.293,731373
2026-01-25,0.293,0.294,0.292,0.292,216038
2026-01-26,0.292,0.293,0.291,0.293,542171
2026-01-27,0.294,0.298,0.294,0.297,1676461
2026-01-28,0.297,0.297,0.293,0.295,209875
2026-01-29,0.295,0.295,0.293,0.293,1441422
2026-02-01,0.293,0.293,0.29,0.291,350296
2026-02-02,0.292,0.293,0.292,0.293,839880
2026-02-03,0.294,0.294,0.294,0.294,2074
2026-02-04,0.294,0.297,0.293,0.297,1468183
2026-02-05,0.297,0.301,0.297,0.3,1003706
2026-02-08,0.302,0.315,0.302,0.312,4148234
2026-02-09,0.313,0.317,0.312,0.317,3452931
2026-02-10,0.318,0.327,0.318,0.326,1006683
2026-02-11,0.327,0.335,0.327,0.332,904781
2026-02-12,0.332,0.348,0.332,0.348,1741787
2026-02-15,0.35,0.35,0.34,0.35,508348
2026-02-16,0.35,0.352,0.347,0.348,986873
2026-02-17,0.347,0.35,0.347,0.349,260393
2026-02-18,0.349,0.349,0.34,0.34,1259665
2026-02-19,0.34,0.34,0.335,0.335,1701657
2026-02-22,0.335,0.336,0.333,0.334,295478
2026-02-23,0.335,0.336,0.331,0.336,693971
2026-02-24,0.336,0.342,0.336,0.34,1102761
2026-02-25,0.343,0.36,0.343,0.358,1124623
2026-02-26,0.36,0.361,0.355,0.36,2068665
2026-03-01,0.355,0.361,0.334,0.353,832230
2026-03-02,0.35,0.354,0.349,0.354,70900
2026-03-03,0.354,0.354,0.353,0.354,69207
2026-03-04,0.352,0.354,0.345,0.354,453598
2026-03-05,0.352,0.354,0.352,0.354,29302
2026-03-08,0.354,0.38,0.351,0.379,2126532
2026-03-09,0.35,0.379,0.35,0.377,1856682
2026-03-10,0.374,0.387,0.374,0.387,1843823
2026-03-11,0.385,0.386,0.382,0.382,471265
2026-03-12,0.383,0.383,0.379,0.379,775495
2026-03-15,0.377,0.378,0.375,0.375,352807
2026-03-16,0.372,0.372,0.354,0.367,237840
2026-03-17,0.365,0.368,0.364,0.364,340642
2026-03-18,0.365,0.366,0.364,0.365,604555
2026-03-24,0.363,0.365,0.363,0.365,48380
2026-03-25,0.37,0.37,0.367,0.367,812354
2026-03-26,0.366,0.366,0.363,0.363,499788
2026-03-29,0.36,0.362,0.36,0.361,17100
2026-03-30,0.36,0.36,0.358,0.36,98433
2026-03-31,0.357,0.361,0.357,0.361,522300
2026-04-01,0.367,0.375,0.363,0.375,1830083
2026-04-02,0.375,0.385,0.375,0.376,3292242
2026-04-05,0.375,0.378,0.35,0.37,641080
2026-04-06,0.37,0.37,0.366,0.368,1594314
2026-04-07,0.369,0.369,0.366,0.366,59850
2026-04-08,0.366,0.371,0.364,0.371,992556
2026-04-09,0.37,0.372,0.369,0.37,108300
2026-04-12,0.371,0.371,0.369,0.37,313992
2026-04-13,0.368,0.37,0.367,0.368,97517
2026-04-14,0.369,0.369,0.364,0.365,81550
2026-04-15,0.366,0.366,0.362,0.365,342040
2026-04-16,0.38,0.38,0.364,0.365,1041971
2026-04-19,0.365,0.366,0.362,0.363,564179
2026-04-20,0.363,0.37,0.362,0.368,340900
2026-04-21,0.367,0.367,0.365,0.366,428022
2026-04-22,0.364,0.365,0.36,0.363,770179
2026-04-23,0.363,0.365,0.36,0.36,599141
