"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","1.391","1.392","1.394","1.391","3.29M","-0.14%"
"07/15/2026","1.393","1.396","1.398","1.392","2.60M","-0.29%"
"07/14/2026","1.397","1.401","1.405","1.394","1.43M","-0.36%"
"07/13/2026","1.402","1.404","1.410","1.402","1.34M","-0.28%"
"07/12/2026","1.406","1.404","1.408","1.404","1.27M","0.14%"
"07/09/2026","1.404","1.402","1.406","1.390","2.46M","0.07%"
"07/08/2026","1.403","1.404","1.416","1.402","4.70M","0.00%"
"07/07/2026","1.403","1.371","1.406","1.370","5.48M","2.26%"
"07/06/2026","1.372","1.378","1.378","1.369","1.77M","-0.22%"
"07/05/2026","1.375","1.381","1.381","1.372","4.19M","-0.43%"
"07/02/2026","1.381","1.382","1.384","1.380","4.08M","-0.07%"
"07/01/2026","1.382","1.368","1.382","1.364","3.94M","0.88%"
"06/30/2026","1.370","1.358","1.395","1.358","1.88M","0.96%"
"06/29/2026","1.357","1.310","1.365","1.305","1.81M","3.98%"
"06/28/2026","1.305","1.297","1.305","1.289","7.90M","0.54%"
"06/25/2026","1.298","1.300","1.303","1.296","2.04M","-0.15%"
"06/24/2026","1.300","1.304","1.305","1.300","1.55M","-0.38%"
"06/23/2026","1.305","1.338","1.338","1.305","2.12M","-2.54%"
"06/22/2026","1.339","1.388","1.388","1.334","1.64M","-3.60%"
"06/21/2026","1.389","1.408","1.408","1.389","1.26M","-1.42%"
"06/17/2026","1.409","1.416","1.419","1.407","2.14M","-0.42%"
"06/16/2026","1.415","1.419","1.419","1.415","1.94M","-0.28%"
"06/15/2026","1.419","1.417","1.420","1.417","3.04M","0.14%"
"06/14/2026","1.417","1.428","1.428","1.417","998.21K","-0.84%"
"06/11/2026","1.429","1.428","1.431","1.427","192.25K","0.14%"
"06/10/2026","1.427","1.429","1.430","1.420","2.45M","-0.21%"
"06/09/2026","1.430","1.429","1.430","1.428","1.69M","0.00%"
