Date,Open,High,Low,Close,Volume
2026-01-20,1.098,1.1,1.098,1.1,2417157
2026-01-21,1.099,1.101,1.088,1.088,4239503
2026-01-22,1.089,1.094,1.085,1.086,4274916
2026-01-25,1.087,1.087,1.084,1.085,3851304
2026-01-26,1.084,1.086,1.081,1.082,4252329
2026-01-27,1.081,1.098,1.076,1.098,6655925
2026-01-28,1.099,1.099,1.097,1.098,6622213
2026-01-29,1.099,1.103,1.097,1.103,8110061
2026-02-01,1.103,1.103,1.093,1.1,4179278
2026-02-02,1.098,1.099,1.098,1.099,2933255
2026-02-03,1.099,1.101,1.093,1.093,3380190
2026-02-04,1.094,1.095,1.09,1.092,4427940
2026-02-05,1.091,1.091,1.089,1.09,5048829
2026-02-08,1.092,1.108,1.089,1.106,4704236
2026-02-09,1.105,1.2,1.102,1.2,10183570
2026-02-10,1.199,1.201,1.186,1.199,5062890
2026-02-11,1.199,1.2,1.197,1.197,5835434
2026-02-12,1.198,1.199,1.194,1.194,8415219
2026-02-15,1.196,1.213,1.196,1.208,6053439
2026-02-16,1.208,1.257,1.207,1.25,4815053
2026-02-17,1.21,1.212,1.21,1.211,5569382
2026-02-18,1.212,1.23,1.209,1.23,6730939
2026-02-19,1.235,1.244,1.23,1.239,3671405
2026-02-22,1.24,1.25,1.236,1.24,3991304
2026-02-23,1.241,1.242,1.237,1.239,7047021
2026-02-24,1.24,1.28,1.239,1.27,8113348
2026-02-25,1.271,1.282,1.27,1.282,7818422
2026-02-26,1.283,1.308,1.28,1.308,9443276
2026-03-01,1.3,1.3,1.27,1.286,986699
2026-03-02,1.287,1.29,1.278,1.29,6596596
2026-03-03,1.292,1.292,1.282,1.283,1031577
2026-03-04,1.283,1.283,1.28,1.282,3696614
2026-03-05,1.282,1.283,1.282,1.282,3889817
2026-03-08,1.284,1.284,1.282,1.283,3605959
2026-03-09,1.283,1.3,1.283,1.3,3773039
2026-03-10,1.302,1.303,1.299,1.302,5525236
2026-03-11,1.303,1.305,1.303,1.305,3086443
2026-03-12,1.305,1.306,1.303,1.306,4987074
2026-03-15,1.306,1.308,1.302,1.307,5144544
2026-03-16,1.31,1.31,1.308,1.309,861405
2026-03-17,1.309,1.313,1.302,1.304,1312614
2026-03-18,1.304,1.33,1.304,1.33,4366731
2026-03-24,1.329,1.411,1.328,1.411,6159616
2026-03-25,1.42,1.514,1.42,1.514,7444456
2026-03-26,1.512,1.524,1.51,1.524,3037772
2026-03-29,1.525,1.563,1.524,1.563,3322223
2026-03-30,1.549,1.564,1.512,1.55,4000350
2026-03-31,1.549,1.551,1.54,1.551,5423154
2026-04-01,1.552,1.56,1.55,1.552,3569838
2026-04-02,1.552,1.553,1.55,1.553,6144722
