"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","0.258","0.250","0.258","0.248","2.67M","1.57%"
"07/15/2026","0.254","0.253","0.255","0.250","265.35K","-0.39%"
"07/14/2026","0.255","0.260","0.261","0.254","1.38M","-1.92%"
"07/13/2026","0.260","0.259","0.264","0.259","1.72M","0.00%"
"07/12/2026","0.260","0.260","0.263","0.258","188.65K","0.00%"
"07/09/2026","0.260","0.264","0.278","0.260","7.37M","-0.76%"
"07/08/2026","0.262","0.238","0.262","0.225","11.59M","9.62%"
"07/07/2026","0.239","0.247","0.247","0.239","1.58M","-3.24%"
"07/06/2026","0.247","0.254","0.254","0.247","4.53M","-1.98%"
"07/05/2026","0.252","0.254","0.255","0.252","192.03K","-0.79%"
"07/02/2026","0.254","0.270","0.270","0.254","3.00M","-5.22%"
"07/01/2026","0.268","0.280","0.280","0.268","8.98M","5.10%"
"06/30/2026","0.255","0.255","0.255","0.255","","0.00%"
"06/29/2026","0.255","0.242","0.255","0.242","484.27K","5.37%"
"06/28/2026","0.242","0.243","0.243","0.238","178.21K","0.00%"
"06/25/2026","0.242","0.231","0.242","0.231","168.95K","4.31%"
"06/24/2026","0.232","0.231","0.232","0.229","106.17K","0.43%"
"06/23/2026","0.231","0.229","0.238","0.227","175.76K","0.87%"
"06/22/2026","0.229","0.232","0.232","0.225","97.73K","0.44%"
"06/21/2026","0.228","0.233","0.233","0.228","138.54K","-1.72%"
"06/17/2026","0.232","0.235","0.235","0.231","166.47K","-1.69%"
"06/16/2026","0.236","0.238","0.238","0.234","234.07K","-2.88%"
"06/15/2026","0.243","0.241","0.243","0.240","250.14K","-0.41%"
"06/14/2026","0.244","0.244","0.244","0.244","24.00K","-0.41%"
"06/11/2026","0.245","0.250","0.250","0.243","139.36K","0.82%"
"06/10/2026","0.243","0.243","0.248","0.242","272.45K","0.00%"
"06/09/2026","0.243","0.248","0.248","0.241","63.37K","-0.41%"
"06/08/2026","0.244","0.246","0.248","0.240","295.84K","-1.21%"
"06/07/2026","0.247","0.247","0.250","0.246","521.11K","-1.20%"
"06/04/2026","0.250","0.248","0.250","0.247","69.65K","0.81%"
"06/03/2026","0.248","0.248","0.251","0.247","201.11K","-0.80%"
"06/02/2026","0.250","0.250","0.255","0.250","1.44M","0.00%"
"06/01/2026","0.250","0.252","0.255","0.250","917.55K","-0.40%"
"05/31/2026","0.251","0.245","0.259","0.245","1.85M","2.45%"
"05/25/2026","0.245","0.234","0.246","0.234","2.35M","5.60%"
"05/24/2026","0.232","0.234","0.234","0.231","131.35K","0.87%"
"05/21/2026","0.230","0.228","0.232","0.226","920.69K","4.55%"
"05/20/2026","0.220","0.220","0.225","0.200","718.62K","0.00%"
"05/19/2026","0.220","0.230","0.230","0.220","325.09K","-4.35%"
"05/18/2026","0.230","0.239","0.239","0.228","445.95K","-2.13%"
"05/17/2026","0.235","0.235","0.238","0.235","221.83K","0.00%"
"05/14/2026","0.235","0.235","0.249","0.231","1.66M","0.86%"
"05/13/2026","0.233","0.230","0.234","0.230","973.08K","1.75%"
"05/12/2026","0.229","0.218","0.229","0.218","1.58M","5.05%"
"05/11/2026","0.218","0.227","0.227","0.218","499.09K","-2.24%"
"05/10/2026","0.223","0.224","0.226","0.223","181.42K","-1.33%"
"05/07/2026","0.226","0.231","0.233","0.225","29.92K","-3.00%"
"05/06/2026","0.233","0.227","0.238","0.227","1.41M","4.95%"
"05/05/2026","0.222","0.222","0.224","0.221","1.34M","0.91%"
"05/04/2026","0.220","0.223","0.223","0.220","159.65K","-0.45%"
"05/03/2026","0.221","0.221","0.222","0.220","438.74K","0.00%"
"04/30/2026","0.221","0.220","0.227","0.219","1.38M","0.45%"
