"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","0.300","0.303","0.303","0.300","250.62K","-1.32%"
"07/15/2026","0.304","0.304","0.304","0.303","74.14K","-0.33%"
"07/14/2026","0.305","0.305","0.305","0.304","78.55K","0.00%"
"07/13/2026","0.305","0.305","0.305","0.305","330.14K","0.33%"
"07/12/2026","0.304","0.305","0.305","0.303","65.51K","-0.33%"
"07/09/2026","0.305","0.304","0.305","0.304","1.65M","0.00%"
"07/08/2026","0.305","0.305","0.305","0.303","77.01K","0.00%"
"07/07/2026","0.305","0.307","0.307","0.305","273.74K","-0.65%"
"07/06/2026","0.307","0.307","0.307","0.304","316.85K","0.00%"
"07/05/2026","0.307","0.309","0.309","0.307","211.03K","-0.32%"
"07/02/2026","0.308","0.309","0.309","0.306","86.90K","-0.32%"
"07/01/2026","0.309","0.309","0.309","0.309","24.16K","0.00%"
"06/30/2026","0.309","0.308","0.309","0.308","45.13K","0.00%"
"06/29/2026","0.309","0.308","0.309","0.308","16.87K","0.00%"
"06/28/2026","0.309","0.309","0.311","0.309","267.76K","-0.32%"
"06/25/2026","0.310","0.311","0.311","0.310","30.87K","-0.32%"
"06/24/2026","0.311","0.313","0.313","0.311","60.10K","-0.96%"
"06/23/2026","0.314","0.314","0.314","0.314","34.76K","-0.32%"
"06/22/2026","0.315","0.315","0.315","0.315","51.60K","0.00%"
"06/21/2026","0.315","0.314","0.315","0.314","35.92K","-0.32%"
"06/17/2026","0.316","0.316","0.316","0.313","90.12K","-0.32%"
"06/16/2026","0.317","0.319","0.320","0.317","571.29K","-0.94%"
"06/15/2026","0.320","0.320","0.320","0.320","4.00K","0.00%"
"06/14/2026","0.320","0.320","0.320","0.320","5.00K","0.00%"
"06/11/2026","0.320","0.320","0.320","0.319","20.09K","0.00%"
"06/10/2026","0.320","0.318","0.320","0.318","17.55K","0.00%"
"06/09/2026","0.320","0.321","0.321","0.320","27.52K","-0.31%"
"06/08/2026","0.321","0.320","0.322","0.320","67.25K","-0.31%"
"06/07/2026","0.322","0.329","0.329","0.320","75.40K","-2.42%"
"06/04/2026","0.330","0.329","0.330","0.329","8.40K","0.00%"
"06/03/2026","0.330","0.329","0.330","0.324","75.00K","0.00%"
"06/02/2026","0.330","0.336","0.336","0.330","14.24K","-2.08%"
"06/01/2026","0.337","0.337","0.337","0.337","1.00K","0.00%"
"05/31/2026","0.337","0.337","0.337","0.337","5.68K","-0.30%"
"05/25/2026","0.338","0.339","0.339","0.338","2.79K","-0.59%"
"05/24/2026","0.340","0.340","0.340","0.339","97.10K","0.00%"
"05/21/2026","0.340","0.340","0.341","0.339","403.54K","0.00%"
"05/20/2026","0.340","0.345","0.345","0.335","73.88K","-1.73%"
"05/19/2026","0.346","0.350","0.350","0.346","25.19K","-1.14%"
"05/18/2026","0.350","0.354","0.354","0.347","273.97K","-1.41%"
"05/17/2026","0.355","0.355","0.357","0.355","36.72K","-0.28%"
"05/14/2026","0.356","0.359","0.359","0.356","121.61K","-1.11%"
"05/13/2026","0.360","0.360","0.360","0.359","39.36K","0.00%"
"05/12/2026","0.360","0.363","0.363","0.360","17.59K","-0.83%"
"05/11/2026","0.363","0.365","0.365","0.363","20.33K","-0.55%"
"05/10/2026","0.365","0.367","0.367","0.365","90.29K","-0.82%"
"05/07/2026","0.368","0.368","0.368","0.367","194.89K","-0.54%"
"05/06/2026","0.370","0.371","0.371","0.369","124.33K","-0.54%"
"05/05/2026","0.372","0.374","0.374","0.372","206.95K","-0.53%"
"05/04/2026","0.374","0.373","0.374","0.372","84.18K","0.00%"
"05/03/2026","0.374","0.374","0.375","0.374","219.73K","0.00%"
"04/30/2026","0.374","0.374","0.374","0.373","21.21K","-0.27%"
"04/29/2026","0.375","0.374","0.375","0.374","390.35K","0.00%"
"04/28/2026","0.375","0.374","0.375","0.374","771.48K","0.54%"
"04/27/2026","0.373","0.374","0.374","0.372","47.90K","0.00%"
"04/26/2026","0.373","0.375","0.375","0.372","314.69K","-0.53%"
"04/23/2026","0.375","0.377","0.377","0.375","2.28M","-0.79%"
"04/22/2026","0.378","0.379","0.379","0.377","88.98K","0.27%"
"04/21/2026","0.377","0.377","0.378","0.377","49.98K","-0.26%"
"04/20/2026","0.378","0.378","0.379","0.378","59.01K","0.00%"
"04/19/2026","0.378","0.377","0.380","0.376","191.99K","0.00%"
"04/16/2026","0.378","0.404","0.411","0.377","1.01M","-7.80%"
"04/15/2026","0.410","0.411","0.414","0.410","872.39K","-0.73%"
"04/14/2026","0.413","0.410","0.413","0.410","932.56K","0.73%"
"04/13/2026","0.410","0.411","0.411","0.410","529.12K","-0.24%"
"04/12/2026","0.411","0.410","0.411","0.409","192.90K","0.49%"
"04/09/2026","0.409","0.408","0.411","0.408","463.10K","-0.49%"
"04/08/2026","0.411","0.411","0.411","0.410","274.39K","0.49%"
"04/07/2026","0.409","0.411","0.413","0.409","723.40K","-0.49%"
"04/06/2026","0.411","0.401","0.412","0.400","375.94K","2.75%"
"04/05/2026","0.400","0.398","0.400","0.396","436.31K","0.50%"
"04/02/2026","0.398","0.394","0.398","0.394","286.49K","1.02%"
"04/01/2026","0.394","0.396","0.396","0.394","48.16K","-0.76%"
"03/31/2026","0.397","0.398","0.398","0.392","53.16K","-0.50%"
"03/30/2026","0.399","0.401","0.402","0.398","1.65M","-6.12%"
"03/29/2026","0.425","0.421","0.426","0.421","2.69M","1.19%"
"03/26/2026","0.420","0.413","0.420","0.412","721.33K","1.45%"
"03/25/2026","0.414","0.411","0.416","0.410","358.90K","0.49%"
"03/24/2026","0.412","0.393","0.413","0.393","1.02M","4.30%"
"03/18/2026","0.395","0.390","0.396","0.390","1.64M","1.02%"
"03/17/2026","0.391","0.391","0.395","0.390","81.10K","-0.26%"
"03/16/2026","0.392","0.391","0.396","0.387","249.96K","0.51%"
"03/15/2026","0.390","0.390","0.392","0.389","203.66K","0.00%"
"03/12/2026","0.390","0.390","0.390","0.390","292.03K","0.00%"
"03/11/2026","0.390","0.385","0.394","0.383","1.39M","1.83%"
