Date,Open,High,Low,Close,Volume
2026-05-04,0.37,0.37,0.37,0.37,84179
2026-05-05,0.37,0.37,0.37,0.37,206950
2026-05-06,0.37,0.37,0.37,0.37,120988
2026-05-07,0.37,0.37,0.37,0.37,194889
2026-05-10,0.37,0.37,0.37,0.37,90292
2026-05-11,0.37,0.37,0.36,0.36,20326
2026-05-12,0.36,0.36,0.36,0.36,17590
2026-05-13,0.36,0.36,0.36,0.36,39364
2026-05-14,0.36,0.36,0.36,0.36,121610
2026-05-17,0.36,0.36,0.36,0.36,36721
2026-05-18,0.35,0.35,0.35,0.35,273967
2026-05-19,0.35,0.35,0.35,0.35,25194
2026-05-20,0.35,0.35,0.34,0.34,73878
2026-05-21,0.34,0.34,0.34,0.34,403541
2026-05-24,0.34,0.34,0.34,0.34,97099
2026-05-25,0.34,0.34,0.34,0.34,2792
2026-05-31,0.34,0.34,0.34,0.34,5676
2026-06-01,0.34,0.34,0.34,0.34,1000
2026-06-02,0.34,0.34,0.33,0.33,14244
2026-06-03,0.33,0.33,0.32,0.33,75000
2026-06-04,0.33,0.33,0.33,0.33,8398
2026-06-07,0.33,0.33,0.32,0.32,75399
2026-06-08,0.32,0.32,0.32,0.32,67251
2026-06-09,0.32,0.32,0.32,0.32,27516
2026-06-10,0.32,0.32,0.32,0.32,17545
2026-06-11,0.32,0.32,0.32,0.32,20090
2026-06-14,0.32,0.32,0.32,0.32,5000
2026-06-15,0.32,0.32,0.32,0.32,4000
2026-06-16,0.32,0.32,0.32,0.32,571288
2026-06-17,0.32,0.32,0.31,0.32,90120
2026-06-21,0.31,0.32,0.31,0.32,35922
2026-06-22,0.32,0.32,0.32,0.32,51600
2026-06-23,0.31,0.31,0.31,0.31,34764
2026-06-24,0.31,0.31,0.31,0.31,60096
2026-06-25,0.31,0.31,0.31,0.31,30866
2026-06-28,0.31,0.31,0.31,0.31,267761
2026-06-29,0.31,0.31,0.31,0.31,16865
2026-06-30,0.31,0.31,0.31,0.31,45125
2026-07-01,0.31,0.31,0.31,0.31,24155
2026-07-02,0.31,0.31,0.31,0.31,86896
2026-07-05,0.31,0.31,0.31,0.31,211031
2026-07-06,0.31,0.31,0.3,0.31,316852
2026-07-07,0.31,0.31,0.31,0.31,273735
2026-07-08,0.31,0.31,0.3,0.31,77010
2026-07-09,0.3,0.31,0.3,0.31,1648750
2026-07-12,0.31,0.31,0.3,0.3,65513
2026-07-13,0.31,0.31,0.31,0.31,330140
2026-07-14,0.31,0.31,0.3,0.31,78553
2026-07-15,0.3,0.3,0.3,0.3,74140
2026-07-16,0.3,0.3,0.3,0.3,250616
