Date,Open,High,Low,Close,Volume
2026-01-20,0.22,0.22,0.216,0.218,6860
2026-01-21,0.217,0.22,0.216,0.22,84048
2026-01-22,0.22,0.22,0.217,0.217,1330
2026-01-25,0.218,0.218,0.218,0.217,350
2026-01-26,0.217,0.217,0.216,0.216,13469
2026-01-27,0.218,0.222,0.218,0.22,29845
2026-01-28,0.218,0.22,0.218,0.22,1282
2026-01-29,0.22,0.22,0.218,0.218,67572
2026-02-01,0.219,0.219,0.219,0.218,275
2026-02-02,0.216,0.218,0.214,0.216,40195
2026-02-03,0.216,0.216,0.216,0.216,0
2026-02-04,0.218,0.22,0.218,0.22,30825
2026-02-05,0.22,0.22,0.219,0.22,11725
2026-02-08,0.22,0.221,0.219,0.22,27774
2026-02-09,0.216,0.221,0.216,0.217,28239
2026-02-10,0.221,0.221,0.218,0.22,132460
2026-02-11,0.22,0.222,0.22,0.222,36627
2026-02-12,0.22,0.222,0.22,0.22,148550
2026-02-15,0.22,0.221,0.22,0.221,319220
2026-02-16,0.223,0.224,0.223,0.224,104582
2026-02-17,0.224,0.243,0.224,0.239,1342231
2026-02-18,0.241,0.253,0.241,0.252,649517
2026-02-19,0.25,0.25,0.245,0.245,46439
2026-02-22,0.246,0.246,0.237,0.24,142956
2026-02-23,0.24,0.24,0.237,0.24,46608
2026-02-24,0.24,0.248,0.24,0.248,374894
2026-02-25,0.245,0.25,0.245,0.25,331981
2026-02-26,0.251,0.253,0.25,0.253,446020
2026-03-01,0.25,0.25,0.23,0.239,285410
2026-03-02,0.243,0.245,0.243,0.244,535898
2026-03-03,0.244,0.244,0.238,0.241,164893
2026-03-04,0.238,0.241,0.238,0.239,314547
2026-03-05,0.239,0.24,0.238,0.24,328669
2026-03-08,0.24,0.24,0.237,0.238,64451
2026-03-09,0.239,0.241,0.238,0.241,273493
2026-03-10,0.245,0.245,0.24,0.242,20630
2026-03-11,0.243,0.249,0.243,0.246,495910
2026-03-12,0.246,0.246,0.24,0.242,47233
2026-03-15,0.242,0.244,0.242,0.242,108595
2026-03-16,0.241,0.242,0.24,0.241,153316
2026-03-17,0.245,0.252,0.245,0.251,1913240
2026-03-18,0.252,0.259,0.248,0.259,1786730
2026-03-24,0.26,0.27,0.26,0.267,419972
2026-03-25,0.269,0.269,0.262,0.268,647992
2026-03-26,0.267,0.267,0.264,0.267,1145545
2026-03-29,0.265,0.267,0.265,0.265,833822
2026-03-30,0.265,0.281,0.265,0.281,3990018
2026-03-31,0.26,0.26,0.253,0.253,342008
2026-04-01,0.23,0.238,0.228,0.231,438883
2026-04-02,0.238,0.238,0.236,0.238,77193
2026-04-05,0.242,0.242,0.232,0.235,25672
2026-04-06,0.235,0.239,0.235,0.239,122829
2026-04-07,0.243,0.243,0.238,0.238,10400
2026-04-08,0.23,0.24,0.23,0.239,81412
2026-04-09,0.239,0.239,0.239,0.239,0
2026-04-12,0.231,0.231,0.23,0.23,3636
2026-04-13,0.227,0.227,0.224,0.224,67540
2026-04-14,0.224,0.226,0.22,0.226,62900
2026-04-15,0.226,0.229,0.226,0.229,96646
2026-04-16,0.221,0.225,0.221,0.223,104675
2026-04-19,0.223,0.223,0.22,0.22,109300
2026-04-20,0.22,0.22,0.219,0.22,62988
2026-04-21,0.22,0.22,0.218,0.219,95502
2026-04-22,0.225,0.225,0.221,0.221,1502235
2026-04-23,0.22,0.22,0.22,0.22,3700
2026-04-26,0.22,0.222,0.22,0.22,20300
2026-04-27,0.22,0.22,0.22,0.22,0
2026-04-28,0.219,0.22,0.219,0.219,87953
2026-04-29,0.218,0.218,0.218,0.218,28848
2026-04-30,0.22,0.22,0.218,0.22,34795
2026-05-03,0.222,0.224,0.222,0.224,93900
2026-05-04,0.224,0.225,0.222,0.225,51766
2026-05-05,0.223,0.223,0.223,0.223,13750
2026-05-06,0.225,0.225,0.223,0.223,29806
2026-05-07,0.223,0.223,0.223,0.223,0
2026-05-10,0.223,0.223,0.223,0.223,0
2026-05-11,0.223,0.223,0.223,0.223,0
2026-05-12,0.223,0.223,0.22,0.22,46517
2026-05-13,0.22,0.22,0.219,0.219,20335
2026-05-14,0.22,0.22,0.218,0.218,54899
2026-05-17,0.22,0.22,0.215,0.216,38275
2026-05-18,0.216,0.216,0.215,0.215,17071
2026-05-19,0.215,0.215,0.215,0.215,0
2026-05-20,0.21,0.21,0.21,0.21,8775
2026-05-21,0.21,0.211,0.21,0.211,22039
2026-05-24,0.212,0.217,0.212,0.217,11728
2026-05-25,0.216,0.216,0.214,0.214,6450
2026-05-31,0.212,0.212,0.212,0.212,2089
2026-06-01,0.212,0.212,0.212,0.212,10000
2026-06-02,0.215,0.215,0.215,0.215,8000
2026-06-03,0.215,0.215,0.215,0.215,0
2026-06-04,0.215,0.215,0.215,0.215,0
2026-06-07,0.211,0.211,0.209,0.209,31295
2026-06-08,0.208,0.21,0.208,0.21,34371
2026-06-09,0.207,0.207,0.205,0.205,11000
2026-06-10,0.205,0.205,0.205,0.205,0
2026-06-11,0.205,0.205,0.205,0.205,0
2026-06-14,0.205,0.205,0.205,0.205,69808
2026-06-15,0.203,0.203,0.2,0.2,63392
2026-06-16,0.199,0.199,0.199,0.199,37500
2026-06-17,0.199,0.199,0.195,0.197,36500
2026-06-21,0.195,0.195,0.195,0.195,49076
2026-06-22,0.194,0.194,0.19,0.191,9640
2026-06-23,0.191,0.194,0.191,0.194,22500
2026-06-24,0.194,0.194,0.194,0.194,0
2026-06-25,0.194,0.194,0.194,0.194,12023
2026-06-28,0.194,0.194,0.194,0.194,17055
2026-06-29,0.195,0.207,0.194,0.207,50797
2026-06-30,0.204,0.206,0.204,0.204,6946
2026-07-01,0.203,0.203,0.199,0.2,9000
2026-07-02,0.198,0.198,0.198,0.198,100
2026-07-05,0.196,0.2,0.196,0.2,9497
2026-07-06,0.2,0.2,0.2,0.2,1000
2026-07-07,0.2,0.2,0.198,0.198,11741
2026-07-08,0.195,0.197,0.195,0.197,2000
2026-07-09,0.197,0.197,0.197,0.197,5050
2026-07-13,0.197,0.197,0.197,0.197,0
2026-07-14,0.195,0.195,0.195,0.195,8050
2026-07-15,0.195,0.195,0.195,0.195,1100
2026-07-16,0.195,0.195,0.19,0.19,6175
