"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","0.760","0.760","0.760","0.760","0.82K","0.00%"
"07/15/2026","0.760","0.760","0.760","0.760","","0.00%"
"07/14/2026","0.760","0.760","0.760","0.760","1.00K","0.00%"
"07/13/2026","0.760","0.760","0.760","0.760","2.07K","0.00%"
"07/12/2026","0.760","0.760","0.760","0.760","0.60K","0.00%"
"07/09/2026","0.760","0.760","0.760","0.760","1.11K","0.00%"
"07/08/2026","0.760","0.760","0.760","0.760","","0.00%"
"07/07/2026","0.760","0.760","0.760","0.760","10.39K","0.00%"
"07/06/2026","0.760","0.765","0.765","0.760","62.23K","-2.06%"
"07/05/2026","0.776","0.776","0.776","0.776","0.74K","-0.39%"
"07/02/2026","0.779","0.777","0.779","0.777","21.43K","0.26%"
"07/01/2026","0.777","0.770","0.770","0.770","0.10K","0.00%"
"06/30/2026","0.777","0.777","0.777","0.777","1.20K","-0.13%"
"06/29/2026","0.778","0.778","0.778","0.778","","0.00%"
"06/28/2026","0.778","0.761","0.778","0.761","1.03K","2.23%"
"06/25/2026","0.761","0.761","0.761","0.761","","0.00%"
"06/24/2026","0.761","0.761","0.761","0.761","","0.00%"
"06/23/2026","0.761","0.761","0.761","0.761","0.13K","-2.19%"
"06/22/2026","0.778","0.778","0.778","0.778","0.13K","-0.13%"
"06/21/2026","0.779","0.779","0.779","0.779","0.10K","-0.13%"
"06/17/2026","0.780","0.780","0.780","0.780","0.29K","0.00%"
"06/16/2026","0.780","0.770","0.780","0.770","2.50K","-2.13%"
"06/15/2026","0.797","0.797","0.797","0.797","","0.00%"
"06/14/2026","0.797","0.735","0.797","0.735","0.31K","0.00%"
"06/11/2026","0.797","0.797","0.797","0.797","0.20K","-0.13%"
"06/10/2026","0.798","0.797","0.798","0.797","7.50K","0.00%"
"06/09/2026","0.798","0.798","0.798","0.798","3.00K","-0.13%"
"06/08/2026","0.799","0.770","0.800","0.770","940.00K","-0.12%"
"06/07/2026","0.800","0.800","0.800","0.800","","0.00%"
"06/04/2026","0.800","0.800","0.800","0.800","","0.00%"
"06/03/2026","0.800","0.800","0.800","0.800","11.00K","-1.36%"
"06/02/2026","0.811","0.811","0.811","0.811","","0.00%"
"06/01/2026","0.811","0.811","0.811","0.811","","0.00%"
"05/31/2026","0.811","0.811","0.811","0.811","1.20K","1.37%"
"05/25/2026","0.800","0.811","0.811","0.800","1.11K","0.00%"
"05/24/2026","0.800","0.800","0.800","0.800","","0.00%"
"05/21/2026","0.800","0.760","0.801","0.760","263.22K","5.26%"
"05/20/2026","0.760","0.762","0.762","0.760","1.12K","-0.65%"
"05/19/2026","0.765","0.785","0.785","0.765","0.98K","-3.65%"
"05/18/2026","0.794","0.786","0.794","0.750","15.61K","-2.70%"
"05/17/2026","0.816","0.819","0.819","0.786","0.58K","3.55%"
"05/14/2026","0.788","0.790","0.790","0.787","4.85K","-6.75%"
"05/13/2026","0.845","0.845","0.845","0.845","","0.00%"
"05/12/2026","0.845","0.845","0.845","0.845","","0.00%"
"05/11/2026","0.845","0.845","0.845","0.845","0.10K","6.96%"
"05/10/2026","0.790","0.821","0.821","0.790","4.45K","-3.78%"
"05/07/2026","0.821","0.821","0.828","0.821","9.85K","0.00%"
"05/06/2026","0.821","0.821","0.821","0.821","0.10K","0.00%"
"05/05/2026","0.821","0.823","0.823","0.796","1.67K","-0.24%"
"05/04/2026","0.823","0.824","0.824","0.823","0.68K","-0.24%"
"05/03/2026","0.825","0.825","0.825","0.825","","0.00%"
"04/30/2026","0.825","0.825","0.825","0.825","0.16K","-0.60%"
"04/29/2026","0.830","0.780","0.830","0.780","0.42K","0.00%"
