Date,Open,High,Low,Close,Volume
2026-05-04,0.82,0.82,0.82,0.82,680
2026-05-05,0.82,0.82,0.8,0.82,1670
2026-05-06,0.82,0.82,0.82,0.82,100
2026-05-07,0.82,0.83,0.82,0.82,9847
2026-05-10,0.82,0.82,0.79,0.79,4454
2026-05-11,0.85,0.85,0.85,0.85,102
2026-05-12,0.85,0.85,0.85,0.85,0
2026-05-13,0.85,0.85,0.85,0.85,0
2026-05-14,0.79,0.79,0.79,0.79,4847
2026-05-17,0.82,0.82,0.79,0.82,581
2026-05-18,0.79,0.79,0.75,0.79,15613
2026-05-19,0.79,0.79,0.77,0.77,977
2026-05-20,0.76,0.76,0.76,0.76,1120
2026-05-21,0.76,0.8,0.76,0.8,263217
2026-05-24,0.8,0.8,0.8,0.8,0
2026-05-25,0.81,0.81,0.8,0.8,1110
2026-05-31,0.81,0.81,0.81,0.81,1200
2026-06-01,0.81,0.81,0.81,0.81,0
2026-06-02,0.81,0.81,0.81,0.81,0
2026-06-03,0.8,0.8,0.8,0.8,11000
2026-06-04,0.8,0.8,0.8,0.8,0
2026-06-07,0.8,0.8,0.8,0.8,0
2026-06-08,0.77,0.8,0.77,0.8,940000
2026-06-09,0.8,0.8,0.8,0.8,3000
2026-06-10,0.8,0.8,0.8,0.8,7500
2026-06-11,0.8,0.8,0.8,0.8,200
2026-06-14,0.74,0.8,0.74,0.8,310
2026-06-15,0.8,0.8,0.8,0.8,0
2026-06-16,0.77,0.78,0.77,0.78,2500
2026-06-17,0.78,0.78,0.78,0.78,290
2026-06-21,0.78,0.78,0.78,0.78,100
2026-06-22,0.78,0.78,0.78,0.78,130
2026-06-23,0.76,0.76,0.76,0.76,125
2026-06-24,0.76,0.76,0.76,0.76,0
2026-06-25,0.76,0.76,0.76,0.76,0
2026-06-28,0.76,0.78,0.76,0.78,1025
2026-06-29,0.78,0.78,0.78,0.78,0
2026-06-30,0.78,0.78,0.78,0.78,1200
2026-07-01,0.77,0.77,0.77,0.78,100
2026-07-02,0.78,0.78,0.78,0.78,21425
2026-07-05,0.78,0.78,0.78,0.78,741
2026-07-06,0.77,0.77,0.76,0.76,62233
2026-07-07,0.76,0.76,0.76,0.76,10390
2026-07-08,0.76,0.76,0.76,0.76,0
2026-07-09,0.76,0.76,0.76,0.76,1105
2026-07-12,0.76,0.76,0.76,0.76,600
2026-07-13,0.76,0.76,0.76,0.76,2066
2026-07-14,0.76,0.76,0.76,0.76,1000
2026-07-15,0.76,0.76,0.76,0.76,0
2026-07-16,0.76,0.76,0.76,0.76,824
