"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","0.480","0.480","0.480","0.480","","0.00%"
"07/15/2026","0.480","0.480","0.480","0.480","","0.00%"
"07/14/2026","0.480","0.480","0.480","0.480","","0.00%"
"07/13/2026","0.480","0.480","0.480","0.480","","0.00%"
"07/12/2026","0.480","0.500","0.500","0.480","0.50K","-9.94%"
"07/09/2026","0.533","0.533","0.533","0.533","","0.00%"
"07/08/2026","0.533","0.533","0.533","0.533","","0.00%"
"07/07/2026","0.533","0.533","0.533","0.533","","0.00%"
"07/06/2026","0.533","0.533","0.533","0.533","","0.00%"
"07/05/2026","0.533","0.533","0.533","0.533","","0.00%"
"07/02/2026","0.533","0.533","0.533","0.533","","0.00%"
"07/01/2026","0.533","0.533","0.533","0.533","","0.00%"
"06/30/2026","0.533","0.450","0.533","0.450","0.50K","9.90%"
"06/29/2026","0.485","0.485","0.485","0.485","","0.00%"
"06/28/2026","0.485","0.485","0.485","0.485","","0.00%"
"06/25/2026","0.485","0.485","0.485","0.485","","0.00%"
"06/24/2026","0.485","0.485","0.485","0.485","","0.00%"
"06/23/2026","0.485","0.485","0.485","0.485","","0.00%"
"06/22/2026","0.485","0.485","0.485","0.485","","0.00%"
"06/21/2026","0.485","0.485","0.485","0.485","0.66K","6.59%"
"06/17/2026","0.455","0.455","0.455","0.455","","0.00%"
"06/16/2026","0.455","0.455","0.455","0.455","0.07K","-1.52%"
"06/15/2026","0.462","0.462","0.462","0.462","","0.00%"
"06/14/2026","0.462","0.462","0.462","0.462","","0.00%"
"06/11/2026","0.462","0.462","0.462","0.462","1.66K","-9.94%"
"06/10/2026","0.513","0.513","0.513","0.513","","0.00%"
"06/09/2026","0.513","0.513","0.513","0.513","","0.00%"
"06/08/2026","0.513","0.513","0.513","0.513","0.51K","-10.00%"
"06/07/2026","0.570","0.570","0.570","0.570","","0.00%"
"06/04/2026","0.570","0.570","0.570","0.570","0.09K","0.00%"
"06/03/2026","0.570","0.570","0.570","0.570","1.83K","-5.00%"
"06/02/2026","0.600","0.600","0.600","0.600","","0.00%"
"06/01/2026","0.600","0.600","0.600","0.600","","0.00%"
"05/31/2026","0.600","0.600","0.600","0.600","","0.00%"
"05/25/2026","0.600","0.600","0.600","0.600","","0.00%"
"05/24/2026","0.600","0.600","0.600","0.600","","0.00%"
"05/21/2026","0.600","0.600","0.600","0.600","","0.00%"
"05/20/2026","0.600","0.600","0.600","0.600","","0.00%"
"05/19/2026","0.600","0.600","0.600","0.600","","0.00%"
"05/18/2026","0.600","0.600","0.600","0.600","","0.00%"
"05/17/2026","0.600","0.600","0.600","0.600","","0.00%"
"05/14/2026","0.600","0.600","0.600","0.600","","0.00%"
"05/13/2026","0.600","0.600","0.600","0.600","","0.00%"
"05/12/2026","0.600","0.600","0.600","0.600","","0.00%"
"05/11/2026","0.600","0.600","0.600","0.600","","0.00%"
"05/10/2026","0.600","0.600","0.600","0.600","","0.00%"
"05/07/2026","0.600","0.600","0.600","0.600","","0.00%"
"05/06/2026","0.600","0.600","0.600","0.600","","0.00%"
"05/05/2026","0.600","0.600","0.600","0.600","","0.00%"
"05/04/2026","0.600","0.600","0.600","0.600","0.15K","0.00%"
"05/03/2026","0.600","0.600","0.600","0.600","","0.00%"
"04/30/2026","0.600","0.600","0.600","0.600","0.23K","0.00%"
"04/29/2026","0.600","0.600","0.600","0.600","","0.00%"
"04/28/2026","0.600","0.600","0.600","0.600","2.00K","0.00%"
"04/27/2026","0.600","0.600","0.600","0.600","0.35K","-2.60%"
"04/26/2026","0.616","0.616","0.616","0.616","","0.00%"
"04/23/2026","0.616","0.616","0.616","0.616","1.86K","0.00%"
"04/22/2026","0.616","0.616","0.616","0.616","4.52K","-9.94%"
"04/21/2026","0.684","0.684","0.684","0.684","","0.00%"
"04/20/2026","0.684","0.684","0.684","0.684","","0.00%"
"04/19/2026","0.684","0.684","0.684","0.684","","0.00%"
"04/16/2026","0.684","0.684","0.684","0.684","0.10K","-0.44%"
"04/15/2026","0.687","0.687","0.687","0.687","0.15K","0.00%"
"04/14/2026","0.687","0.687","0.687","0.687","","0.00%"
"04/13/2026","0.687","0.687","0.687","0.687","1.00K","9.92%"
"04/12/2026","0.625","0.625","0.625","0.625","","0.00%"
"04/09/2026","0.625","0.625","0.625","0.625","","0.00%"
"04/08/2026","0.625","0.620","0.625","0.620","5.49K","6.84%"
"04/07/2026","0.585","0.585","0.585","0.585","","0.00%"
"04/06/2026","0.585","0.585","0.585","0.585","","0.00%"
"04/05/2026","0.585","0.585","0.585","0.585","","0.00%"
"04/02/2026","0.585","0.585","0.585","0.585","2.22K","0.86%"
"04/01/2026","0.580","0.580","0.580","0.580","","0.00%"
