"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","0.256","0.256","0.265","0.256","321.87K","0.79%"
"07/15/2026","0.254","0.255","0.256","0.254","140.42K","-0.78%"
"07/14/2026","0.256","0.256","0.260","0.254","325.27K","-0.39%"
"07/13/2026","0.257","0.257","0.258","0.256","211.54K","0.39%"
"07/12/2026","0.256","0.258","0.265","0.256","236.91K","-0.78%"
"07/09/2026","0.258","0.258","0.263","0.258","196.58K","-0.77%"
"07/08/2026","0.260","0.260","0.265","0.256","224.73K","-0.38%"
"07/07/2026","0.261","0.258","0.263","0.255","1.53M","0.00%"
"07/06/2026","0.261","0.258","0.261","0.257","357.10K","0.77%"
"07/05/2026","0.259","0.259","0.260","0.258","39.37K","0.39%"
"07/02/2026","0.258","0.260","0.260","0.258","41.00K","-0.77%"
"07/01/2026","0.260","0.260","0.267","0.256","383.65K","1.96%"
"06/30/2026","0.255","0.257","0.259","0.254","695.90K","-1.16%"
"06/29/2026","0.258","0.258","0.260","0.258","20.27K","0.00%"
"06/28/2026","0.258","0.260","0.260","0.258","10.84K","0.39%"
"06/25/2026","0.257","0.257","0.260","0.255","409.37K","0.00%"
"06/24/2026","0.257","0.258","0.259","0.257","103.10K","-0.77%"
"06/23/2026","0.259","0.256","0.260","0.256","275.19K","0.39%"
"06/22/2026","0.258","0.259","0.259","0.255","140.46K","0.00%"
"06/21/2026","0.258","0.260","0.260","0.255","221.07K","-1.53%"
"06/17/2026","0.262","0.260","0.262","0.260","183.11K","0.00%"
"06/16/2026","0.262","0.263","0.263","0.260","163.10K","0.00%"
"06/15/2026","0.262","0.267","0.267","0.262","20.51K","0.00%"
"06/14/2026","0.262","0.266","0.266","0.262","126.00K","0.38%"
"06/11/2026","0.261","0.258","0.266","0.258","782.75K","2.35%"
"06/10/2026","0.255","0.251","0.255","0.251","249.04K","1.59%"
"06/09/2026","0.251","0.250","0.252","0.250","206.13K","0.40%"
"06/08/2026","0.250","0.250","0.253","0.245","619.65K","0.00%"
"06/07/2026","0.250","0.255","0.255","0.249","236.56K","-1.96%"
"06/04/2026","0.255","0.256","0.258","0.255","250.03K","-0.78%"
"06/03/2026","0.257","0.258","0.260","0.256","357.79K","-1.15%"
"06/02/2026","0.260","0.258","0.266","0.257","1.18M","1.96%"
"06/01/2026","0.255","0.248","0.257","0.248","1.14M","2.82%"
"05/31/2026","0.248","0.249","0.255","0.248","763.99K","0.00%"
"05/25/2026","0.248","0.244","0.248","0.242","752.74K","3.33%"
"05/24/2026","0.240","0.240","0.244","0.240","368.91K","1.27%"
"05/21/2026","0.237","0.235","0.241","0.235","1.20M","3.95%"
"05/20/2026","0.228","0.236","0.236","0.228","751.28K","-4.20%"
"05/19/2026","0.238","0.249","0.250","0.238","256.54K","-2.86%"
"05/18/2026","0.245","0.250","0.250","0.240","411.04K","-2.00%"
"05/17/2026","0.250","0.257","0.260","0.250","770.12K","-2.72%"
"05/14/2026","0.257","0.258","0.261","0.254","508.14K","-1.15%"
"05/13/2026","0.260","0.263","0.268","0.260","1.06M","-1.89%"
"05/12/2026","0.265","0.265","0.266","0.264","1.05M","0.00%"
"05/11/2026","0.265","0.264","0.266","0.263","657.60K","0.76%"
"05/10/2026","0.263","0.264","0.264","0.261","77.13K","0.00%"
"05/07/2026","0.263","0.258","0.264","0.258","577.29K","1.94%"
"05/06/2026","0.258","0.261","0.264","0.258","941.35K","0.00%"
"05/05/2026","0.258","0.264","0.266","0.258","842.74K","-1.90%"
"05/04/2026","0.263","0.251","0.267","0.251","1.30M","5.20%"
"05/03/2026","0.250","0.241","0.253","0.240","2.51M","4.17%"
"04/30/2026","0.240","0.241","0.244","0.240","1.06M","-0.41%"
"04/29/2026","0.241","0.234","0.245","0.234","1.55M","4.33%"
"04/28/2026","0.231","0.236","0.240","0.228","1.64M","3.12%"
"04/27/2026","0.224","0.224","0.225","0.224","590.94K","0.00%"
"04/26/2026","0.224","0.226","0.227","0.224","572.70K","-0.44%"
"04/23/2026","0.225","0.226","0.226","0.225","466.61K","0.00%"
"04/22/2026","0.225","0.226","0.226","0.225","270.87K","0.00%"
"04/21/2026","0.225","0.225","0.227","0.225","690.86K","0.00%"
"04/20/2026","0.225","0.225","0.227","0.223","750.04K","0.45%"
"04/19/2026","0.224","0.226","0.228","0.224","408.65K","0.00%"
"04/16/2026","0.224","0.223","0.227","0.222","2.81M","0.90%"
"04/15/2026","0.222","0.224","0.224","0.222","655.05K","-0.89%"
"04/14/2026","0.224","0.224","0.227","0.220","5.17M","0.90%"
"04/13/2026","0.222","0.227","0.227","0.222","665.09K","-2.20%"
"04/12/2026","0.227","0.225","0.230","0.225","119.97K","-0.87%"
"04/09/2026","0.229","0.234","0.234","0.229","164.63K","-0.87%"
"04/08/2026","0.231","0.235","0.235","0.231","886.71K","0.87%"
"04/07/2026","0.229","0.230","0.236","0.229","2.82M","-2.97%"
"04/06/2026","0.236","0.240","0.243","0.235","588.05K","-1.26%"
"04/05/2026","0.239","0.239","0.245","0.238","3.60M","0.42%"
"04/02/2026","0.238","0.242","0.257","0.238","5.01M","-1.65%"
"04/01/2026","0.242","0.215","0.243","0.215","1.23M","6.14%"
"03/31/2026","0.228","0.230","0.240","0.228","908.22K","1.33%"
"03/30/2026","0.225","0.220","0.226","0.220","1.51M","4.17%"
"03/29/2026","0.216","0.218","0.220","0.216","217.95K","0.00%"
"03/26/2026","0.216","0.219","0.220","0.216","98.02K","-1.37%"
"03/25/2026","0.219","0.219","0.221","0.219","20.69K","0.46%"
