Date,Open,High,Low,Close,Volume
2026-01-20,0.217,0.217,0.216,0.216,25200
2026-01-21,0.217,0.217,0.215,0.217,42600
2026-01-22,0.216,0.216,0.215,0.215,167233
2026-01-25,0.217,0.219,0.217,0.217,38880
2026-01-26,0.218,0.218,0.215,0.216,66900
2026-01-27,0.218,0.218,0.218,0.216,1341
2026-01-28,0.218,0.218,0.217,0.217,50370
2026-01-29,0.217,0.217,0.214,0.215,102510
2026-02-01,0.215,0.215,0.215,0.215,0
2026-02-02,0.214,0.216,0.214,0.216,79953
2026-02-03,0.216,0.216,0.216,0.216,0
2026-02-04,0.214,0.214,0.214,0.214,16800
2026-02-05,0.214,0.214,0.213,0.213,2950
2026-02-08,0.214,0.218,0.214,0.217,732654
2026-02-09,0.216,0.218,0.215,0.215,46343
2026-02-10,0.213,0.215,0.212,0.213,165087
2026-02-11,0.215,0.217,0.215,0.215,97380
2026-02-12,0.212,0.217,0.212,0.214,559287
2026-02-15,0.222,0.233,0.222,0.224,1159409
2026-02-16,0.225,0.225,0.222,0.223,387967
2026-02-17,0.223,0.223,0.221,0.223,215300
2026-02-18,0.223,0.223,0.217,0.217,382436
2026-02-19,0.217,0.219,0.216,0.217,484421
2026-02-22,0.218,0.218,0.217,0.218,916950
2026-02-23,0.218,0.22,0.218,0.22,179424
2026-02-24,0.22,0.22,0.22,0.22,12050
2026-02-25,0.22,0.22,0.22,0.22,113744
2026-02-26,0.221,0.221,0.219,0.219,85100
2026-03-01,0.217,0.217,0.2,0.21,957455
2026-03-02,0.217,0.22,0.217,0.218,84240
2026-03-03,0.22,0.222,0.215,0.215,41200
2026-03-04,0.218,0.218,0.211,0.214,84475
2026-03-05,0.212,0.217,0.21,0.217,270893
2026-03-08,0.217,0.218,0.215,0.215,78100
2026-03-09,0.215,0.215,0.214,0.215,153221
2026-03-10,0.217,0.217,0.212,0.212,17532
2026-03-11,0.213,0.213,0.213,0.213,10464
2026-03-12,0.214,0.215,0.214,0.215,25100
2026-03-15,0.218,0.219,0.215,0.215,42956
2026-03-16,0.215,0.216,0.215,0.216,89800
2026-03-17,0.216,0.22,0.216,0.219,45875
2026-03-18,0.218,0.22,0.218,0.22,4919
2026-03-24,0.22,0.22,0.218,0.218,5855
2026-03-25,0.219,0.221,0.219,0.219,20686
2026-03-26,0.219,0.22,0.216,0.216,98024
2026-03-29,0.218,0.22,0.216,0.216,217949
2026-03-30,0.22,0.226,0.22,0.225,1509863
2026-03-31,0.23,0.24,0.228,0.228,908218
2026-04-01,0.215,0.243,0.215,0.242,1232399
2026-04-02,0.242,0.257,0.238,0.238,5010740
2026-04-05,0.239,0.245,0.238,0.239,3602470
2026-04-06,0.24,0.243,0.235,0.236,588047
2026-04-07,0.23,0.236,0.229,0.229,2816447
2026-04-08,0.235,0.235,0.231,0.231,886709
2026-04-09,0.234,0.234,0.229,0.229,164632
2026-04-12,0.225,0.23,0.225,0.227,119966
2026-04-13,0.227,0.227,0.222,0.222,665093
2026-04-14,0.224,0.227,0.22,0.224,5168841
2026-04-15,0.224,0.224,0.222,0.222,655045
2026-04-16,0.223,0.227,0.222,0.224,2805460
2026-04-19,0.226,0.228,0.224,0.224,408645
