"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","0.175","0.182","0.182","0.175","121.53K","-3.85%"
"07/15/2026","0.182","0.184","0.184","0.182","21.87K","-0.55%"
"07/14/2026","0.183","0.184","0.184","0.182","112.30K","-0.54%"
"07/13/2026","0.184","0.190","0.190","0.182","666.63K","-3.16%"
"07/12/2026","0.190","0.194","0.194","0.190","65.45K","-0.52%"
"07/09/2026","0.191","0.190","0.194","0.190","920.82K","0.53%"
"07/08/2026","0.190","0.190","0.190","0.186","523.92K","1.06%"
"07/07/2026","0.188","0.191","0.192","0.188","463.35K","-1.57%"
"07/06/2026","0.191","0.192","0.192","0.191","2.50K","-0.52%"
"07/05/2026","0.192","0.194","0.194","0.192","204.49K","-0.52%"
"07/02/2026","0.193","0.194","0.195","0.193","253.99K","-1.53%"
"07/01/2026","0.196","0.198","0.206","0.195","1.93M","2.62%"
"06/30/2026","0.191","0.191","0.193","0.189","284.60K","0.53%"
"06/29/2026","0.190","0.194","0.194","0.190","142.81K","-2.06%"
"06/28/2026","0.194","0.191","0.194","0.190","15.35K","2.11%"
"06/25/2026","0.190","0.190","0.190","0.190","5.96K","-1.04%"
"06/24/2026","0.192","0.192","0.192","0.192","7.67K","0.52%"
"06/23/2026","0.191","0.191","0.194","0.188","29.52K","-0.52%"
"06/22/2026","0.192","0.192","0.192","0.192","142.99K","-1.03%"
"06/21/2026","0.194","0.193","0.194","0.192","40.90K","0.52%"
"06/17/2026","0.193","0.193","0.193","0.192","75.42K","0.00%"
"06/16/2026","0.193","0.194","0.194","0.193","46.00K","0.52%"
"06/15/2026","0.192","0.193","0.193","0.192","108.88K","-0.52%"
"06/14/2026","0.193","0.193","0.193","0.193","12.00K","0.00%"
"06/11/2026","0.193","0.193","0.193","0.193","76.07K","0.52%"
"06/10/2026","0.192","0.190","0.192","0.190","32.70K","0.00%"
"06/09/2026","0.192","0.191","0.192","0.190","89.06K","0.52%"
"06/08/2026","0.191","0.190","0.194","0.190","91.18K","-1.55%"
"06/07/2026","0.194","0.195","0.195","0.193","227.64K","0.52%"
"06/04/2026","0.193","0.194","0.198","0.190","79.31K","-1.03%"
