Date,Open,High,Low,Close,Volume
2026-05-04,0.2,0.2,0.2,0.2,184500
2026-05-05,0.2,0.2,0.2,0.2,1536706
2026-05-06,0.2,0.21,0.2,0.2,1166137
2026-05-07,0.2,0.2,0.2,0.2,189730
2026-05-10,0.21,0.21,0.2,0.2,1061820
2026-05-11,0.2,0.21,0.2,0.2,928488
2026-05-12,0.2,0.2,0.2,0.2,522164
2026-05-13,0.2,0.2,0.2,0.2,597984
2026-05-14,0.2,0.2,0.2,0.2,504032
2026-05-17,0.2,0.2,0.2,0.2,134327
2026-05-18,0.2,0.2,0.18,0.19,282940
2026-05-19,0.19,0.2,0.19,0.19,74118
2026-05-20,0.18,0.18,0.18,0.18,133670
2026-05-21,0.19,0.2,0.19,0.2,777326
2026-05-24,0.2,0.2,0.2,0.2,321876
2026-05-25,0.2,0.2,0.2,0.2,726614
2026-05-31,0.2,0.2,0.2,0.2,391264
2026-06-01,0.2,0.2,0.2,0.2,970457
2026-06-02,0.2,0.2,0.2,0.2,328420
2026-06-03,0.2,0.2,0.19,0.2,217000
2026-06-04,0.19,0.2,0.19,0.19,79305
2026-06-07,0.2,0.2,0.19,0.19,227635
2026-06-08,0.19,0.19,0.19,0.19,91180
2026-06-09,0.19,0.19,0.19,0.19,89061
2026-06-10,0.19,0.19,0.19,0.19,32700
2026-06-11,0.19,0.19,0.19,0.19,76072
2026-06-14,0.19,0.19,0.19,0.19,12000
2026-06-15,0.19,0.19,0.19,0.19,108876
2026-06-16,0.19,0.19,0.19,0.19,46000
2026-06-17,0.19,0.19,0.19,0.19,75417
2026-06-21,0.19,0.19,0.19,0.19,40900
2026-06-22,0.19,0.19,0.19,0.19,142987
2026-06-23,0.19,0.19,0.19,0.19,29515
2026-06-24,0.19,0.19,0.19,0.19,7670
2026-06-25,0.19,0.19,0.19,0.19,5964
2026-06-28,0.19,0.19,0.19,0.19,15346
2026-06-29,0.19,0.19,0.19,0.19,142809
2026-06-30,0.19,0.19,0.19,0.19,284602
2026-07-01,0.2,0.21,0.2,0.2,1934243
2026-07-02,0.19,0.2,0.19,0.19,253993
2026-07-05,0.19,0.19,0.19,0.19,204492
2026-07-06,0.19,0.19,0.19,0.19,2500
2026-07-07,0.19,0.19,0.19,0.19,463346
2026-07-08,0.19,0.19,0.19,0.19,523920
2026-07-09,0.19,0.19,0.19,0.19,920821
2026-07-12,0.19,0.19,0.19,0.19,65450
2026-07-13,0.19,0.19,0.18,0.18,666625
2026-07-14,0.18,0.18,0.18,0.18,112300
2026-07-15,0.18,0.18,0.18,0.18,21870
2026-07-16,0.18,0.18,0.18,0.18,91775
